Date,UNITED KINGDOM Standard (Large+Mid Cap)
2001-01-01,3242.413
2001-01-02,3221.427
2001-01-03,3169.837
2001-01-04,3216.42
2001-01-05,3221.316
2001-01-08,3203.21
2001-01-09,3155.808
2001-01-10,3140.167
2001-01-11,3175.345
2001-01-12,3165.955
2001-01-15,3169.026
2001-01-16,3111.863
2001-01-17,3172.569
2001-01-18,3184.882
2001-01-19,3166.281
2001-01-22,3161.387
2001-01-23,3175.7
2001-01-24,3172.046
2001-01-25,3171.914
2001-01-26,3188.616
2001-01-29,3195.366
2001-01-30,3206.203
2001-01-31,3189.013
2001-02-01,3207.624
2001-02-02,3193.954
2001-02-05,3214.903
2001-02-06,3193.401
2001-02-07,3165.23
2001-02-08,3118.811
2001-02-09,3097.195
2001-02-12,3150.843
2001-02-13,3145.087
2001-02-14,3139.525
2001-02-15,3125.274
2001-02-16,3071.444
2001-02-19,3062.776
2001-02-20,3000.663
2001-02-21,3007.324
2001-02-22,3028.302
2001-02-23,3002.168
2001-02-26,2968.709
2001-02-27,2982.062
2001-02-28,2977.986
2001-03-01,3002.408
2001-03-02,3018.342
2001-03-05,3044.069
2001-03-06,3077.904
2001-03-07,3063.268
2001-03-08,3079.797
2001-03-09,3038.098
2001-03-12,2987.516
2001-03-13,2918.052
2001-03-14,2874.833
2001-03-15,2921.66
2001-03-16,2807.397
2001-03-19,2795.956
2001-03-20,2849.095
2001-03-21,2799.49
2001-03-22,2665.85
2001-03-23,2725.15
2001-03-26,2820.126
2001-03-27,2907.574
2001-03-28,2847.291
2001-03-29,2842.578
2001-03-30,2843.554
2001-04-02,2832.233
2001-04-03,2767.384
2001-04-04,2819.353
2001-04-05,2850.433
2001-04-06,2865.279
2001-04-09,2915.907
2001-04-10,2960.829
2001-04-11,2940.929
2001-04-12,2943.693
2001-04-13,2943.693
2001-04-16,2931.328
2001-04-17,2926.121
2001-04-18,2973.155
2001-04-19,2995.131
2001-04-20,3006.033
2001-04-23,2999.949
2001-04-24,2975.227
2001-04-25,2974.761
2001-04-26,2995.245
2001-04-27,3027.851
2001-04-30,3021.964
2001-05-01,3007.128
2001-05-02,2995.574
2001-05-03,2928.344
2001-05-04,2989.831
2001-05-07,2995.551
2001-05-08,2988.179
2001-05-09,2972.097
2001-05-10,3017.436
2001-05-11,2979.847
2001-05-14,2871.631
2001-05-15,2952.998
2001-05-16,2986.526
2001-05-17,2996.219
2001-05-18,2997.232
2001-05-21,3024.662
2001-05-22,3025.285
2001-05-23,2979.806
2001-05-24,2957.653
2001-05-25,2966.16
2001-05-28,2965.638
2001-05-29,2948.923
2001-05-30,2925.872
2001-05-31,2921.435
2001-06-01,2916.698
2001-06-04,2938.131
2001-06-05,2961.873
2001-06-06,2920.72
2001-06-07,2930.014
2001-06-08,2915.502
2001-06-11,2853.751
2001-06-12,2837.326
2001-06-13,2863.34
2001-06-14,2857.837
2001-06-15,2848.374
2001-06-18,2825.919
2001-06-19,2828.512
2001-06-20,2822.121
2001-06-21,2834.748
2001-06-22,2843.657
2001-06-25,2844.171
2001-06-26,2795.411
2001-06-27,2817.587
2001-06-28,2825.063
2001-06-29,2821.851
2001-07-02,2877.938
