Date,UNITED KINGDOM LARGE CAP Large Cap
1994-05-31,217.232
1994-06-30,218.964
1994-07-29,231.079
1994-08-31,245.174
1994-09-30,235.787
1994-10-31,250.288
1994-11-30,239.761
1994-12-30,239.768
1995-01-31,237.82
1995-02-28,239.112
1995-03-31,259.506
1995-04-28,263.552
1995-05-31,269.725
1995-06-30,270.972
1995-07-31,286.279
1995-08-31,280.328
1995-09-29,291.232
1995-10-31,292.433
1995-11-30,295.502
1995-12-29,304.028
1996-01-31,302.592
1996-02-29,304.866
1996-03-29,305.625
1996-04-30,311.743
1996-05-31,317.851
1996-06-28,317.166
1996-07-31,318.199
1996-08-30,337.592
1996-09-30,346.58
1996-10-31,364.116
1996-11-29,384.186
1996-12-31,399.239
1997-01-31,388.218
1997-02-28,400.017
1997-03-31,407.422
1997-04-30,415.711
1997-05-30,437.682
1997-06-30,446.226
1997-07-31,467.454
1997-08-29,458.029
1997-09-30,496.814
1997-10-31,476.502
1997-11-28,480.463
1997-12-31,499.741
1998-01-30,525.788
1998-02-27,562.954
1998-03-31,592.027
1998-04-30,592.184
1998-05-29,572.999
1998-06-30,584.041
1998-07-31,573.903
1998-08-31,531.671
1998-09-30,524.392
1998-10-30,554.502
1998-11-30,577.939
1998-12-31,596.671
1999-01-29,590.606
1999-02-26,603.317
1999-03-31,624.349
1999-04-30,650.916
1999-05-31,616.132
1999-06-30,616.25
1999-07-30,624.909
1999-08-31,624.138
1999-09-30,617.35
1999-10-29,638.025
1999-11-30,651.084
1999-12-31,694.378
2000-01-31,634.837
2000-02-29,620.606
2000-03-31,662.545
2000-04-28,629.988
2000-05-31,607.721
2000-06-30,609.365
2000-07-31,608.54
2000-08-31,622.372
2000-09-29,597.286
2000-10-31,602.164
2000-11-30,564.333
2000-12-29,602.551
2001-01-31,594.706
2001-02-28,551.877
2001-03-30,521.902
2001-04-30,556.115
2001-05-31,536.463
2001-06-29,518.803
2001-07-31,517.933
2001-08-31,512.18
2001-09-28,482.574
2001-10-31,489.986
2001-11-30,497.107
2001-12-31,508.026
2002-01-31,487.38
2002-02-28,483.691
2002-03-29,504.608
2002-04-30,507.166
2002-05-31,500.747
2002-06-28,480.025
2002-07-31,452.484
2002-08-30,447.862
2002-09-30,398.585
2002-10-31,434.725
2002-11-29,449.206
2002-12-31,439.617
2003-01-31,406.889
2003-02-28,404.879
2003-03-31,404.813
2003-04-30,445.684
2003-05-30,469.657
2003-06-30,471.135
2003-07-31,470.379
2003-08-29,464.498
2003-09-30,483.345
2003-10-31,513.316
2003-11-28,529.175
2003-12-31,571.122
2004-01-30,562.151
2004-02-27,583.434
2004-03-31,568.149
2004-04-30,567.528
2004-05-31,578.759
2004-06-30,575.899
2004-07-30,573.547
2004-08-31,578.681
2004-09-30,597.731
2004-10-29,612.443
2004-11-30,649.382
2004-12-31,667.865
2005-01-31,661.212
2005-02-28,694.303
2005-03-31,676.278
2005-04-29,673.676
2005-05-31,665.365
2005-06-30,676.373
2005-07-29,687.792
2005-08-31,708.399
2005-09-30,722.198
2005-10-31,702.891
2005-11-30,698.811
2005-12-30,716.284
2006-01-31,757.155
2006-02-28,751.051
2006-03-31,770.806
2006-04-28,819.756
2006-05-31,805.121
2006-06-30,813.017
2006-07-31,832.856
2006-08-31,848.97
2006-09-29,839.734
2006-10-31,881.731
2006-11-30,898.504
2006-12-29,916.398
2007-01-31,914.732
2007-02-28,914.037
2007-03-30,940.361
2007-04-30,984.0
2007-05-31,1000.0
2007-06-29,1021.364
2007-07-31,996.973
2007-08-31,987.587
2007-09-28,1032.5
2007-10-31,1094.948
2007-11-30,1047.618
2007-12-31,1022.044
2008-01-31,925.754
2008-02-29,934.118
2008-03-31,912.776
2008-04-30,979.832
2008-05-30,974.864
2008-06-30,917.465
2008-07-31,878.412
2008-08-29,845.924
2008-09-30,720.085
2008-10-31,590.565
2008-11-28,550.632
2008-12-31,535.443
2009-01-30,500.488
2009-02-27,457.269
2009-03-31,473.151
2009-04-30,529.905
2009-05-29,607.254
2009-06-30,597.768
2009-07-31,653.455
2009-08-31,689.566
2009-09-30,708.267
2009-10-30,717.433
2009-11-30,737.556
2009-12-31,755.902
2010-01-29,719.067
2010-02-26,710.408
2010-03-31,750.378
2010-04-30,738.682
2010-05-31,656.724
2010-06-30,638.675
2010-07-30,717.344
2010-08-31,704.991
2010-09-30,765.194
2010-10-29,797.0
2010-11-30,759.626
2010-12-31,813.691
2011-01-31,828.445
2011-02-28,862.988
2011-03-31,843.44
2011-04-29,900.785
2011-05-31,879.565
2011-06-30,855.447
2011-07-29,858.03
2011-08-31,793.82
2011-09-30,725.651
2011-10-31,815.391
2011-11-30,794.924
2011-12-30,797.38
2012-01-31,823.084
2012-02-29,862.589
2012-03-30,848.398
2012-04-30,861.929
2012-05-31,760.426
2012-06-29,815.927
2012-07-31,824.245
2012-08-31,849.135
2012-09-28,867.742
2012-10-31,872.107
2012-11-30,882.069
2012-12-31,900.319
2013-01-31,938.337
2013-02-28,912.659
2013-03-29,922.154
2013-04-30,949.686
2013-05-31,947.557
2013-06-28,897.343
2013-07-31,952.928
2013-08-30,951.078
2013-09-30,1001.588
2013-10-31,1035.91
2013-11-29,1048.405
2013-12-31,1075.207
2014-01-31,1023.673
2014-02-28,1093.07
2014-03-31,1059.491
2014-04-30,1112.436
2014-05-30,1119.69
2014-06-30,1129.54
2014-07-31,1119.07
2014-08-29,1122.501
2014-09-30,1064.828
2014-10-31,1034.339
2014-11-28,1038.962
2014-12-31,1004.163
2015-01-30,991.982
2015-02-27,1054.125
2015-03-31,989.303
2015-04-30,1059.978
2015-05-29,1053.687
2015-06-30,1013.697
2015-07-31,1029.28
2015-08-31,947.013
2015-09-30,904.206
2015-10-30,973.025
2015-11-30,950.255
2015-12-31,912.476
2016-01-29,863.016
2016-02-29,856.217
2016-03-31,893.229
2016-04-29,929.324
2016-05-31,923.022
2016-06-30,908.23
2016-07-29,925.923
2016-08-31,927.134
2016-09-30,939.26
2016-10-31,898.315
2016-11-30,899.977
2016-12-30,939.378
2017-01-31,949.438
2017-02-28,969.527
2017-03-31,984.247
2017-04-28,994.471
2017-05-31,1047.728
2017-06-30,1030.479
2017-07-31,1053.602
2017-08-31,1044.877
2017-09-29,1079.067
2017-10-31,1085.975
2017-11-30,1089.443
2017-12-29,1146.656
2018-01-31,1179.276
2018-02-28,1101.061
2018-03-30,1099.189
2018-04-30,1153.848
2018-05-31,1140.744
2018-06-29,1132.944
2018-07-31,1147.912
2018-08-31,1092.802
2018-09-28,1117.409
2018-10-31,1049.894
2018-11-30,1034.529
2018-12-31,996.583
2019-01-31,1060.26
2019-02-28,1097.432
2019-03-29,1117.371
2019-04-30,1135.965
2019-05-31,1072.662
2019-06-28,1124.138
2019-07-31,1102.484
2019-08-30,1048.171
2019-09-30,1090.93
2019-10-31,1117.074
2019-11-29,1131.27
2019-12-31,1186.006
2020-01-31,1140.296
2020-02-28,1002.522
2020-03-31,865.501
2020-04-30,899.426
2020-05-29,898.857
2020-06-30,913.009
2020-07-31,917.456
2020-08-31,937.257
2020-09-30,885.934
2020-10-30,836.778
2020-11-30,981.86
2020-12-31,1029.73
2021-01-29,1027.08
2021-02-26,1068.387
2021-03-31,1096.598
2021-04-30,1140.664
2021-05-31,1190.201
2021-06-30,1160.061
2021-07-30,1160.135
2021-08-31,1167.765
2021-09-30,1155.778
2021-10-29,1202.219
2021-11-30,1135.496
2021-12-31,1218.406
2022-01-31,1257.97
2022-02-28,1280.296
2022-03-31,1295.205
2022-04-29,1255.582
2022-05-31,1291.51
2022-06-30,1186.965
2022-07-29,1219.555
2022-08-31,1164.369
2022-09-30,1068.493
2022-10-31,1128.086
2022-11-30,1246.825
2022-12-30,1244.096
2023-01-31,1310.997
2023-02-28,1315.522
2023-03-31,1301.582
2023-04-28,1369.632
2023-05-31,1276.595
2023-06-30,1330.322
2023-07-31,1366.61
2023-08-31,1313.154
2023-09-29,1314.937
2023-10-31,1263.117
2023-11-30,1333.752
2023-12-29,1384.442
2024-01-31,1368.24
2024-02-29,1367.197
2024-03-29,1432.791
2024-04-30,1476.192
2024-05-31,1526.231
2024-06-28,1498.801
2024-07-31,1559.753
2024-08-30,1616.003
2024-09-30,1615.517
2024-10-31,1535.313
2024-11-29,1549.957
2024-12-31,1510.495
2025-01-31,1594.317
2025-02-28,1660.348
2025-03-31,1681.055
2025-04-30,1715.396
2025-05-30,1788.315
2025-06-30,1809.649
