Date,UNITED KINGDOM LARGE CAP Large Cap
2001-01-01,603.049
2001-01-02,599.131
2001-01-03,589.601
2001-01-04,599.046
2001-01-05,601.322
2001-01-08,597.443
2001-01-09,588.338
2001-01-10,585.565
2001-01-11,592.376
2001-01-12,591.555
2001-01-15,592.551
2001-01-16,580.568
2001-01-17,591.565
2001-01-18,593.572
2001-01-19,590.147
2001-01-22,589.73
2001-01-23,592.062
2001-01-24,591.619
2001-01-25,591.018
2001-01-26,593.822
2001-01-29,595.949
2001-01-30,598.457
2001-01-31,595.198
2001-02-01,597.363
2001-02-02,593.444
2001-02-05,597.998
2001-02-06,594.034
2001-02-07,588.352
2001-02-08,579.989
2001-02-09,576.627
2001-02-12,585.984
2001-02-13,584.049
2001-02-14,582.578
2001-02-15,580.002
2001-02-16,570.366
2001-02-19,568.411
2001-02-20,557.118
2001-02-21,557.676
2001-02-22,561.217
2001-02-23,556.572
2001-02-26,550.762
2001-02-27,553.174
2001-02-28,552.334
2001-03-01,556.339
2001-03-02,558.734
2001-03-05,563.744
2001-03-06,570.853
2001-03-07,568.191
2001-03-08,571.122
2001-03-09,562.632
2001-03-12,553.241
2001-03-13,538.081
2001-03-14,529.172
2001-03-15,537.647
2001-03-16,516.727
2001-03-19,514.29
2001-03-20,524.39
2001-03-21,515.198
2001-03-22,490.917
2001-03-23,501.839
2001-03-26,519.991
2001-03-27,535.979
2001-03-28,524.404
2001-03-29,522.882
2001-03-30,522.334
2001-04-02,521.171
2001-04-03,509.127
2001-04-04,518.5
2001-04-05,524.679
2001-04-06,526.429
2001-04-09,536.767
2001-04-10,545.543
2001-04-11,541.542
2001-04-12,542.106
2001-04-13,542.106
2001-04-16,539.829
2001-04-17,538.638
2001-04-18,546.71
2001-04-19,550.333
2001-04-20,552.501
2001-04-23,551.233
2001-04-24,546.977
2001-04-25,547.281
2001-04-26,551.395
2001-04-27,557.789
2001-04-30,556.575
2001-05-01,553.486
2001-05-02,551.719
2001-05-03,538.511
2001-05-04,550.223
2001-05-07,551.303
2001-05-08,549.949
2001-05-09,547.386
2001-05-10,554.664
2001-05-11,546.921
2001-05-14,526.537
2001-05-15,541.937
2001-05-16,548.648
2001-05-17,550.544
2001-05-18,551.748
2001-05-21,556.291
2001-05-22,555.959
2001-05-23,547.367
2001-05-24,543.462
2001-05-25,545.254
2001-05-28,545.158
2001-05-29,541.946
2001-05-30,537.81
2001-05-31,536.906
2001-06-01,536.227
2001-06-04,540.124
2001-06-05,544.881
2001-06-06,537.238
2001-06-07,539.959
2001-06-08,536.614
2001-06-11,525.669
2001-06-12,523.236
2001-06-13,528.025
2001-06-14,527.046
2001-06-15,526.154
2001-06-18,521.265
2001-06-19,521.418
2001-06-20,521.233
2001-06-21,522.574
2001-06-22,523.685
2001-06-25,524.29
2001-06-26,515.092
2001-06-27,519.027
2001-06-28,519.856
2001-06-29,519.232
2001-07-02,529.724
2001-07-03,519.983
2001-07-04,516.205
2001-07-05,509.734
2001-07-06,505.672
2001-07-09,506.021
2001-07-10,506.609
2001-07-11,500.566
2001-07-12,505.837
2001-07-13,508.965
2001-07-16,506.838
2001-07-17,498.486
2001-07-18,502.208
2001-07-19,506.306
2001-07-20,505.503
2001-07-23,504.046
2001-07-24,496.37
2001-07-25,495.233
2001-07-26,496.234
2001-07-27,505.873
2001-07-30,510.299
2001-07-31,518.361
2001-08-01,522.569
2001-08-02,525.942
2001-08-03,521.71
2001-08-06,515.755
2001-08-07,516.68
2001-08-08,510.12
2001-08-09,506.057
2001-08-10,510.099
2001-08-13,508.606
2001-08-14,515.808
2001-08-15,518.811
2001-08-16,513.586
2001-08-17,509.311
2001-08-20,510.905
2001-08-21,519.49
2001-08-22,520.81
2001-08-23,516.094
2001-08-24,522.956
2001-08-27,521.69
2001-08-28,520.007
2001-08-29,519.59
2001-08-30,510.939
2001-08-31,512.603
2001-09-03,510.06
2001-09-04,514.154
2001-09-05,510.89
2001-09-06,499.816
2001-09-07,490.26
2001-09-10,484.957
2001-09-11,460.991
2001-09-12,472.707
2001-09-13,480.938
2001-09-14,462.875
2001-09-17,477.179
2001-09-18,471.972
2001-09-19,462.167
2001-09-20,445.675
2001-09-21,431.963
2001-09-24,451.92
2001-09-25,458.119
2001-09-26,463.625
2001-09-27,471.117
2001-09-28,482.973
2001-10-01,473.817
2001-10-02,474.603
2001-10-03,482.454
2001-10-04,495.703
2001-10-05,499.028
2001-10-08,496.725
2001-10-09,492.18
2001-10-10,501.041
2001-10-11,499.407
2001-10-12,499.702
2001-10-15,490.575
2001-10-16,492.063
2001-10-17,505.404
2001-10-18,494.556
2001-10-19,482.58
2001-10-22,484.507
2001-10-23,494.038
2001-10-24,491.988
2001-10-25,486.267
2001-10-26,497.471
2001-10-29,493.687
2001-10-30,487.268
2001-10-31,490.391
2001-11-01,495.769
2001-11-02,501.923
2001-11-05,507.641
2001-11-06,508.878
2001-11-07,511.384
2001-11-08,514.141
2001-11-09,511.727
2001-11-12,501.516
2001-11-13,509.409
2001-11-14,505.444
2001-11-15,501.46
2001-11-16,506.334
2001-11-19,505.522
2001-11-20,502.863
2001-11-21,503.255
2001-11-22,506.138
2001-11-23,499.246
2001-11-26,501.555
2001-11-27,498.812
2001-11-28,496.664
2001-11-29,496.798
2001-11-30,497.518
2001-12-03,491.812
2001-12-04,496.799
2001-12-05,506.837
2001-12-06,512.592
2001-12-07,504.292
2001-12-10,497.794
2001-12-11,495.873
2001-12-12,495.623
2001-12-13,491.584
2001-12-14,491.603
2001-12-17,501.209
2001-12-18,502.116
2001-12-19,496.69
2001-12-20,492.053
2001-12-21,497.159
2001-12-24,499.232
2001-12-25,499.232
2001-12-26,502.145
2001-12-27,507.441
2001-12-28,508.476
2001-12-31,508.446
2002-01-01,508.446
2002-01-02,505.3
2002-01-03,513.247
2002-01-04,513.032
2002-01-07,508.357
2002-01-08,505.3
2002-01-09,501.623
2002-01-10,500.039
2002-01-11,499.876
2002-01-14,493.88
2002-01-15,497.701
2002-01-16,492.027
2002-01-17,492.33
2002-01-18,490.84
2002-01-21,492.15
2002-01-22,490.494
2002-01-23,492.985
2002-01-24,497.127
2002-01-25,488.858
2002-01-28,491.806
2002-01-29,483.463
2002-01-30,480.536
2002-01-31,487.783
2002-02-01,489.937
2002-02-04,489.077
2002-02-05,482.578
2002-02-06,479.052
2002-02-07,484.043
2002-02-08,485.695
2002-02-11,490.535
2002-02-12,490.469
2002-02-13,492.692
2002-02-14,497.131
2002-02-15,496.096
2002-02-18,492.075
2002-02-19,486.313
2002-02-20,480.034
2002-02-21,483.971
2002-02-22,483.594
2002-02-25,487.888
2002-02-26,490.492
2002-02-27,491.859
2002-02-28,484.091
2002-03-01,492.069
2002-03-04,500.018
2002-03-05,497.373
2002-03-06,501.282
2002-03-07,505.387
2002-03-08,504.761
2002-03-11,501.812
2002-03-12,497.577
2002-03-13,501.284
2002-03-14,502.941
2002-03-15,507.079
2002-03-18,507.116
2002-03-19,508.49
2002-03-20,505.132
2002-03-21,503.989
2002-03-22,503.736
2002-03-25,498.782
2002-03-26,497.985
2002-03-27,498.637
2002-03-28,505.025
2002-03-29,505.025
2002-04-01,510.132
2002-04-02,508.558
2002-04-03,507.046
2002-04-04,503.215
2002-04-05,504.715
2002-04-08,498.697
2002-04-09,498.452
2002-04-10,504.81
2002-04-11,496.52
2002-04-12,498.183
2002-04-15,502.908
2002-04-16,509.328
2002-04-17,511.295
2002-04-18,509.979
2002-04-19,511.31
2002-04-22,509.778
2002-04-23,506.274
2002-04-24,509.554
2002-04-25,510.288
2002-04-26,506.164
2002-04-29,506.608
2002-04-30,507.586
2002-05-01,505.026
2002-05-02,510.362
2002-05-03,514.957
2002-05-06,514.676
2002-05-07,504.5
2002-05-08,511.517
2002-05-09,510.072
2002-05-10,508.579
2002-05-13,511.248
2002-05-14,510.72
2002-05-15,516.289
2002-05-16,514.977
2002-05-17,514.02
2002-05-20,512.095
2002-05-21,509.943
2002-05-22,506.301
2002-05-23,506.725
2002-05-24,507.557
2002-05-27,503.81
2002-05-28,499.232
2002-05-29,499.623
2002-05-30,497.314
2002-05-31,501.161
2002-06-03,500.63
2002-06-04,501.195
2002-06-05,488.914
2002-06-06,486.412
2002-06-07,483.35
2002-06-10,484.462
2002-06-11,486.447
2002-06-12,479.523
2002-06-13,471.792
2002-06-14,459.65
2002-06-17,473.674
2002-06-18,470.659
2002-06-19,466.281
2002-06-20,462.63
2002-06-21,465.511
2002-06-24,460.423
2002-06-25,469.348
2002-06-26,467.254
2002-06-27,467.475
2002-06-28,480.421
2002-07-01,484.667
2002-07-02,469.864
2002-07-03,452.106
2002-07-04,460.303
2002-07-05,474.992
2002-07-08,477.48
2002-07-09,475.249
2002-07-10,461.521
2002-07-11,441.656
2002-07-12,441.59
2002-07-15,420.809
2002-07-16,426.222
2002-07-17,444.142
2002-07-18,455.885
2002-07-19,435.249
2002-07-22,411.719
2002-07-23,404.735
2002-07-24,399.96
2002-07-25,422.727
2002-07-26,428.239
2002-07-29,447.003
2002-07-30,447.799
2002-07-31,452.858
2002-08-01,429.102
2002-08-02,436.829
2002-08-05,429.045
2002-08-06,435.85
2002-08-07,429.869
2002-08-08,445.608
2002-08-09,452.964
2002-08-12,443.382
2002-08-13,449.485
2002-08-14,443.321
2002-08-15,457.811
2002-08-16,459.612
2002-08-19,466.51
2002-08-20,458.77
2002-08-21,460.083
2002-08-22,464.752
2002-08-23,458.512
2002-08-26,459.356
2002-08-27,467.813
2002-08-28,451.095
2002-08-29,447.506
2002-08-30,448.232
2002-09-02,444.57
2002-09-03,431.188
2002-09-04,431.107
2002-09-05,430.911
2002-09-06,439.691
2002-09-09,434.062
2002-09-10,444.271
2002-09-11,446.935
2002-09-12,434.618
2002-09-13,427.818
2002-09-16,427.643
2002-09-17,422.42
2002-09-18,409.31
2002-09-19,405.048
2002-09-20,409.966
