Date,UNITED KINGDOM LARGE CAP Large Cap
1994-05-31,217.412
1994-06-30,219.145
1994-07-29,231.27
1994-08-31,245.376
1994-09-30,235.982
1994-10-31,250.495
1994-11-30,239.959
1994-12-30,239.966
1995-01-31,238.016
1995-02-28,239.31
1995-03-31,259.72
1995-04-28,263.77
1995-05-31,269.948
1995-06-30,271.196
1995-07-31,286.516
1995-08-31,280.559
1995-09-29,291.473
1995-10-31,292.675
1995-11-30,295.746
1995-12-29,304.279
1996-01-31,302.842
1996-02-29,305.118
1996-03-29,305.878
1996-04-30,312.001
1996-05-31,318.113
1996-06-28,317.428
1996-07-31,318.462
1996-08-30,337.871
1996-09-30,346.866
1996-10-31,364.417
1996-11-29,384.504
1996-12-31,399.569
1997-01-31,388.539
1997-02-28,400.348
1997-03-31,407.758
1997-04-30,416.055
1997-05-30,438.044
1997-06-30,446.595
1997-07-31,467.84
1997-08-29,458.408
1997-09-30,497.224
1997-10-31,476.896
1997-11-28,480.86
1997-12-31,500.154
1998-01-30,526.223
1998-02-27,563.419
1998-03-31,592.516
1998-04-30,592.673
1998-05-29,573.472
1998-06-30,584.524
1998-07-31,574.378
1998-08-31,532.111
1998-09-30,524.825
1998-10-30,554.961
1998-11-30,578.417
1998-12-31,597.165
1999-01-29,591.095
1999-02-26,603.816
1999-03-31,624.865
1999-04-30,651.455
1999-05-31,616.642
1999-06-30,616.76
1999-07-30,625.426
1999-08-31,624.654
1999-09-30,617.86
1999-10-29,638.553
1999-11-30,651.622
1999-12-31,694.952
2000-01-31,635.361
2000-02-29,621.119
2000-03-31,663.092
2000-04-28,630.509
2000-05-31,608.224
2000-06-30,609.869
2000-07-31,609.043
2000-08-31,622.887
2000-09-29,597.779
2000-10-31,602.662
2000-11-30,564.8
2000-12-29,603.049
2001-01-31,595.198
2001-02-28,552.334
2001-03-30,522.334
2001-04-30,556.575
2001-05-31,536.906
2001-06-29,519.232
2001-07-31,518.361
2001-08-31,512.603
2001-09-28,482.973
2001-10-31,490.391
2001-11-30,497.518
2001-12-31,508.446
2002-01-31,487.783
2002-02-28,484.091
2002-03-29,505.025
2002-04-30,507.586
2002-05-31,501.161
2002-06-28,480.421
2002-07-31,452.858
2002-08-30,448.232
2002-09-30,398.914
2002-10-31,435.085
2002-11-29,449.578
2002-12-31,439.98
2003-01-31,407.226
2003-02-28,405.214
2003-03-31,405.148
2003-04-30,446.052
2003-05-30,470.045
2003-06-30,471.524
2003-07-31,470.768
2003-08-29,464.882
2003-09-30,483.744
2003-10-31,513.74
2003-11-28,529.613
2003-12-31,571.594
2004-01-30,562.616
2004-02-27,583.916
2004-03-31,568.618
2004-04-30,567.997
2004-05-31,579.237
2004-06-30,576.375
2004-07-30,574.021
2004-08-31,579.159
2004-09-30,598.225
2004-10-29,612.949
2004-11-30,649.918
2004-12-31,668.418
2005-01-31,661.759
2005-02-28,694.877
2005-03-31,676.837
2005-04-29,674.233
2005-05-31,665.915
2005-06-30,676.932
2005-07-29,688.361
