Date,UNITED KINGDOM LARGE CAP Large Cap
2001-01-01,602.551
2001-01-02,598.636
2001-01-03,589.114
2001-01-04,598.551
2001-01-05,600.826
2001-01-08,596.95
2001-01-09,587.852
2001-01-10,585.081
2001-01-11,591.887
2001-01-12,591.067
2001-01-15,592.062
2001-01-16,580.089
2001-01-17,591.077
2001-01-18,593.081
2001-01-19,589.66
2001-01-22,589.243
2001-01-23,591.573
2001-01-24,591.131
2001-01-25,590.53
2001-01-26,593.332
2001-01-29,595.457
2001-01-30,597.963
2001-01-31,594.706
2001-02-01,596.869
2001-02-02,592.954
2001-02-05,597.504
2001-02-06,593.543
2001-02-07,587.866
2001-02-08,579.51
2001-02-09,576.151
2001-02-12,585.5
2001-02-13,583.567
2001-02-14,582.097
2001-02-15,579.523
2001-02-16,569.895
2001-02-19,567.941
2001-02-20,556.658
2001-02-21,557.216
2001-02-22,560.753
2001-02-23,556.112
2001-02-26,550.307
2001-02-27,552.717
2001-02-28,551.877
2001-03-01,555.88
2001-03-02,558.273
2001-03-05,563.279
2001-03-06,570.382
2001-03-07,567.722
2001-03-08,570.65
2001-03-09,562.167
2001-03-12,552.784
2001-03-13,537.636
2001-03-14,528.735
2001-03-15,537.203
2001-03-16,516.3
2001-03-19,513.865
2001-03-20,523.957
2001-03-21,514.773
2001-03-22,490.511
2001-03-23,501.424
2001-03-26,519.562
2001-03-27,535.536
2001-03-28,523.971
2001-03-29,522.45
2001-03-30,521.902
2001-04-02,520.741
2001-04-03,508.707
2001-04-04,518.072
2001-04-05,524.246
2001-04-06,525.994
2001-04-09,536.324
2001-04-10,545.093
2001-04-11,541.095
2001-04-12,541.658
2001-04-13,541.658
2001-04-16,539.383
2001-04-17,538.193
2001-04-18,546.258
2001-04-19,549.878
2001-04-20,552.045
2001-04-23,550.778
2001-04-24,546.525
2001-04-25,546.829
2001-04-26,550.94
2001-04-27,557.329
2001-04-30,556.115
2001-05-01,553.029
2001-05-02,551.264
2001-05-03,538.067
2001-05-04,549.768
2001-05-07,550.847
2001-05-08,549.495
2001-05-09,546.934
2001-05-10,554.206
2001-05-11,546.469
2001-05-14,526.102
2001-05-15,541.489
2001-05-16,548.194
2001-05-17,550.09
2001-05-18,551.292
2001-05-21,555.831
2001-05-22,555.5
2001-05-23,546.915
2001-05-24,543.013
2001-05-25,544.804
2001-05-28,544.708
2001-05-29,541.498
2001-05-30,537.366
2001-05-31,536.463
2001-06-01,535.784
2001-06-04,539.677
2001-06-05,544.431
2001-06-06,536.794
2001-06-07,539.513
2001-06-08,536.17
2001-06-11,525.235
2001-06-12,522.804
2001-06-13,527.589
2001-06-14,526.611
2001-06-15,525.719
2001-06-18,520.835
2001-06-19,520.987
2001-06-20,520.802
2001-06-21,522.142
2001-06-22,523.252
2001-06-25,523.857
2001-06-26,514.667
2001-06-27,518.598
2001-06-28,519.427
2001-06-29,518.803
2001-07-02,529.286
2001-07-03,519.554
2001-07-04,515.778
2001-07-05,509.313
2001-07-06,505.254
2001-07-09,505.603
2001-07-10,506.191
2001-07-11,500.152
2001-07-12,505.419
2001-07-13,508.545
2001-07-16,506.419
2001-07-17,498.075
2001-07-18,501.793
2001-07-19,505.888
2001-07-20,505.086
2001-07-23,503.629
2001-07-24,495.96
2001-07-25,494.824
2001-07-26,495.824
2001-07-27,505.455
2001-07-30,509.877
2001-07-31,517.933
2001-08-01,522.138
2001-08-02,525.507
2001-08-03,521.279
2001-08-06,515.329
2001-08-07,516.253
2001-08-08,509.698
2001-08-09,505.639
2001-08-10,509.677
2001-08-13,508.186
2001-08-14,515.382
2001-08-15,518.383
2001-08-16,513.162
2001-08-17,508.89
2001-08-20,510.483
2001-08-21,519.061
2001-08-22,520.38
2001-08-23,515.668
2001-08-24,522.524
2001-08-27,521.259
2001-08-28,519.578
2001-08-29,519.161
2001-08-30,510.517
2001-08-31,512.18
2001-09-03,509.639
2001-09-04,513.73
2001-09-05,510.468
2001-09-06,499.403
2001-09-07,489.855
