Date,JAPAN SMALL VALUE Small Cap
1994-05-31,830.771
1994-06-30,908.108
1994-07-29,884.586
1994-08-31,873.615
1994-09-30,844.938
1994-10-31,853.978
1994-11-30,790.456
1994-12-30,809.616
1995-01-31,793.562
1995-02-28,738.636
1995-03-31,781.459
1995-04-28,796.309
1995-05-31,731.565
1995-06-30,696.47
1995-07-31,737.4
1995-08-31,718.647
1995-09-29,705.525
1995-10-31,676.051
1995-11-30,707.981
1995-12-29,751.486
1996-01-31,764.444
1996-02-29,757.348
1996-03-29,772.17
1996-04-30,855.949
1996-05-31,828.11
1996-06-28,831.302
1996-07-31,796.069
1996-08-30,762.714
1996-09-30,752.563
1996-10-31,703.005
1996-11-29,680.6
1996-12-31,614.306
1997-01-31,553.794
1997-02-28,550.725
1997-03-31,515.722
1997-04-30,501.801
1997-05-30,573.756
1997-06-30,592.652
1997-07-31,529.612
1997-08-29,476.081
1997-09-30,415.64
1997-10-31,412.784
1997-11-28,344.774
1997-12-31,297.865
1998-01-30,368.832
1998-02-27,387.51
1998-03-31,356.873
1998-04-30,340.829
1998-05-29,324.851
1998-06-30,327.116
1998-07-31,322.432
1998-08-31,294.856
1998-09-30,283.601
1998-10-30,318.185
1998-11-30,338.23
1998-12-31,352.62
1999-01-29,349.096
1999-02-26,345.423
1999-03-31,390.083
1999-04-30,424.499
1999-05-31,404.977
1999-06-30,456.465
1999-07-30,494.873
1999-08-31,512.88
1999-09-30,528.745
1999-10-29,511.585
1999-11-30,495.842
1999-12-31,457.38
2000-01-31,457.005
2000-02-29,432.313
2000-03-31,480.113
2000-04-28,437.823
2000-05-31,459.353
2000-06-30,513.31
2000-07-31,459.551
2000-08-31,489.418
2000-09-29,469.848
2000-10-31,433.578
2000-11-30,437.413
2000-12-29,410.454
2001-01-31,405.449
2001-02-28,414.473
2001-03-30,405.266
2001-04-30,451.574
2001-05-31,463.61
2001-06-29,458.494
2001-07-31,432.241
2001-08-31,442.782
2001-09-28,410.661
2001-10-31,415.487
2001-11-30,394.28
2001-12-31,358.825
2002-01-31,336.95
2002-02-28,358.355
2002-03-29,370.121
2002-04-30,388.928
2002-05-31,429.984
2002-06-28,418.077
2002-07-31,411.608
2002-08-30,407.82
2002-09-30,403.237
2002-10-31,377.707
2002-11-29,376.494
2002-12-31,378.517
2003-01-31,371.247
2003-02-28,393.848
2003-03-31,393.139
2003-04-30,407.438
2003-05-30,423.676
2003-06-30,460.723
2003-07-31,465.387
2003-08-29,511.378
2003-09-30,556.006
2003-10-31,579.774
2003-11-28,550.191
2003-12-31,589.002
2004-01-30,610.6
2004-02-27,618.039
2004-03-31,734.204
2004-04-30,710.027
2004-05-31,686.038
2004-06-30,744.856
2004-07-30,703.058
2004-08-31,706.457
2004-09-30,693.87
2004-10-29,706.11
2004-11-30,733.926
2004-12-31,773.815
2005-01-31,797.101
2005-02-28,819.969
2005-03-31,824.324
2005-04-29,816.91
2005-05-31,799.936
2005-06-30,808.047
2005-07-29,819.444
2005-08-31,851.844
2005-09-30,904.256
2005-10-31,923.27
2005-11-30,938.128
2005-12-30,1027.248
2006-01-31,1079.378
2006-02-28,1039.301
2006-03-31,1073.711
2006-04-28,1092.331
2006-05-31,1028.651
2006-06-30,997.208
2006-07-31,962.816
2006-08-31,977.458
2006-09-29,963.866
2006-10-31,950.124
2006-11-30,952.721
2006-12-29,964.196
2007-01-31,985.809
2007-02-28,1035.247
2007-03-30,1026.185
2007-04-30,1019.241
2007-05-31,1000.0
2007-06-29,994.41
2007-07-31,987.788
2007-08-31,956.599
2007-09-28,957.923
2007-10-31,955.565
2007-11-30,937.507
2007-12-31,897.299
2008-01-31,871.222
2008-02-29,869.158
2008-03-31,872.362
2008-04-30,882.37
2008-05-30,911.835
2008-06-30,857.169
2008-07-31,829.295
2008-08-29,793.614
2008-09-30,725.518
2008-10-31,656.977
2008-11-28,684.457
2008-12-31,738.124
2009-01-30,703.152
2009-02-27,608.265
2009-03-31,639.367
2009-04-30,685.157
2009-05-29,768.887
2009-06-30,821.803
2009-07-31,837.573
2009-08-31,886.549
2009-09-30,877.147
2009-10-30,840.789
2009-11-30,806.67
2009-12-31,790.151
2010-01-29,806.755
2010-02-26,825.152
2010-03-31,862.957
2010-04-30,892.185
2010-05-31,825.015
2010-06-30,833.459
2010-07-30,843.411
2010-08-31,826.093
2010-09-30,853.999
2010-10-29,842.233
2010-11-30,857.516
2010-12-31,950.735
2011-01-31,963.162
2011-02-28,1000.856
2011-03-31,946.032
2011-04-29,935.855
2011-05-31,914.539
2011-06-30,951.792
2011-07-29,989.285
2011-08-31,950.745
2011-09-30,957.061
2011-10-31,915.943
2011-11-30,892.587
2011-12-30,907.221
2012-01-31,956.572
2012-02-29,984.483
2012-03-30,1005.727
2012-04-30,979.475
2012-05-31,895.037
2012-06-29,931.135
2012-07-31,908.368
