Date,JAPAN SMALL VALUE Small Cap
2001-01-01,405.849
2001-01-02,404.803
2001-01-03,405.185
2001-01-04,396.876
2001-01-05,394.048
2001-01-08,393.935
2001-01-09,387.832
2001-01-10,386.052
2001-01-11,376.113
2001-01-12,376.682
2001-01-15,375.52
2001-01-16,383.95
2001-01-17,384.539
2001-01-18,390.046
2001-01-19,394.324
2001-01-22,395.281
2001-01-23,395.656
2001-01-24,391.406
2001-01-25,396.713
2001-01-26,394.04
2001-01-29,395.907
2001-01-30,397.434
2001-01-31,400.856
2001-02-01,405.231
2001-02-02,405.21
2001-02-05,405.249
2001-02-06,404.57
2001-02-07,401.801
2001-02-08,398.929
2001-02-09,397.306
2001-02-12,397.316
2001-02-13,400.342
2001-02-14,405.408
2001-02-15,411.116
2001-02-16,410.814
2001-02-19,407.706
2001-02-20,412.497
2001-02-21,408.222
2001-02-22,405.326
2001-02-23,411.262
2001-02-26,412.937
2001-02-27,416.293
2001-02-28,409.809
2001-03-01,408.404
2001-03-02,396.019
2001-03-05,393.311
2001-03-06,399.129
2001-03-07,397.353
2001-03-08,398.951
2001-03-09,402.091
2001-03-12,392.875
2001-03-13,386.46
2001-03-14,383.836
2001-03-15,381.854
2001-03-16,380.187
2001-03-19,384.819
2001-03-20,383.549
2001-03-21,396.065
2001-03-22,391.99
2001-03-23,401.515
2001-03-26,415.349
2001-03-27,416.168
2001-03-28,421.758
2001-03-29,413.141
2001-03-30,401.253
2001-04-02,397.009
2001-04-03,406.187
2001-04-04,411.564
2001-04-05,418.31
2001-04-06,419.528
2001-04-09,413.312
2001-04-10,414.897
2001-04-11,417.184
2001-04-12,423.264
2001-04-13,424.488
2001-04-16,423.655
2001-04-17,426.435
2001-04-18,435.288
2001-04-19,439.758
2001-04-20,436.358
2001-04-23,440.337
2001-04-24,442.498
2001-04-25,446.139
2001-04-26,451.202
2001-04-27,446.216
2001-04-30,447.104
2001-05-01,462.771
2001-05-02,463.568
2001-05-03,467.215
2001-05-04,467.292
2001-05-07,466.78
2001-05-08,459.963
2001-05-09,455.329
2001-05-10,454.458
2001-05-11,455.325
2001-05-14,448.897
2001-05-15,448.912
2001-05-16,445.6
2001-05-17,451.33
2001-05-18,449.795
2001-05-21,454.29
2001-05-22,455.251
2001-05-23,464.327
2001-05-24,464.399
2001-05-25,462.304
2001-05-28,458.951
2001-05-29,462.487
2001-05-30,457.514
2001-05-31,459.031
2001-06-01,461.044
2001-06-04,458.931
2001-06-05,454.727
2001-06-06,453.964
2001-06-07,457.835
2001-06-08,458.935
2001-06-11,456.011
2001-06-12,448.238
2001-06-13,449.661
2001-06-14,450.237
2001-06-15,442.702
2001-06-18,441.113
2001-06-19,440.998
2001-06-20,437.81
2001-06-21,438.927
2001-06-22,446.933
2001-06-25,451.626
2001-06-26,455.404
2001-06-27,452.973
2001-06-28,448.614
2001-06-29,453.986
2001-07-02,451.391
2001-07-03,452.502
2001-07-04,449.235
2001-07-05,445.294
2001-07-06,439.683
2001-07-09,433.693
2001-07-10,436.238
2001-07-11,436.679
2001-07-12,441.364
2001-07-13,439.472
2001-07-16,437.736
2001-07-17,434.791
2001-07-18,432.671
2001-07-19,434.363
2001-07-20,435.756
2001-07-23,423.332
2001-07-24,426.334
2001-07-25,430.407
2001-07-26,431.84
2001-07-27,433.0
2001-07-30,422.547
2001-07-31,427.995
2001-08-01,433.092
2001-08-02,442.574
2001-08-03,439.949
2001-08-06,439.396
2001-08-07,441.36
2001-08-08,442.229
2001-08-09,436.161
2001-08-10,441.503
2001-08-13,436.722
2001-08-14,443.337
2001-08-15,451.853
2001-08-16,449.493
2001-08-17,448.335
2001-08-20,442.886
