Date,JAPAN SMALL VALUE Small Cap
1994-05-31,813.16
1994-06-30,888.873
1994-07-29,865.853
1994-08-31,855.131
1994-09-30,827.274
1994-10-31,836.129
1994-11-30,773.942
1994-12-30,792.741
1995-01-31,777.029
1995-02-28,723.27
1995-03-31,765.661
1995-04-28,780.217
1995-05-31,716.79
1995-06-30,682.423
1995-07-31,722.53
1995-08-31,704.171
1995-09-29,691.535
1995-10-31,662.65
1995-11-30,693.954
1995-12-29,736.637
1996-01-31,749.344
1996-02-29,742.415
1996-03-29,757.333
1996-04-30,839.508
1996-05-31,812.211
1996-06-28,815.358
1996-07-31,780.804
1996-08-30,748.105
1996-09-30,738.357
1996-10-31,689.741
1996-11-29,667.765
1996-12-31,602.76
1997-01-31,543.388
1997-02-28,540.401
1997-03-31,506.404
1997-04-30,492.74
1997-05-30,563.404
1997-06-30,581.974
1997-07-31,520.072
1997-08-29,467.518
1997-09-30,408.343
1997-10-31,405.545
1997-11-28,338.736
1997-12-31,292.679
1998-01-30,362.416
1998-02-27,380.791
1998-03-31,351.008
1998-04-30,335.23
1998-05-29,319.519
1998-06-30,321.761
1998-07-31,317.155
1998-08-31,290.044
1998-09-30,279.121
1998-10-30,313.165
1998-11-30,332.902
1998-12-31,347.101
1999-01-29,343.637
1999-02-26,340.049
1999-03-31,384.476
1999-04-30,418.401
1999-05-31,399.163
1999-06-30,449.924
1999-07-30,487.786
1999-08-31,505.555
1999-09-30,521.475
1999-10-29,504.56
1999-11-30,489.038
1999-12-31,451.152
2000-01-31,450.788
2000-02-29,426.461
2000-03-31,474.23
2000-04-28,432.46
2000-05-31,453.73
2000-06-30,507.053
2000-07-31,453.951
2000-08-31,483.476
2000-09-29,464.445
2000-10-31,428.603
2000-11-30,432.407
2000-12-29,405.802
2001-01-31,400.856
2001-02-28,409.809
2001-03-30,401.253
2001-04-30,447.104
2001-05-31,459.031
2001-06-29,453.986
2001-07-31,427.995
2001-08-31,438.451
2001-09-28,406.947
2001-10-31,411.727
2001-11-30,390.725
2001-12-31,355.628
2002-01-31,333.952
2002-02-28,355.199
2002-03-29,367.363
2002-04-30,386.033
2002-05-31,426.801
2002-06-28,415.018
2002-07-31,408.598
2002-08-30,404.854
2002-09-30,400.608
2002-10-31,375.246
2002-11-29,374.051
2002-12-31,376.125
2003-01-31,368.906
2003-02-28,391.401
2003-03-31,391.413
2003-04-30,405.638
2003-05-30,421.817
2003-06-30,458.726
2003-07-31,463.373
2003-08-29,509.189
2003-09-30,553.861
2003-10-31,577.54
2003-11-28,548.078
2003-12-31,586.785
2004-01-30,608.306
2004-02-27,615.752
2004-03-31,731.875
2004-04-30,707.787
2004-05-31,683.883
2004-06-30,742.54
2004-07-30,700.88
2004-08-31,704.292
2004-09-30,691.978
2004-10-29,704.189
2004-11-30,731.941
2004-12-31,771.76
2005-01-31,794.993
2005-02-28,817.829
