Date,FINLAND SMALL GROWTH Small Cap
1994-05-31,205.5
1994-06-30,189.11
1994-07-29,204.383
1994-08-31,219.761
1994-09-30,221.052
1994-10-31,238.801
1994-11-30,214.593
1994-12-30,213.143
1995-01-31,208.75
1995-02-28,207.163
1995-03-31,201.972
1995-04-28,227.194
1995-05-31,219.062
1995-06-30,220.933
1995-07-31,237.821
1995-08-31,226.675
1995-09-29,243.253
1995-10-31,230.049
1995-11-30,226.113
1995-12-29,216.591
1996-01-31,218.173
1996-02-29,224.893
1996-03-29,218.41
1996-04-30,218.741
1996-05-31,252.039
1996-06-28,254.749
1996-07-31,265.346
1996-08-30,285.048
1996-09-30,285.983
1996-10-31,291.007
1996-11-29,299.21
1996-12-31,307.934
1997-01-31,336.379
1997-02-28,351.61
1997-03-31,347.403
1997-04-30,330.417
1997-05-30,341.045
1997-06-30,343.838
1997-07-31,369.853
1997-08-29,355.665
1997-09-30,399.19
1997-10-31,395.988
1997-11-28,393.69
1997-12-31,377.934
1998-01-30,399.529
1998-02-27,454.135
1998-03-31,484.677
1998-04-30,530.097
1998-05-29,548.798
1998-06-30,550.96
1998-07-31,556.631
1998-08-31,439.475
1998-09-30,394.461
1998-10-30,390.475
1998-11-30,427.888
1998-12-31,432.889
1999-01-29,385.972
1999-02-26,361.21
1999-03-31,350.598
1999-04-30,360.073
1999-05-31,378.721
1999-06-30,379.906
1999-07-30,383.571
1999-08-31,371.128
1999-09-30,365.602
1999-10-29,366.834
1999-11-30,382.56
1999-12-31,534.712
2000-01-31,584.448
2000-02-29,625.968
2000-03-31,574.558
2000-04-28,526.118
2000-05-31,459.458
2000-06-30,477.543
2000-07-31,451.039
2000-08-31,455.098
2000-09-29,427.041
2000-10-31,364.362
2000-11-30,310.579
2000-12-29,326.502
2001-01-31,276.029
2001-02-28,198.831
2001-03-30,179.928
2001-04-30,196.975
2001-05-31,205.429
2001-06-29,183.759
2001-07-31,185.004
2001-08-31,182.703
2001-09-28,174.412
2001-10-31,189.801
2001-11-30,201.372
2001-12-31,198.202
2002-01-31,197.038
2002-02-28,208.707
2002-03-29,215.225
2002-04-30,218.862
2002-05-31,223.925
2002-06-28,220.859
2002-07-31,188.059
2002-08-30,187.285
2002-09-30,167.718
2002-10-31,180.209
2002-11-29,199.099
2002-12-31,214.537
2003-01-31,214.669
2003-02-28,209.591
2003-03-31,209.389
2003-04-30,234.766
2003-05-30,246.019
2003-06-30,253.774
2003-07-31,265.184
2003-08-29,273.265
2003-09-30,289.003
2003-10-31,327.455
2003-11-28,350.577
2003-12-31,360.682
2004-01-30,375.108
2004-02-27,398.366
2004-03-31,394.588
2004-04-30,375.91
2004-05-31,370.782
2004-06-30,386.142
2004-07-30,371.536
2004-08-31,364.899
2004-09-30,388.164
2004-10-29,402.904
2004-11-30,463.014
2004-12-31,470.943
2005-01-31,457.265
2005-02-28,519.384
2005-03-31,495.617
2005-04-29,465.357
2005-05-31,493.325
2005-06-30,503.815
2005-07-29,531.271
2005-08-31,554.363
2005-09-30,582.303
