Date,FINLAND SMALL GROWTH Small Cap
2001-01-01,326.502
2001-01-02,324.667
2001-01-03,305.014
2001-01-04,312.123
2001-01-05,309.734
2001-01-08,301.04
2001-01-09,279.963
2001-01-10,274.59
2001-01-11,279.207
2001-01-12,295.548
2001-01-15,297.067
2001-01-16,291.999
2001-01-17,297.821
2001-01-18,303.476
2001-01-19,305.11
2001-01-22,300.417
2001-01-23,295.177
2001-01-24,291.943
2001-01-25,286.075
2001-01-26,265.727
2001-01-29,259.34
2001-01-30,265.481
2001-01-31,276.029
2001-02-01,261.893
2001-02-02,253.411
2001-02-05,254.685
2001-02-06,249.927
2001-02-07,225.19
2001-02-08,225.44
2001-02-09,219.097
2001-02-12,217.763
2001-02-13,218.982
2001-02-14,216.62
2001-02-15,220.637
2001-02-16,218.336
2001-02-19,217.09
2001-02-20,215.676
2001-02-21,203.693
2001-02-22,196.433
2001-02-23,195.089
2001-02-26,197.459
2001-02-27,201.149
2001-02-28,198.831
2001-03-01,193.373
2001-03-02,193.233
2001-03-05,197.843
2001-03-06,209.713
2001-03-07,210.86
2001-03-08,216.192
2001-03-09,213.616
2001-03-12,207.789
2001-03-13,202.839
2001-03-14,201.229
2001-03-15,201.509
2001-03-16,189.393
2001-03-19,190.524
2001-03-20,192.858
2001-03-21,185.871
2001-03-22,183.117
2001-03-23,185.49
2001-03-26,187.127
2001-03-27,188.778
2001-03-28,186.781
2001-03-29,182.149
2001-03-30,179.928
2001-04-02,175.87
2001-04-03,173.773
2001-04-04,173.949
2001-04-05,169.834
2001-04-06,168.691
2001-04-09,171.503
2001-04-10,171.999
2001-04-11,178.235
2001-04-12,180.008
2001-04-13,180.008
2001-04-16,178.165
2001-04-17,177.67
2001-04-18,182.893
2001-04-19,189.989
2001-04-20,192.973
2001-04-23,189.787
2001-04-24,190.607
2001-04-25,192.052
2001-04-26,189.37
2001-04-27,193.394
2001-04-30,196.975
2001-05-01,198.019
2001-05-02,197.011
2001-05-03,197.925
2001-05-04,199.203
2001-05-07,203.808
2001-05-08,201.125
2001-05-09,197.509
2001-05-10,205.189
2001-05-11,205.947
2001-05-14,202.788
2001-05-15,205.428
2001-05-16,206.377
2001-05-17,210.199
2001-05-18,210.559
2001-05-21,211.719
2001-05-22,214.208
2001-05-23,215.295
2001-05-24,214.483
2001-05-25,214.764
2001-05-28,215.009
2001-05-29,212.588
2001-05-30,209.642
2001-05-31,205.429
2001-06-01,205.371
2001-06-04,205.055
2001-06-05,207.659
2001-06-06,207.851
2001-06-07,207.576
2001-06-08,207.274
2001-06-11,202.984
2001-06-12,196.206
2001-06-13,198.558
2001-06-14,197.205
2001-06-15,196.122
2001-06-18,195.619
2001-06-19,195.629
2001-06-20,190.677
2001-06-21,191.233
2001-06-22,191.424
2001-06-25,193.101
2001-06-26,188.532
2001-06-27,187.039
2001-06-28,183.293
2001-06-29,183.759
2001-07-02,185.067
2001-07-03,186.284
2001-07-04,184.254
2001-07-05,182.929
2001-07-06,181.429
2001-07-09,181.219
2001-07-10,185.19
2001-07-11,182.808
2001-07-12,183.542
2001-07-13,183.636
2001-07-16,185.541
2001-07-17,182.458
2001-07-18,186.25
2001-07-19,186.203
2001-07-20,186.198
2001-07-23,184.411
2001-07-24,185.891
2001-07-25,184.619
2001-07-26,184.335
2001-07-27,183.002
2001-07-30,184.526
2001-07-31,185.004
2001-08-01,183.924
2001-08-02,188.156
2001-08-03,189.676
2001-08-06,187.059
2001-08-07,185.586
2001-08-08,185.155
2001-08-09,181.427
2001-08-10,185.807
2001-08-13,187.615
2001-08-14,185.428
2001-08-15,188.277
2001-08-16,186.625
2001-08-17,187.108
2001-08-20,184.591
2001-08-21,188.046
2001-08-22,191.385
2001-08-23,190.035
2001-08-24,188.932
2001-08-27,189.425
2001-08-28,186.541
2001-08-29,184.762
2001-08-30,181.928
2001-08-31,182.703
2001-09-03,181.888
2001-09-04,177.351
2001-09-05,175.875
2001-09-06,175.122
2001-09-07,177.602
2001-09-10,174.534
2001-09-11,173.649
2001-09-12,176.05
2001-09-13,178.986
2001-09-14,179.928
2001-09-17,178.262
2001-09-18,181.402
2001-09-19,181.842
2001-09-20,176.928
2001-09-21,169.395
2001-09-24,172.912
2001-09-25,177.237
2001-09-26,175.518
2001-09-27,172.014
2001-09-28,174.412
2001-10-01,172.476
2001-10-02,172.805
2001-10-03,172.509
2001-10-04,174.15
2001-10-05,174.474
2001-10-08,175.7
2001-10-09,177.963
2001-10-10,177.775
2001-10-11,180.619
2001-10-12,180.478
2001-10-15,180.938
2001-10-16,180.92
2001-10-17,183.512
2001-10-18,181.4
2001-10-19,178.787
2001-10-22,178.996
2001-10-23,180.421
2001-10-24,183.621
2001-10-25,187.285
2001-10-26,190.409
2001-10-29,190.869
2001-10-30,186.5
2001-10-31,189.801
2001-11-01,191.461
2001-11-02,191.748
2001-11-05,193.892
2001-11-06,193.46
2001-11-07,192.25
2001-11-08,193.192
2001-11-09,192.985
2001-11-12,191.589
2001-11-13,193.226
2001-11-14,195.83
2001-11-15,197.514
2001-11-16,199.757
2001-11-19,196.865
2001-11-20,196.597
2001-11-21,195.675
2001-11-22,198.136
2001-11-23,198.932
2001-11-26,201.717
2001-11-27,199.677
2001-11-28,198.392
2001-11-29,196.707
2001-11-30,201.372
2001-12-03,198.458
2001-12-04,200.942
2001-12-05,201.104
2001-12-06,201.795
2001-12-07,202.621
2001-12-10,199.722
2001-12-11,200.389
2001-12-12,200.707
2001-12-13,199.152
2001-12-14,198.084
2001-12-17,199.082
2001-12-18,199.896
2001-12-19,197.969
2001-12-20,194.973
2001-12-21,193.066
2001-12-24,191.14
2001-12-25,191.14
2001-12-26,191.303
2001-12-27,194.485
2001-12-28,196.458
2001-12-31,198.202
2002-01-01,198.202
2002-01-02,203.317
2002-01-03,208.498
2002-01-04,209.795
2002-01-07,210.77
2002-01-08,206.068
2002-01-09,206.707
2002-01-10,206.412
2002-01-11,206.527
2002-01-14,204.261
2002-01-15,203.877
2002-01-16,201.308
2002-01-17,201.789
2002-01-18,204.326
2002-01-21,202.467
2002-01-22,201.114
2002-01-23,199.835
2002-01-24,201.374
2002-01-25,197.589
2002-01-28,196.889
2002-01-29,196.753
2002-01-30,195.868
2002-01-31,197.038
2002-02-01,199.803
2002-02-04,201.023
2002-02-05,198.547
2002-02-06,198.754
2002-02-07,198.77
2002-02-08,197.96
2002-02-11,200.372
2002-02-12,201.555
2002-02-13,201.206
2002-02-14,205.17
2002-02-15,208.118
2002-02-18,206.419
2002-02-19,207.136
2002-02-20,205.819
2002-02-21,206.749
2002-02-22,207.125
2002-02-25,206.455
2002-02-26,207.493
2002-02-27,208.19
2002-02-28,208.707
2002-03-01,209.968
2002-03-04,214.115
2002-03-05,213.737
2002-03-06,214.483
2002-03-07,218.016
2002-03-08,217.678
2002-03-11,217.195
2002-03-12,215.396
2002-03-13,217.134
2002-03-14,219.235
2002-03-15,218.53
2002-03-18,217.854
2002-03-19,216.142
2002-03-20,216.635
2002-03-21,217.563
2002-03-22,215.964
2002-03-25,215.166
2002-03-26,216.098
2002-03-27,215.312
2002-03-28,215.225
2002-03-29,215.225
2002-04-01,216.989
2002-04-02,220.09
2002-04-03,220.105
2002-04-04,221.527
2002-04-05,221.564
2002-04-08,219.851
2002-04-09,220.699
2002-04-10,223.755
2002-04-11,223.939
2002-04-12,222.313
2002-04-15,222.093
2002-04-16,223.372
2002-04-17,227.468
2002-04-18,227.464
2002-04-19,225.332
2002-04-22,223.689
2002-04-23,222.257
2002-04-24,220.591
2002-04-25,219.912
2002-04-26,222.97
2002-04-29,223.317
2002-04-30,218.862
2002-05-01,220.1
2002-05-02,222.233
2002-05-03,222.003
2002-05-06,221.156
2002-05-07,220.72
2002-05-08,223.062
2002-05-09,223.013
2002-05-10,221.348
2002-05-13,222.834
2002-05-14,222.371
2002-05-15,225.624
2002-05-16,225.415
2002-05-17,228.447
2002-05-20,229.8
2002-05-21,226.256
2002-05-22,226.822
2002-05-23,225.348
2002-05-24,225.921
2002-05-27,225.029
2002-05-28,226.843
2002-05-29,227.098
2002-05-30,226.485
2002-05-31,223.925
2002-06-03,225.215
2002-06-04,222.982
2002-06-05,223.825
2002-06-06,224.159
2002-06-07,218.699
2002-06-10,219.189
2002-06-11,221.613
2002-06-12,218.77
2002-06-13,216.673
2002-06-14,213.43
2002-06-17,214.198
2002-06-18,217.769
2002-06-19,214.52
2002-06-20,213.137
2002-06-21,214.176
2002-06-24,210.847
2002-06-25,209.49
2002-06-26,210.752
2002-06-27,214.207
2002-06-28,220.859
2002-07-01,226.144
2002-07-02,221.672
2002-07-03,218.673
2002-07-04,217.805
2002-07-05,221.053
2002-07-08,223.822
2002-07-09,223.885
2002-07-10,220.368
2002-07-11,221.916
2002-07-12,219.653
2002-07-15,220.539
2002-07-16,217.675
2002-07-17,219.36
2002-07-18,219.887
2002-07-19,218.832
2002-07-22,215.258
2002-07-23,209.866
2002-07-24,198.27
2002-07-25,188.853
2002-07-26,187.502
2002-07-29,186.408
2002-07-30,189.609
2002-07-31,188.059
2002-08-01,186.484
2002-08-02,183.149
2002-08-05,178.253
2002-08-06,173.545
2002-08-07,174.491
2002-08-08,172.729
2002-08-09,173.965
2002-08-12,176.019
2002-08-13,174.588
2002-08-14,174.542
2002-08-15,173.013
2002-08-16,175.137
2002-08-19,174.046
2002-08-20,176.833
2002-08-21,182.125
2002-08-22,186.772
2002-08-23,189.972
2002-08-26,187.326
2002-08-27,192.332
2002-08-28,190.143
2002-08-29,186.796
2002-08-30,187.285
2002-09-02,187.471
2002-09-03,184.153
2002-09-04,182.379
2002-09-05,181.601
2002-09-06,182.359
2002-09-09,182.837
2002-09-10,181.28
2002-09-11,184.386
2002-09-12,184.154
2002-09-13,184.043
2002-09-16,181.103
2002-09-17,179.197
2002-09-18,175.784
2002-09-19,176.071
2002-09-20,173.344
2002-09-23,172.172
2002-09-24,164.727
2002-09-25,166.777
2002-09-26,170.853
2002-09-27,169.868
2002-09-30,167.718
2002-10-01,168.034
2002-10-02,170.465
2002-10-03,168.351
2002-10-04,168.908
2002-10-07,166.493
2002-10-08,165.307
2002-10-09,166.748
2002-10-10,165.331
2002-10-11,166.695
2002-10-14,165.438
2002-10-15,172.394
2002-10-16,172.502
2002-10-17,176.688
2002-10-18,177.485
2002-10-21,178.102
2002-10-22,180.88
2002-10-23,177.392
2002-10-24,177.396
2002-10-25,176.54
2002-10-28,178.833
2002-10-29,173.405
2002-10-30,175.354
2002-10-31,180.209
2002-11-01,177.75
2002-11-04,185.63
2002-11-05,188.87
2002-11-06,188.999
2002-11-07,189.229
2002-11-08,188.975
2002-11-11,186.109
2002-11-12,186.714
2002-11-13,185.314
2002-11-14,186.211
2002-11-15,189.195
2002-11-18,189.647
2002-11-19,187.735
2002-11-20,186.484
2002-11-21,191.969
2002-11-22,193.572
2002-11-25,195.238
2002-11-26,193.464
2002-11-27,194.334
2002-11-28,199.026
2002-11-29,199.099
2002-12-02,200.415
2002-12-03,195.038
2002-12-04,195.966
2002-12-05,197.793
2002-12-06,199.246
2002-12-09,195.83
2002-12-10,194.303
2002-12-11,195.283
