Date,FINLAND SMALL GROWTH Small Cap
2001-01-01,346.404
2001-01-02,344.457
2001-01-03,323.606
2001-01-04,331.148
2001-01-05,328.614
2001-01-08,319.391
2001-01-09,297.029
2001-01-10,291.328
2001-01-11,296.226
2001-01-12,313.564
2001-01-15,315.175
2001-01-16,309.799
2001-01-17,315.975
2001-01-18,321.975
2001-01-19,323.709
2001-01-22,318.729
2001-01-23,313.169
2001-01-24,309.739
2001-01-25,303.513
2001-01-26,281.925
2001-01-29,275.148
2001-01-30,281.664
2001-01-31,292.855
2001-02-01,277.857
2001-02-02,268.858
2001-02-05,270.209
2001-02-06,265.162
2001-02-07,238.916
2001-02-08,239.182
2001-02-09,232.452
2001-02-12,231.037
2001-02-13,232.33
2001-02-14,229.824
2001-02-15,234.086
2001-02-16,231.645
2001-02-19,230.323
2001-02-20,228.823
2001-02-21,216.11
2001-02-22,208.406
2001-02-23,206.981
2001-02-26,209.495
2001-02-27,213.41
2001-02-28,210.951
2001-03-01,205.16
2001-03-02,205.011
2001-03-05,209.902
2001-03-06,222.496
2001-03-07,223.714
2001-03-08,229.37
2001-03-09,226.638
2001-03-12,220.455
2001-03-13,215.203
2001-03-14,213.495
2001-03-15,213.718
2001-03-16,200.75
2001-03-19,201.949
2001-03-20,204.423
2001-03-21,196.957
2001-03-22,194.039
2001-03-23,196.553
2001-03-26,198.288
2001-03-27,200.037
2001-03-28,197.921
2001-03-29,193.012
2001-03-30,190.659
2001-04-02,186.36
2001-04-03,184.0
2001-04-04,184.168
2001-04-05,179.793
2001-04-06,178.543
2001-04-09,181.498
2001-04-10,182.023
2001-04-11,188.623
2001-04-12,190.499
2001-04-13,190.499
2001-04-16,188.548
2001-04-17,188.025
2001-04-18,193.552
2001-04-19,201.061
2001-04-20,204.11
2001-04-23,200.741
2001-04-24,201.607
2001-04-25,203.136
2001-04-26,200.299
2001-04-27,204.534
2001-04-30,208.321
2001-05-01,209.426
2001-05-02,208.359
2001-05-03,209.326
2001-05-04,210.677
2001-05-07,215.549
2001-05-08,212.71
2001-05-09,208.886
2001-05-10,217.009
2001-05-11,217.811
2001-05-14,214.47
2001-05-15,217.261
2001-05-16,218.252
2001-05-17,222.294
2001-05-18,222.675
2001-05-21,223.901
2001-05-22,226.534
2001-05-23,227.684
2001-05-24,226.824
2001-05-25,227.121
2001-05-28,227.381
2001-05-29,224.82
2001-05-30,221.705
2001-05-31,217.25
2001-06-01,217.188
2001-06-04,216.854
2001-06-05,219.607
2001-06-06,219.811
2001-06-07,219.52
2001-06-08,219.201
2001-06-11,214.663
2001-06-12,207.496
2001-06-13,209.984
2001-06-14,208.552
2001-06-15,207.407
2001-06-18,206.875
2001-06-19,206.886
2001-06-20,201.648
2001-06-21,202.237
2001-06-22,202.438
2001-06-25,204.212
2001-06-26,199.38
2001-06-27,197.801
2001-06-28,193.84
2001-06-29,194.333
2001-07-02,195.716
2001-07-03,197.003
2001-07-04,194.856
2001-07-05,193.455
2001-07-06,191.869
2001-07-09,191.646
2001-07-10,195.845
2001-07-11,193.326
2001-07-12,194.103
2001-07-13,194.203
2001-07-16,196.217
2001-07-17,192.956
2001-07-18,196.967
2001-07-19,196.917
2001-07-20,196.912
2001-07-23,195.022
2001-07-24,196.587
2001-07-25,195.242
2001-07-26,194.941
2001-07-27,193.532
2001-07-30,195.143
2001-07-31,195.649
2001-08-01,194.507
2001-08-02,198.982
2001-08-03,200.59
2001-08-06,197.822
2001-08-07,196.265
2001-08-08,195.809
2001-08-09,191.866
2001-08-10,196.498
2001-08-13,198.41
2001-08-14,196.097
2001-08-15,199.11
2001-08-16,197.364
2001-08-17,197.874
