Date,FINLAND SMALL GROWTH Small Cap
1994-05-31,221.967
1994-06-30,204.264
1994-07-29,220.761
1994-08-31,237.327
1994-09-30,238.722
1994-10-31,257.89
1994-11-30,231.747
1994-12-30,230.18
1995-01-31,225.437
1995-02-28,223.722
1995-03-31,218.083
1995-04-28,244.759
1995-05-31,235.902
1995-06-30,237.917
1995-07-31,256.103
1995-08-31,244.1
1995-09-29,261.952
1995-10-31,247.734
1995-11-30,243.494
1995-12-29,233.241
1996-01-31,234.944
1996-02-29,242.181
1996-03-29,234.967
1996-04-30,234.68
1996-05-31,270.405
1996-06-28,273.313
1996-07-31,284.682
1996-08-30,305.819
1996-09-30,306.823
1996-10-31,312.212
1996-11-29,321.013
1996-12-31,330.373
1997-01-31,360.891
1997-02-28,377.232
1997-03-31,372.16
1997-04-30,353.365
1997-05-30,364.731
1997-06-30,367.718
1997-07-31,395.54
1997-08-29,380.367
1997-09-30,426.915
1997-10-31,423.49
1997-11-28,421.033
1997-12-31,404.182
1998-01-30,427.277
1998-02-27,485.676
1998-03-31,517.409
1998-04-30,564.438
1998-05-29,584.296
1998-06-30,586.599
1998-07-31,592.636
1998-08-31,467.902
1998-09-30,419.976
1998-10-30,415.733
1998-11-30,455.565
1998-12-31,460.89
1999-01-29,410.938
1999-02-26,384.575
1999-03-31,372.595
1999-04-30,382.285
1999-05-31,402.083
1999-06-30,403.341
1999-07-30,407.232
1999-08-31,394.021
1999-09-30,388.155
1999-10-29,389.462
1999-11-30,406.158
1999-12-31,567.696
2000-01-31,620.501
2000-02-29,664.581
2000-03-31,609.85
2000-04-28,558.189
2000-05-31,487.465
2000-06-30,506.652
2000-07-31,478.532
2000-08-31,482.839
2000-09-29,453.071
2000-10-31,386.572
2000-11-30,329.51
2000-12-29,346.404
2001-01-31,292.855
2001-02-28,210.951
2001-03-30,190.659
2001-04-30,208.321
2001-05-31,217.25
2001-06-29,194.333
2001-07-31,195.649
2001-08-31,193.216
2001-09-28,184.447
2001-10-31,200.722
2001-11-30,212.959
2001-12-31,209.602
2002-01-31,208.372
2002-02-28,220.712
2002-03-29,227.057
2002-04-30,230.024
2002-05-31,235.346
2002-06-28,232.123
2002-07-31,197.65
2002-08-30,196.837
2002-09-30,176.272
2002-10-31,189.4
2002-11-29,209.254
2002-12-31,225.48
2003-01-31,225.618
2003-02-28,220.281
2003-03-31,216.687
2003-04-30,242.656
2003-05-30,254.287
2003-06-30,262.303
2003-07-31,274.096
2003-08-29,282.448
2003-09-30,298.715
2003-10-31,338.459
2003-11-28,362.346
2003-12-31,372.779
2004-01-30,387.689
2004-02-27,411.727
2004-03-31,405.616
2004-04-30,386.005
2004-05-31,380.739
2004-06-30,396.512
2004-07-30,381.514
2004-08-31,374.698
2004-09-30,398.588
2004-10-29,413.708
2004-11-30,474.627
2004-12-31,482.561
2005-01-31,468.546
2005-02-28,532.197
2005-03-31,505.419
2005-04-29,473.84
2005-05-31,501.303
2005-06-30,511.962
2005-07-29,539.862
2005-08-31,563.328
2005-09-30,591.72
2005-10-31,533.668
2005-11-30,527.633
2005-12-30,551.084
2006-01-31,608.691
2006-02-28,624.522
2006-03-31,676.622
2006-04-28,678.495
2006-05-31,629.221
2006-06-30,610.105
2006-07-31,566.609
2006-08-31,614.641
2006-09-29,621.921
2006-10-31,653.135
2006-11-30,700.074
2006-12-29,753.317
2007-01-31,774.336
2007-02-28,826.85
2007-03-30,877.669
2007-04-30,955.48
2007-05-31,1000.0
2007-06-29,1018.276
2007-07-31,1025.505
2007-08-31,966.356
2007-09-28,1024.811
2007-10-31,1099.557
2007-11-30,927.263
2007-12-31,869.139
2008-01-31,780.277
2008-02-29,872.124
2008-03-31,906.23
2008-04-30,942.512
2008-05-30,944.218
2008-06-30,868.858
2008-07-31,772.389
2008-08-29,699.31
2008-09-30,513.916
2008-10-31,363.349
2008-11-28,327.374
2008-12-31,343.031
2009-01-30,322.51
2009-02-27,337.533
2009-03-31,365.691
2009-04-30,434.627
2009-05-29,491.423
2009-06-30,496.548
2009-07-31,539.608
2009-08-31,594.583
2009-09-30,634.963
2009-10-30,610.69
2009-11-30,639.436
2009-12-31,635.52
2010-01-29,635.095
2010-02-26,582.233
2010-03-31,658.548
2010-04-30,687.312
2010-05-31,567.452
2010-06-30,567.597
2010-07-30,652.52
2010-08-31,622.104
2010-09-30,734.661
2010-10-29,770.186
2010-11-30,761.982
2010-12-31,858.581
2011-01-31,833.374
2011-02-28,875.688
2011-03-31,916.549
2011-04-29,969.442
2011-05-31,882.658
2011-06-30,838.118
2011-07-29,739.972
2011-08-31,641.134
2011-09-30,511.737
2011-10-31,590.853
2011-11-30,575.244
2011-12-30,547.07
2012-01-31,623.815
2012-02-29,674.789
2012-03-30,609.99
2012-04-30,606.599
2012-05-31,466.111
2012-06-29,514.048
2012-07-31,515.368
2012-08-31,515.675
2012-09-28,551.221
2012-10-31,553.723
2012-11-30,569.534
2012-12-31,595.785
2013-01-31,654.083
2013-02-28,671.085
2013-03-29,619.294
2013-04-30,607.917
2013-05-31,591.569
2013-06-28,552.464
2013-07-31,571.647
2013-08-30,582.403
2013-09-30,622.699
2013-10-31,556.12
2013-11-29,563.612
2013-12-31,572.77
2014-01-31,525.744
2014-02-28,564.208
2014-03-31,575.276
2014-04-30,589.052
2014-05-30,579.114
2014-06-30,561.908
2014-07-31,543.167
2014-08-29,515.371
2014-09-30,469.859
2014-10-31,438.432
2014-11-28,435.746
2014-12-31,424.727
2015-01-30,440.117
2015-02-27,498.634
2015-03-31,500.014
2015-04-30,516.213
2015-05-29,513.249
2015-06-30,501.552
2015-07-31,527.892
2015-08-31,492.133
2015-09-30,427.576
2015-10-30,481.168
2015-11-30,504.316
2015-12-31,503.597
2016-01-29,482.736
2016-02-29,467.498
2016-03-31,515.342
2016-04-29,529.688
2016-05-31,537.387
2016-06-30,514.569
2016-07-29,570.344
2016-08-31,573.749
2016-09-30,600.519
2016-10-31,551.685
2016-11-30,546.478
2016-12-30,570.969
2017-01-31,573.462
2017-02-28,574.096
