Date,SWEDEN MID GROWTH Mid Cap
1994-05-31,266.131
1994-06-30,256.058
1994-07-29,266.058
1994-08-31,259.93
1994-09-30,258.671
1994-10-31,288.918
1994-11-30,279.408
1994-12-30,278.45
1995-01-31,288.098
1995-02-28,291.198
1995-03-31,265.174
1995-04-28,294.204
1995-05-31,291.09
1995-06-30,306.452
1995-07-31,325.947
1995-08-31,308.123
1995-09-29,339.141
1995-10-31,334.385
1995-11-30,341.359
1995-12-29,351.67
1996-01-31,336.368
1996-02-29,346.235
1996-03-29,355.618
1996-04-30,374.928
1996-05-31,380.191
1996-06-28,386.194
1996-07-31,380.827
1996-08-30,399.373
1996-09-30,420.25
1996-10-31,425.173
1996-11-29,437.964
1996-12-31,442.7
1997-01-31,446.041
1997-02-28,451.693
1997-03-31,447.882
1997-04-30,408.23
1997-05-30,428.537
1997-06-30,454.966
1997-07-31,469.904
1997-08-29,440.19
1997-09-30,469.709
1997-10-31,435.025
1997-11-28,433.419
1997-12-31,440.235
1998-01-30,446.118
1998-02-27,475.856
1998-03-31,524.69
1998-04-30,581.6
1998-05-29,630.978
1998-06-30,657.314
1998-07-31,734.557
1998-08-31,648.728
1998-09-30,608.723
1998-10-30,624.895
1998-11-30,675.621
1998-12-31,687.85
1999-01-29,737.203
1999-02-26,710.198
1999-03-31,649.812
1999-04-30,628.753
1999-05-31,615.772
1999-06-30,648.687
1999-07-30,650.751
1999-08-31,632.345
1999-09-30,686.689
1999-10-29,710.451
1999-11-30,814.268
1999-12-31,1005.632
2000-01-31,1079.519
2000-02-29,1322.363
2000-03-31,1186.104
2000-04-28,1048.646
2000-05-31,995.984
2000-06-30,914.711
2000-07-31,868.326
2000-08-31,799.582
2000-09-29,721.725
2000-10-31,651.524
2000-11-30,538.006
2000-12-29,600.796
2001-01-31,592.218
2001-02-28,555.409
2001-03-30,497.746
2001-04-30,579.01
2001-05-31,527.932
2001-06-29,488.057
2001-07-31,494.012
2001-08-31,422.002
2001-09-28,405.081
2001-10-31,428.795
2001-11-30,471.906
2001-12-31,488.273
2002-01-31,458.314
2002-02-28,463.427
2002-03-29,480.743
2002-04-30,450.118
2002-05-31,455.707
2002-06-28,475.969
2002-07-31,384.562
2002-08-30,370.246
2002-09-30,286.88
2002-10-31,342.001
2002-11-29,420.048
2002-12-31,362.285
2003-01-31,341.002
2003-02-28,323.961
2003-03-31,312.165
2003-04-30,367.227
2003-05-30,369.041
2003-06-30,365.742
2003-07-31,386.683
2003-08-29,381.074
2003-09-30,401.501
2003-10-31,440.006
2003-11-28,458.431
2003-12-31,483.937
2004-01-30,510.939
2004-02-27,512.335
2004-03-31,482.036
2004-04-30,482.839
2004-05-31,462.472
2004-06-30,477.998
2004-07-30,443.236
2004-08-31,439.449
2004-09-30,464.13
2004-10-29,462.476
2004-11-30,526.137
2004-12-31,566.285
2005-01-31,541.669
2005-02-28,550.036
2005-03-31,526.034
2005-04-29,507.303
2005-05-31,530.501
2005-06-30,529.862
2005-07-29,554.69
2005-08-31,538.592
2005-09-30,552.77
2005-10-31,533.198
2005-11-30,559.846
2005-12-30,603.441
2006-01-31,645.925
2006-02-28,663.921
2006-03-31,735.13
2006-04-28,794.37
2006-05-31,734.047
2006-06-30,726.867
2006-07-31,724.902
2006-08-31,737.849
2006-09-29,738.559
2006-10-31,799.113
2006-11-30,856.402
2006-12-29,921.358
2007-01-31,891.433
2007-02-28,881.353
2007-03-30,940.457
2007-04-30,1020.266
2007-05-31,1000.0
2007-06-29,1011.824
2007-07-31,1024.231
2007-08-31,967.214
2007-09-28,1026.988
2007-10-31,1060.527
2007-11-30,993.347
2007-12-31,968.981
2008-01-31,887.427
2008-02-29,941.449
2008-03-31,956.412
2008-04-30,1000.71
2008-05-30,1043.252
2008-06-30,939.238
2008-07-31,859.193
2008-08-29,821.726
2008-09-30,641.493
2008-10-31,463.681
2008-11-28,443.873
2008-12-31,471.018
2009-01-30,441.457
2009-02-27,407.249
2009-03-31,424.899
2009-04-30,509.968
2009-05-29,575.938
2009-06-30,574.635
2009-07-31,693.36
2009-08-31,738.498
2009-09-30,747.02
2009-10-30,763.601
2009-11-30,790.93
2009-12-31,800.319
2010-01-29,779.228
2010-02-26,806.397
2010-03-31,862.273
2010-04-30,901.473
2010-05-31,780.695
2010-06-30,795.343
2010-07-30,878.038
2010-08-31,831.616
2010-09-30,997.682
2010-10-29,995.861
2010-11-30,986.222
2010-12-31,1080.17
