Date,SWEDEN MID GROWTH Mid Cap
2001-01-01,600.796
2001-01-02,578.773
2001-01-03,546.794
2001-01-04,575.816
2001-01-05,589.333
2001-01-08,587.034
2001-01-09,572.146
2001-01-10,571.948
2001-01-11,581.576
2001-01-12,588.115
2001-01-15,591.859
2001-01-16,575.441
2001-01-17,585.588
2001-01-18,603.912
2001-01-19,614.891
2001-01-22,595.274
2001-01-23,587.864
2001-01-24,581.952
2001-01-25,577.901
2001-01-26,571.728
2001-01-29,574.638
2001-01-30,579.12
2001-01-31,592.218
2001-02-01,589.431
2001-02-02,586.696
2001-02-05,576.66
2001-02-06,602.814
2001-02-07,596.32
2001-02-08,579.055
2001-02-09,573.789
2001-02-12,567.237
2001-02-13,560.355
2001-02-14,557.392
2001-02-15,569.004
2001-02-16,561.201
2001-02-19,560.414
2001-02-20,567.859
2001-02-21,555.328
2001-02-22,538.123
2001-02-23,534.512
2001-02-26,541.961
2001-02-27,554.756
2001-02-28,555.409
2001-03-01,551.399
2001-03-02,540.458
2001-03-05,544.003
2001-03-06,559.165
2001-03-07,554.939
2001-03-08,558.355
2001-03-09,554.774
2001-03-12,532.008
2001-03-13,516.189
2001-03-14,498.58
2001-03-15,507.074
2001-03-16,478.67
2001-03-19,476.822
2001-03-20,495.299
2001-03-21,477.745
2001-03-22,446.084
2001-03-23,475.508
2001-03-26,515.084
2001-03-27,516.475
2001-03-28,498.525
2001-03-29,486.682
2001-03-30,497.746
2001-04-02,493.215
2001-04-03,485.873
2001-04-04,483.941
2001-04-05,506.116
2001-04-06,509.679
2001-04-09,534.896
2001-04-10,537.124
2001-04-11,530.593
2001-04-12,533.647
2001-04-13,533.647
2001-04-16,528.054
2001-04-17,532.589
2001-04-18,547.925
2001-04-19,579.704
2001-04-20,579.643
2001-04-23,557.52
2001-04-24,551.48
2001-04-25,558.759
2001-04-26,567.702
2001-04-27,566.919
2001-04-30,579.01
2001-05-01,581.433
2001-05-02,586.944
2001-05-03,571.501
2001-05-04,564.384
2001-05-07,559.784
2001-05-08,557.877
2001-05-09,555.124
2001-05-10,564.678
2001-05-11,555.399
2001-05-14,547.004
2001-05-15,540.963
2001-05-16,547.562
2001-05-17,558.466
2001-05-18,572.486
2001-05-21,574.363
2001-05-22,572.296
2001-05-23,568.582
2001-05-24,566.75
2001-05-25,561.482
2001-05-28,560.2
2001-05-29,554.712
2001-05-30,537.819
2001-05-31,527.932
2001-06-01,518.843
2001-06-04,516.143
2001-06-05,518.712
2001-06-06,518.294
2001-06-07,521.266
2001-06-08,518.298
2001-06-11,502.639
2001-06-12,505.248
2001-06-13,513.735
2001-06-14,507.568
2001-06-15,514.901
2001-06-18,511.854
2001-06-19,494.473
2001-06-20,480.364
2001-06-21,481.474
2001-06-22,482.48
2001-06-25,490.68
2001-06-26,473.981
2001-06-27,478.941
2001-06-28,486.941
2001-06-29,488.057
2001-07-02,492.056
2001-07-03,489.04
2001-07-04,481.235
2001-07-05,472.871
2001-07-06,460.019
2001-07-09,454.067
2001-07-10,463.411
2001-07-11,463.225
2001-07-12,469.858
2001-07-13,472.822
2001-07-16,476.126
2001-07-17,470.653
2001-07-18,477.969
2001-07-19,482.336
2001-07-20,474.679
2001-07-23,470.538
2001-07-24,472.151
2001-07-25,469.858
2001-07-26,473.607
2001-07-27,479.826
2001-07-30,486.732
2001-07-31,494.012
2001-08-01,498.02
2001-08-02,511.465
2001-08-03,507.955
2001-08-06,502.216
2001-08-07,496.181
2001-08-08,492.248
2001-08-09,480.604
2001-08-10,466.017
2001-08-13,466.667
2001-08-14,473.983
2001-08-15,473.418
2001-08-16,461.496
2001-08-17,463.094
2001-08-20,450.696
2001-08-21,449.191
2001-08-22,452.621
2001-08-23,460.848
2001-08-24,459.919
2001-08-27,459.611
2001-08-28,453.762
2001-08-29,448.233
2001-08-30,431.18
2001-08-31,422.002
2001-09-03,414.963
2001-09-04,405.02
2001-09-05,407.175
2001-09-06,396.202
2001-09-07,388.348
2001-09-10,389.778
2001-09-11,361.276
2001-09-12,393.387
2001-09-13,391.728
2001-09-14,394.586
2001-09-17,401.702
2001-09-18,387.827
2001-09-19,381.753
2001-09-20,355.578
2001-09-21,348.843
2001-09-24,367.331
2001-09-25,378.438
2001-09-26,390.611
2001-09-27,394.662
2001-09-28,405.081
2001-10-01,406.395
2001-10-02,409.191
2001-10-03,408.647
2001-10-04,431.816
2001-10-05,438.604
2001-10-08,440.799
2001-10-09,439.287
2001-10-10,436.702
2001-10-11,452.569
2001-10-12,453.953
2001-10-15,451.981
2001-10-16,455.807
2001-10-17,473.587
2001-10-18,459.717
2001-10-19,447.696
2001-10-22,449.157
2001-10-23,457.133
2001-10-24,465.209
2001-10-25,452.447
2001-10-26,456.232
2001-10-29,450.23
2001-10-30,434.283
2001-10-31,428.795
2001-11-01,437.847
2001-11-02,447.588
2001-11-05,457.057
2001-11-06,469.494
2001-11-07,476.853
2001-11-08,482.452
2001-11-09,477.525
2001-11-12,470.593
2001-11-13,482.773
2001-11-14,491.69
2001-11-15,491.932
2001-11-16,496.535
2001-11-19,480.748
2001-11-20,472.611
2001-11-21,464.073
2001-11-22,468.311
2001-11-23,462.557
2001-11-26,469.109
2001-11-27,466.171
2001-11-28,466.579
2001-11-29,471.097
2001-11-30,471.906
2001-12-03,475.224
2001-12-04,487.416
2001-12-05,505.464
2001-12-06,494.184
2001-12-07,505.773
2001-12-10,496.124
2001-12-11,493.915
2001-12-12,490.726
2001-12-13,486.641
2001-12-14,470.864
2001-12-17,475.026
2001-12-18,481.025
2001-12-19,471.827
2001-12-20,464.403
2001-12-21,468.285
2001-12-24,462.097
2001-12-25,462.097
2001-12-26,460.526
2001-12-27,473.614
2001-12-28,484.336
2001-12-31,488.273
2002-01-01,488.273
2002-01-02,493.364
2002-01-03,512.44
2002-01-04,503.939
2002-01-07,504.612
2002-01-08,496.16
2002-01-09,499.785
2002-01-10,497.299
2002-01-11,502.326
2002-01-14,481.248
2002-01-15,481.378
2002-01-16,464.856
2002-01-17,463.83
2002-01-18,471.591
