Date,SWEDEN MID GROWTH Mid Cap
2001-01-01,581.381
2001-01-02,560.07
2001-01-03,529.124
2001-01-04,557.209
2001-01-05,570.289
2001-01-08,568.064
2001-01-09,553.657
2001-01-10,553.466
2001-01-11,562.782
2001-01-12,569.11
2001-01-15,572.733
2001-01-16,556.845
2001-01-17,566.664
2001-01-18,584.397
2001-01-19,595.02
2001-01-22,576.037
2001-01-23,568.867
2001-01-24,563.146
2001-01-25,559.226
2001-01-26,553.253
2001-01-29,556.068
2001-01-30,560.406
2001-01-31,573.08
2001-02-01,570.383
2001-02-02,567.737
2001-02-05,558.025
2001-02-06,583.334
2001-02-07,577.049
2001-02-08,560.343
2001-02-09,555.246
2001-02-12,548.907
2001-02-13,542.247
2001-02-14,539.38
2001-02-15,550.617
2001-02-16,543.066
2001-02-19,542.304
2001-02-20,549.508
2001-02-21,537.382
2001-02-22,520.734
2001-02-23,517.239
2001-02-26,524.447
2001-02-27,536.829
2001-02-28,537.46
2001-03-01,533.58
2001-03-02,522.993
2001-03-05,526.423
2001-03-06,541.095
2001-03-07,537.006
2001-03-08,540.312
2001-03-09,536.847
2001-03-12,514.816
2001-03-13,499.508
2001-03-14,482.468
2001-03-15,490.688
2001-03-16,463.202
2001-03-19,461.413
2001-03-20,479.294
2001-03-21,462.542
2001-03-22,431.888
2001-03-23,460.376
2001-03-26,498.693
2001-03-27,500.039
2001-03-28,482.66
2001-03-29,471.194
2001-03-30,481.906
2001-04-02,477.52
2001-04-03,470.411
2001-04-04,468.541
2001-04-05,490.01
2001-04-06,493.459
2001-04-09,517.874
2001-04-10,520.032
2001-04-11,513.708
2001-04-12,516.665
2001-04-13,516.665
2001-04-16,511.249
2001-04-17,515.64
2001-04-18,530.488
2001-04-19,561.567
2001-04-20,561.507
2001-04-23,540.077
2001-04-24,534.279
2001-04-25,541.463
2001-04-26,550.129
2001-04-27,549.37
2001-04-30,561.087
2001-05-01,563.435
2001-05-02,568.775
2001-05-03,553.811
2001-05-04,546.913
2001-05-07,542.685
2001-05-08,540.836
2001-05-09,538.167
2001-05-10,547.429
2001-05-11,538.433
2001-05-14,530.296
2001-05-15,524.439
2001-05-16,530.836
2001-05-17,541.407
2001-05-18,554.998
2001-05-21,556.864
2001-05-22,554.86
2001-05-23,551.259
2001-05-24,549.483
2001-05-25,544.375
2001-05-28,543.132
2001-05-29,537.812
2001-05-30,521.433
2001-05-31,511.848
2001-06-01,503.036
2001-06-04,500.417
2001-06-05,502.908
2001-06-06,502.503
2001-06-07,505.384
2001-06-08,502.507
2001-06-11,487.325
2001-06-12,489.855
2001-06-13,498.083
