Date,SWEDEN MID GROWTH Mid Cap
1994-05-31,252.49
1994-06-30,242.933
1994-07-29,252.42
1994-08-31,246.607
1994-09-30,245.412
1994-10-31,274.109
1994-11-30,265.086
1994-12-30,264.178
1995-01-31,273.416
1995-02-28,276.357
1995-03-31,251.66
1995-04-28,279.99
1995-05-31,277.704
1995-06-30,292.36
1995-07-31,310.958
1995-08-31,293.954
1995-09-29,323.545
1995-10-31,319.008
1995-11-30,325.661
1995-12-29,335.498
1996-01-31,321.027
1996-02-29,330.445
1996-03-29,339.399
1996-04-30,358.411
1996-05-31,364.297
1996-06-28,370.601
1996-07-31,365.45
1996-08-30,383.247
1996-09-30,403.282
1996-10-31,408.006
1996-11-29,420.28
1996-12-31,424.825
1997-01-31,428.211
1997-02-28,433.636
1997-03-31,430.124
1997-04-30,392.784
1997-05-30,413.073
1997-06-30,438.8
1997-07-31,453.207
1997-08-29,424.549
1997-09-30,453.019
1997-10-31,419.567
1997-11-28,418.018
1997-12-31,424.592
1998-01-30,430.266
1998-02-27,459.176
1998-03-31,506.298
1998-04-30,561.213
1998-05-29,609.733
1998-06-30,635.183
1998-07-31,709.824
1998-08-31,626.886
1998-09-30,588.227
1998-10-30,603.855
1998-11-30,652.873
1998-12-31,664.69
1999-01-29,712.381
1999-02-26,686.286
1999-03-31,627.933
1999-04-30,608.051
1999-05-31,595.497
1999-06-30,627.328
1999-07-30,629.324
1999-08-31,611.524
1999-09-30,664.078
1999-10-29,687.058
1999-11-30,787.457
1999-12-31,972.52
2000-01-31,1043.975
2000-02-29,1278.822
2000-03-31,1147.273
2000-04-28,1014.474
2000-05-31,963.798
2000-06-30,885.152
2000-07-31,840.266
2000-08-31,773.744
2000-09-29,698.402
2000-10-31,630.47
2000-11-30,520.62
2000-12-29,581.381
2001-01-31,573.08
2001-02-28,537.46
2001-03-30,481.906
2001-04-30,561.087
2001-05-31,511.848
2001-06-29,473.481
2001-07-31,479.258
2001-08-31,409.399
2001-09-28,392.983
2001-10-31,415.989
2001-11-30,457.812
2001-12-31,473.69
2002-01-31,444.626
2002-02-28,449.586
2002-03-29,466.678
2002-04-30,437.622
2002-05-31,443.188
2002-06-28,462.893
2002-07-31,373.997
2002-08-30,360.074
2002-09-30,278.999
2002-10-31,332.605
2002-11-29,408.508
2002-12-31,352.332
2003-01-31,331.634
2003-02-28,315.061
2003-03-31,304.05
2003-04-30,358.538
2003-05-30,360.309
2003-06-30,357.088
2003-07-31,377.533
2003-08-29,372.056
2003-09-30,392.001
2003-10-31,429.595
2003-11-28,447.584
2003-12-31,472.486
2004-01-30,498.848
2004-02-27,500.212
2004-03-31,470.63
2004-04-30,473.22
2004-05-31,453.556
2004-06-30,468.783
2004-07-30,434.691
2004-08-31,430.977
2004-09-30,455.182
2004-10-29,453.56
2004-11-30,515.994
2004-12-31,555.368
2005-01-31,531.226
2005-02-28,539.432
2005-03-31,515.893
2005-04-29,500.36
2005-05-31,523.77
2005-06-30,523.14
2005-07-29,547.652
2005-08-31,531.759
2005-09-30,545.756
2005-10-31,526.433
2005-11-30,552.743
2005-12-30,595.784
2006-01-31,637.729
2006-02-28,655.498
2006-03-31,726.252
2006-04-28,788.412
2006-05-31,729.555
2006-06-30,722.419
2006-07-31,720.466
2006-08-31,733.334
2006-09-29,734.039
2006-10-31,794.223
2006-11-30,851.161
2006-12-29,915.72
2007-01-31,885.978
2007-02-28,875.959
2007-03-30,934.702
2007-04-30,1017.641
2007-05-31,1000.0
2007-06-29,1011.824
2007-07-31,1024.231
2007-08-31,967.214
2007-09-28,1026.988
2007-10-31,1060.527
2007-11-30,993.347
2007-12-31,968.981
2008-01-31,887.427
2008-02-29,941.449
2008-03-31,957.508
2008-04-30,1006.571
2008-05-30,1052.823
2008-06-30,947.854
2008-07-31,867.075
2008-08-29,829.264
2008-09-30,647.378
2008-10-31,467.935
2008-11-28,447.945
2008-12-31,475.339
2009-01-30,445.507
2009-02-27,410.985
2009-03-31,428.797
2009-04-30,517.029
2009-05-29,586.455
2009-06-30,585.128
2009-07-31,706.02
2009-08-31,751.983
2009-09-30,760.66
2009-10-30,777.544
2009-11-30,805.372
2009-12-31,815.165
2010-01-29,793.683
2010-02-26,821.356
2010-03-31,878.872
2010-04-30,922.434
2010-05-31,800.272
2010-06-30,815.288
2010-07-30,900.056
2010-08-31,852.47
2010-09-30,1022.7
2010-10-29,1020.834
2010-11-30,1010.953
2010-12-31,1107.257
2011-01-31,1133.692
2011-02-28,1131.301
2011-03-31,1179.574
2011-04-29,1272.321
2011-05-31,1254.543
2011-06-30,1190.055
2011-07-29,1159.838
2011-08-31,1062.623
2011-09-30,901.842
2011-10-31,1051.609
2011-11-30,1010.877
2011-12-30,1007.674
2012-01-31,1047.263
2012-02-29,1134.23
2012-03-30,1128.518
2012-04-30,1095.116
2012-05-31,954.219
2012-06-29,994.745
2012-07-31,1055.699
2012-08-31,1065.75
2012-09-28,1112.234
2012-10-31,1088.368
2012-11-30,1144.735
2012-12-31,1179.735
2013-01-31,1207.352
2013-02-28,1187.155
2013-03-29,1194.238
2013-04-30,1224.338
2013-05-31,1215.588
2013-06-28,1162.715
2013-07-31,1322.216
2013-08-30,1256.056
2013-09-30,1322.691
2013-10-31,1294.118
2013-11-29,1306.053
2013-12-31,1344.565
2014-01-31,1275.002
2014-02-28,1344.501
2014-03-31,1321.32
2014-04-30,1357.47
2014-05-30,1316.543
2014-06-30,1319.725
2014-07-31,1235.231
2014-08-29,1250.822
2014-09-30,1174.067
2014-10-31,1145.561
2014-11-28,1148.677
2014-12-31,1114.417
2015-01-30,1130.841
