Date,SPAIN MID VALUE Mid Cap
1994-05-31,1000.0
1994-06-30,963.225
1994-07-29,1024.771
1994-08-31,1016.957
1994-09-30,946.787
1994-10-31,958.7
1994-11-30,930.168
1994-12-30,879.566
1995-01-31,836.859
1995-02-28,864.837
1995-03-31,850.704
1995-04-28,970.934
1995-05-31,1013.898
1995-06-30,1048.591
1995-07-31,1139.423
1995-08-31,1091.411
1995-09-29,1094.493
1995-10-31,1057.948
1995-11-30,1138.907
1995-12-29,1200.161
1996-01-31,1176.255
1996-02-29,1229.309
1996-03-29,1205.897
1996-04-30,1253.125
1996-05-31,1260.701
1996-06-28,1348.353
1996-07-31,1267.426
1996-08-30,1271.045
1996-09-30,1310.146
1996-10-31,1366.422
1996-11-29,1434.842
1996-12-31,1702.523
1997-01-31,1593.328
1997-02-28,1495.634
1997-03-31,1539.416
1997-04-30,1568.8
1997-05-30,1700.262
1997-06-30,1802.331
1997-07-31,1674.265
1997-08-29,1642.739
1997-09-30,1855.183
1997-10-31,1771.098
1997-11-28,1898.492
1997-12-31,1878.891
1998-01-30,1953.676
1998-02-27,2087.135
1998-03-31,2433.184
1998-04-30,2428.368
1998-05-29,2380.041
1998-06-30,2326.976
1998-07-31,2333.237
1998-08-31,2084.118
1998-09-30,2214.396
1998-10-30,2413.313
1998-11-30,2523.991
1998-12-31,2662.645
1999-01-29,2615.277
1999-02-26,2557.927
1999-03-31,2341.685
1999-04-30,2286.905
1999-05-31,2258.099
1999-06-30,2215.321
1999-07-30,2203.725
1999-08-31,2315.762
1999-09-30,2292.734
1999-10-29,2199.657
1999-11-30,2186.961
1999-12-31,2425.262
2000-01-31,2133.395
2000-02-29,2401.933
2000-03-31,2342.297
2000-04-28,2247.946
2000-05-31,2179.596
2000-06-30,2209.707
2000-07-31,2054.774
2000-08-31,2064.744
2000-09-29,2040.954
2000-10-31,2054.093
2000-11-30,1989.796
2000-12-29,2123.913
2001-01-31,2285.52
2001-02-28,2379.69
2001-03-30,2285.15
2001-04-30,2382.142
2001-05-31,2335.186
2001-06-29,2314.811
2001-07-31,2425.031
2001-08-31,2477.529
2001-09-28,2233.306
2001-10-31,2374.071
2001-11-30,2423.939
2001-12-31,2440.772
2002-01-31,2400.198
2002-02-28,2458.484
2002-03-29,2580.28
2002-04-30,2747.813
2002-05-31,2896.534
2002-06-28,2859.484
2002-07-31,2906.732
2002-08-30,2613.946
2002-09-30,2323.048
2002-10-31,2672.597
2002-11-29,2725.747
2002-12-31,2556.989
2003-01-31,2609.376
2003-02-28,2613.819
2003-03-31,2712.674
2003-04-30,3039.571
2003-05-30,3370.745
2003-06-30,3443.09
2003-07-31,3424.155
2003-08-29,3368.381
2003-09-30,3602.767
2003-10-31,3687.301
2003-11-28,3835.259
2003-12-31,4087.565
2004-01-30,4302.121
2004-02-27,4299.012
2004-03-31,4380.539
2004-04-30,4458.234
2004-05-31,4482.001
2004-06-30,4695.808
2004-07-30,4314.957
2004-08-31,4456.145
2004-09-30,4714.686
2004-10-29,4818.486
2004-11-30,5111.3
2004-12-31,5493.681
2005-01-31,5903.398
2005-02-28,6000.744
2005-03-31,5906.958
2005-04-29,6016.627
2005-05-31,6292.38
2005-06-30,6251.637
2005-07-29,6226.41
2005-08-31,6319.275
2005-09-30,6339.792
2005-10-31,6314.808
2005-11-30,6256.072
2005-12-30,6377.757
2006-01-31,7367.944
2006-02-28,7779.612
2006-03-31,8456.981
2006-04-28,9263.942
2006-05-31,8807.271
2006-06-30,8709.934
2006-07-31,9321.945
2006-08-31,9951.428
2006-09-29,11629.395
2006-10-31,11577.895
2006-11-30,11903.347
2007-11-30,1000.0
2007-12-31,917.793
2008-01-31,796.458
2008-02-29,778.082
2008-03-31,906.453
2008-04-30,868.489
2008-05-30,868.283
2008-06-30,734.03
2008-07-31,731.368
2008-08-29,706.962
2008-09-30,635.235
2008-10-31,533.581
2008-11-28,535.836
2008-12-31,570.676
2009-01-30,467.592
2009-02-27,414.371
2009-03-31,434.627
2009-04-30,532.37
2009-05-29,615.928
2009-06-30,592.301
2009-07-31,634.602
2009-08-31,694.659
2009-09-30,748.26
2009-10-30,671.392
2009-11-30,661.514
2009-12-31,632.952
2010-01-29,606.733
2010-02-26,538.116
2010-03-31,606.565
2010-04-30,563.345
2010-05-31,449.912
2010-06-30,463.01
2010-07-30,566.316
2010-08-31,495.888
2010-09-30,532.398
2010-10-29,534.984
2010-11-30,431.216
2010-12-31,475.472
2011-01-31,546.112
2011-02-28,547.11
2011-03-31,558.503
2011-04-29,592.948
2011-05-31,552.401
2011-06-30,546.397
2011-07-29,519.137
2011-08-31,481.443
2011-09-30,425.423
2011-10-31,460.112
2011-11-30,423.781
2011-12-30,436.936
2012-01-31,436.547
2012-02-29,425.109
2012-03-30,396.067
2012-04-30,358.516
2012-05-31,265.863
2012-06-29,314.863
2012-07-31,287.784
2012-08-31,350.957
2012-09-28,359.237
2012-10-31,348.253
2012-11-30,367.007
2012-12-31,377.01
2013-01-31,403.924
2013-02-28,378.463
2013-03-29,349.995
2013-04-30,386.381
2013-05-31,380.985
2013-06-28,358.309
2013-07-31,402.568
2013-08-30,398.824
2013-09-30,445.49
2013-10-31,473.573
2013-11-29,474.516
2013-12-31,500.045
2014-01-31,519.297
2014-02-28,557.475
2014-03-31,570.954
2014-04-30,582.68
2014-05-30,581.216
2014-06-30,607.196
2014-07-31,596.122
2014-08-29,583.689
2014-09-30,561.376
2014-10-31,564.767
2014-11-28,574.801
2014-12-31,556.92
2015-01-30,553.277
2015-02-27,570.302
2015-03-31,554.509
2015-04-30,577.223
2015-05-29,552.891
2015-06-30,539.34
2015-07-31,560.121
2015-08-31,539.086
2015-09-30,522.448
2015-10-30,565.004
2015-11-30,538.182
2015-12-31,507.092
2016-01-29,473.022
2016-02-29,455.707
2016-03-31,497.744
2016-04-29,524.674
2016-05-31,502.6
2016-06-30,468.819
2016-07-29,489.206
2016-08-31,476.1
2016-09-30,483.326
2016-10-31,474.229
2016-11-30,427.604
2016-12-30,457.373
2017-01-31,458.429
2017-02-28,457.714
2017-03-31,510.539
2017-04-28,531.382
2017-05-31,578.669
2017-06-30,564.674
2017-07-31,589.772
2017-08-31,591.294
2017-09-29,567.082
2017-10-31,576.473
2017-11-30,582.868
2017-12-29,583.382
2018-01-31,630.598
2018-02-28,579.075
2018-03-30,590.227
2018-04-30,611.822
2018-05-31,558.472
2018-06-29,573.249
2018-07-31,592.706
2018-08-31,571.667
2018-09-28,570.524
2018-10-31,524.791
2018-11-30,536.707
2018-12-31,521.926
2019-01-31,550.928
2019-02-28,555.451
2019-03-29,536.486
2019-04-30,561.873
2019-05-31,532.155
2019-06-28,527.109
2019-07-31,484.644
2019-08-30,467.466
2019-09-30,493.595
2019-10-31,514.149
2019-11-29,511.588
2019-12-31,531.365
2020-01-31,482.455
2020-02-28,446.577
2020-03-31,334.506
2020-04-30,359.172
2020-05-29,348.427
2020-06-30,376.105
2020-07-31,395.63
2020-08-31,406.08
2020-09-30,378.989
2020-10-30,367.826
2020-11-30,453.476
2020-12-31,467.502
2021-01-29,452.311
2021-02-26,487.213
2021-03-31,497.313
2021-04-30,490.849
2021-05-31,527.171
2021-06-30,496.879
2021-07-30,479.987
2021-08-31,492.21
2021-09-30,523.113
2021-10-29,519.318
2021-11-30,480.028
2021-12-31,513.256
2022-01-31,509.204
2022-02-28,520.041
2022-03-31,535.291
2022-04-29,552.536
2022-05-31,595.946
2022-06-30,545.583
2022-07-29,501.954
2022-08-31,483.5
2022-09-30,421.594
2022-10-31,465.845
2022-11-30,516.832
2022-12-30,528.629
2023-01-31,555.853
2023-02-28,544.595
2023-03-31,549.036
2023-04-28,550.055
2023-05-31,512.736
2023-06-30,542.482
2023-07-31,564.973
2023-08-31,562.064
2023-09-29,579.874
2023-10-31,543.907
2023-11-30,582.954
2023-12-29,584.759
2024-01-31,575.996
2024-02-29,579.789
2024-03-29,606.712
2024-04-30,581.117
2024-05-31,617.536
2024-06-28,592.661
2024-07-31,602.253
2024-08-30,608.425
2024-09-30,609.716
2024-10-31,577.624
2024-11-29,568.162
2024-12-31,566.231
2025-01-31,600.407
2025-02-28,661.423
2025-03-31,698.905
2025-04-30,716.65
2025-05-30,764.853
2025-06-30,794.81
2025-07-31,867.833
2025-08-29,907.006
2025-09-30,944.653
2025-10-31,932.038
2025-11-28,931.637
2025-12-31,979.003
