Date,SPAIN MID VALUE Mid Cap
2001-01-01,2237.261
2001-01-02,2288.501
2001-01-03,2316.777
2001-01-04,2332.846
2001-01-05,2322.571
2001-01-08,2331.622
2001-01-09,2301.516
2001-01-10,2313.456
2001-01-11,2335.599
2001-01-12,2331.914
2001-01-15,2298.774
2001-01-16,2306.919
2001-01-17,2295.497
2001-01-18,2343.194
2001-01-19,2301.385
2001-01-22,2320.837
2001-01-23,2344.684
2001-01-24,2298.201
2001-01-25,2328.573
2001-01-26,2355.961
2001-01-29,2320.603
2001-01-30,2371.545
2001-01-31,2408.995
2001-02-01,2452.87
2001-02-02,2398.65
2001-02-05,2415.715
2001-02-06,2404.292
2001-02-07,2403.514
2001-02-08,2392.588
2001-02-09,2417.273
2001-02-12,2472.82
2001-02-13,2456.455
2001-02-14,2425.922
2001-02-15,2415.154
2001-02-16,2467.318
2001-02-19,2492.748
2001-02-20,2473.131
2001-02-21,2486.602
2001-02-22,2463.362
2001-02-23,2455.884
2001-02-26,2451.176
2001-02-27,2472.731
2001-02-28,2508.252
2001-03-01,2479.084
2001-03-02,2497.316
2001-03-05,2495.041
2001-03-06,2513.242
2001-03-07,2531.117
2001-03-08,2547.286
2001-03-09,2559.769
2001-03-12,2528.439
2001-03-13,2484.652
2001-03-14,2444.644
2001-03-15,2439.544
2001-03-16,2375.696
2001-03-19,2398.714
2001-03-20,2420.045
2001-03-21,2363.891
2001-03-22,2260.698
2001-03-23,2322.888
2001-03-26,2369.397
2001-03-27,2405.458
2001-03-28,2367.246
2001-03-29,2374.178
2001-03-30,2409.141
2001-04-02,2411.024
2001-04-03,2396.527
2001-04-04,2479.253
2001-04-05,2476.145
2001-04-06,2473.457
2001-04-09,2499.445
2001-04-10,2465.364
2001-04-11,2432.34
2001-04-12,2447.909
2001-04-13,2447.909
2001-04-16,2422.84
2001-04-17,2400.771
2001-04-18,2404.74
2001-04-19,2446.108
2001-04-20,2469.272
2001-04-23,2450.721
2001-04-24,2464.114
2001-04-25,2487.413
2001-04-26,2510.198
2001-04-27,2502.896
2001-04-30,2511.785
2001-05-01,2525.101
2001-05-02,2516.209
2001-05-03,2507.962
2001-05-04,2498.803
2001-05-07,2494.573
2001-05-08,2480.017
2001-05-09,2493.075
2001-05-10,2488.247
2001-05-11,2472.568
2001-05-14,2483.723
2001-05-15,2507.707
2001-05-16,2526.169
2001-05-17,2534.023
2001-05-18,2545.952
2001-05-21,2524.34
2001-05-22,2504.981
2001-05-23,2481.803
2001-05-24,2470.385
2001-05-25,2446.819
2001-05-28,2473.587
2001-05-29,2438.154
2001-05-30,2470.777
2001-05-31,2462.63
2001-06-01,2454.114
2001-06-04,2489.559
2001-06-05,2500.079
2001-06-06,2487.718
2001-06-07,2498.938
2001-06-08,2512.765
2001-06-11,2492.873
2001-06-12,2478.22
2001-06-13,2484.4
2001-06-14,2505.382
2001-06-15,2534.102
2001-06-18,2502.014
2001-06-19,2488.882
2001-06-20,2469.246
2001-06-21,2445.337
2001-06-22,2462.093
2001-06-25,2485.781
2001-06-26,2487.087
2001-06-27,2483.386
2001-06-28,2454.471
2001-06-29,2445.585
2001-07-02,2466.184
2001-07-03,2487.591
2001-07-04,2488.913
2001-07-05,2430.944
2001-07-06,2395.399
2001-07-09,2411.686
2001-07-10,2439.672
2001-07-11,2451.349
2001-07-12,2413.586
2001-07-13,2433.898
2001-07-16,2447.129
2001-07-17,2449.111
2001-07-18,2503.433
2001-07-19,2508.458
2001-07-20,2518.817
2001-07-23,2516.364
2001-07-24,2526.132
2001-07-25,2518.517
2001-07-26,2526.573
2001-07-27,2524.456
2001-07-30,2571.947
2001-07-31,2567.352
2001-08-01,2584.557
2001-08-02,2597.912
2001-08-03,2605.421
2001-08-06,2596.145
2001-08-07,2602.651
2001-08-08,2597.61
2001-08-09,2633.847
2001-08-10,2654.969
2001-08-13,2677.613
2001-08-14,2675.635
2001-08-15,2716.482
2001-08-16,2690.129
2001-08-17,2682.959
2001-08-20,2677.0
2001-08-21,2676.548
2001-08-22,2711.785
2001-08-23,2696.725
2001-08-24,2703.782
2001-08-27,2662.348
2001-08-28,2660.222
2001-08-29,2664.61
2001-08-30,2625.704
2001-08-31,2622.93
2001-09-03,2601.219
2001-09-04,2563.145
2001-09-05,2533.997
2001-09-06,2540.61
2001-09-07,2558.602
2001-09-10,2519.474
2001-09-11,2390.519
2001-09-12,2409.61
2001-09-13,2439.343
2001-09-14,2416.096
2001-09-17,2359.616
2001-09-18,2371.22
2001-09-19,2367.301
2001-09-20,2271.794
2001-09-21,2165.061
2001-09-24,2242.206
2001-09-25,2323.978
2001-09-26,2354.088
2001-09-27,2379.874
2001-09-28,2364.61
2001-10-01,2399.417
2001-10-02,2418.908
2001-10-03,2446.649
2001-10-04,2445.714
2001-10-05,2445.328
2001-10-08,2463.533
2001-10-09,2455.376
2001-10-10,2487.945
2001-10-11,2482.668
2001-10-12,2493.678
2001-10-15,2484.905
2001-10-16,2492.502
2001-10-17,2516.578
2001-10-18,2489.131
2001-10-19,2443.088
2001-10-22,2450.869
2001-10-23,2434.055
2001-10-24,2460.999
2001-10-25,2429.661
2001-10-26,2439.431
2001-10-29,2464.821
2001-10-30,2474.383
2001-10-31,2515.429
2001-11-01,2526.964
2001-11-02,2493.949
2001-11-05,2486.675
2001-11-06,2499.271
2001-11-07,2506.597
2001-11-08,2515.992
2001-11-09,2495.589
2001-11-12,2456.005
2001-11-13,2444.432
2001-11-14,2475.914
2001-11-15,2454.373
2001-11-16,2461.324
2001-11-19,2480.045
2001-11-20,2473.805
2001-11-21,2458.642
2001-11-22,2497.465
2001-11-23,2490.382
2001-11-26,2516.559
2001-11-27,2496.864
2001-11-28,2496.976
2001-11-29,2502.174
2001-11-30,2569.278
2001-12-03,2546.632
2001-12-04,2601.786
2001-12-05,2632.494
2001-12-06,2641.534
2001-12-07,2609.104
2001-12-10,2595.468
2001-12-11,2599.133
2001-12-12,2584.558
2001-12-13,2542.896
2001-12-14,2550.802
2001-12-17,2595.045
2001-12-18,2566.433
2001-12-19,2551.243
2001-12-20,2561.843
2001-12-21,2556.341
2001-12-24,2530.834
2001-12-25,2530.834
2001-12-26,2532.996
2001-12-27,2567.553
2001-12-28,2562.45
2001-12-31,2587.441
2002-01-01,2587.441
2002-01-02,2629.937
2002-01-03,2652.979
2002-01-04,2595.026
2002-01-07,2558.194
2002-01-08,2570.271
2002-01-09,2546.478
2002-01-10,2532.329
2002-01-11,2556.338
2002-01-14,2572.87
2002-01-15,2555.525
2002-01-16,2547.653
2002-01-17,2584.823
2002-01-18,2593.79
2002-01-21,2572.02
2002-01-22,2585.923
2002-01-23,2589.858
2002-01-24,2583.06
2002-01-25,2532.458
2002-01-28,2536.765
2002-01-29,2525.764
2002-01-30,2524.737
2002-01-31,2546.192
2002-02-01,2571.538
2002-02-04,2573.531
2002-02-05,2579.221
2002-02-06,2580.623
2002-02-07,2596.863
2002-02-08,2599.174
2002-02-11,2591.519
2002-02-12,2593.276
2002-02-13,2605.438
2002-02-14,2613.42
2002-02-15,2609.958
2002-02-18,2601.7
2002-02-19,2587.743
2002-02-20,2595.47
2002-02-21,2589.982
2002-02-22,2609.022
2002-02-25,2598.994
2002-02-26,2590.482
2002-02-27,2615.783
2002-02-28,2608.022
2002-03-01,2637.825
2002-03-04,2674.105
2002-03-05,2660.888
2002-03-06,2669.946
2002-03-07,2704.343
2002-03-08,2716.633
2002-03-11,2729.165
2002-03-12,2698.004
2002-03-13,2703.023
2002-03-14,2741.044
2002-03-15,2746.276
2002-03-18,2757.179
2002-03-19,2759.788
2002-03-20,2748.124
2002-03-21,2737.394
2002-03-22,2740.698
2002-03-25,2707.192
2002-03-26,2708.061
2002-03-27,2708.636
2002-03-28,2738.434
2002-03-29,2738.434
2002-04-01,2760.878
2002-04-02,2755.201
2002-04-03,2749.041
2002-04-04,2745.229
2002-04-05,2749.053
2002-04-08,2715.289
2002-04-09,2724.096
2002-04-10,2767.523
2002-04-11,2767.882
2002-04-12,2764.266
2002-04-15,2766.379
2002-04-16,2817.878
2002-04-17,2823.011
2002-04-18,2832.128
2002-04-19,2848.53
2002-04-22,2864.983
2002-04-23,2863.706
2002-04-24,2893.173
2002-04-25,2903.022
2002-04-26,2902.984
2002-04-29,2915.932
2002-04-30,2916.766
2002-05-01,2933.274
2002-05-02,2902.441
2002-05-03,2941.608
2002-05-06,2951.993
2002-05-07,2929.785
2002-05-08,2922.427
2002-05-09,2911.631
2002-05-10,2910.862
2002-05-13,2933.778
2002-05-14,2931.552
2002-05-15,2935.91
2002-05-16,2930.11
2002-05-17,2954.858
2002-05-20,2948.949
2002-05-21,2953.413
2002-05-22,2995.889
2002-05-23,3013.817
2002-05-24,3039.184
2002-05-27,3019.675
2002-05-28,3064.94
2002-05-29,3101.246
2002-05-30,3094.537
2002-05-31,3074.852
2002-06-03,3031.84
2002-06-04,3014.353
2002-06-05,2949.135
2002-06-06,2956.745
2002-06-07,2935.901
2002-06-10,2901.015
2002-06-11,2936.119
2002-06-12,2940.972
2002-06-13,2905.782
2002-06-14,2863.184
2002-06-17,2890.942
2002-06-18,2866.143
2002-06-19,2822.548
2002-06-20,2788.757
2002-06-21,2778.508
2002-06-24,2676.061
2002-06-25,2687.098
2002-06-26,2795.361
2002-06-27,2901.912
2002-06-28,3035.521
2002-07-01,2966.535
2002-07-02,2896.373
2002-07-03,2779.984
2002-07-04,2881.444
2002-07-05,2961.002
2002-07-08,2961.251
2002-07-09,3086.41
2002-07-10,3037.121
2002-07-11,2936.855
2002-07-12,2998.408
2002-07-15,2984.855
2002-07-16,3066.921
2002-07-17,3176.568
2002-07-18,3218.796
2002-07-19,3064.4
2002-07-22,2958.89
2002-07-23,2802.221
2002-07-24,2803.233
2002-07-25,2887.842
2002-07-26,2816.798
2002-07-29,2973.213
2002-07-30,2980.237
2002-07-31,3088.493
2002-08-01,3045.821
2002-08-02,2967.101
2002-08-05,2962.755
2002-08-06,2881.656
2002-08-07,2846.224
2002-08-08,2850.903
2002-08-09,2825.41
2002-08-12,2804.875
