Date,SPAIN MID VALUE Mid Cap
2001-01-01,2123.913
2001-01-02,2172.557
2001-01-03,2199.4
2001-01-04,2214.655
2001-01-05,2204.708
2001-01-08,2213.043
2001-01-09,2184.3
2001-01-10,2195.632
2001-01-11,2216.647
2001-01-12,2213.149
2001-01-15,2181.227
2001-01-16,2188.956
2001-01-17,2178.118
2001-01-18,2223.376
2001-01-19,2183.705
2001-01-22,2202.162
2001-01-23,2224.79
2001-01-24,2180.684
2001-01-25,2209.502
2001-01-26,2235.205
2001-01-29,2201.659
2001-01-30,2249.99
2001-01-31,2285.52
2001-02-01,2327.146
2001-02-02,2275.706
2001-02-05,2291.896
2001-02-06,2281.058
2001-02-07,2280.321
2001-02-08,2269.955
2001-02-09,2293.374
2001-02-12,2346.074
2001-02-13,2330.547
2001-02-14,2301.58
2001-02-15,2291.363
2001-02-16,2340.854
2001-02-19,2364.98
2001-02-20,2346.369
2001-02-21,2359.15
2001-02-22,2337.101
2001-02-23,2330.006
2001-02-26,2325.539
2001-02-27,2345.99
2001-02-28,2379.69
2001-03-01,2352.017
2001-03-02,2369.314
2001-03-05,2367.156
2001-03-06,2384.424
2001-03-07,2401.383
2001-03-08,2416.723
2001-03-09,2428.566
2001-03-12,2398.566
2001-03-13,2357.028
2001-03-14,2319.076
2001-03-15,2313.988
2001-03-16,2253.426
2001-03-19,2275.259
2001-03-20,2295.493
2001-03-21,2242.228
2001-03-22,2144.347
2001-03-23,2203.336
2001-03-26,2247.451
2001-03-27,2281.656
2001-03-28,2245.411
2001-03-29,2251.986
2001-03-30,2285.15
2001-04-02,2286.935
2001-04-03,2273.185
2001-04-04,2351.653
2001-04-05,2348.521
2001-04-06,2345.972
2001-04-09,2370.438
2001-04-10,2338.117
2001-04-11,2306.797
2001-04-12,2321.563
2001-04-13,2321.563
2001-04-16,2297.788
2001-04-17,2276.858
2001-04-18,2280.622
2001-04-19,2319.855
2001-04-20,2341.823
2001-04-23,2324.23
2001-04-24,2336.931
2001-04-25,2359.028
2001-04-26,2380.637
2001-04-27,2373.712
2001-04-30,2382.142
2001-05-01,2394.771
2001-05-02,2386.338
2001-05-03,2378.516
2001-05-04,2369.83
2001-05-07,2365.819
2001-05-08,2352.014
2001-05-09,2364.397
2001-05-10,2359.819
2001-05-11,2344.73
2001-05-14,2355.308
2001-05-15,2378.052
2001-05-16,2395.559
2001-05-17,2403.008
2001-05-18,2414.32
2001-05-21,2393.72
2001-05-22,2375.362
2001-05-23,2353.383
2001-05-24,2342.556
2001-05-25,2320.21
2001-05-28,2345.593
2001-05-29,2311.993
2001-05-30,2342.929
2001-05-31,2335.186
2001-06-01,2324.233
2001-06-04,2357.802
2001-06-05,2367.766
2001-06-06,2356.058
2001-06-07,2366.685
2001-06-08,2379.78
2001-06-11,2360.718
2001-06-12,2346.294
2001-06-13,2352.145
2001-06-14,2372.011
2001-06-15,2399.202
2001-06-18,2368.822
2001-06-19,2356.388
2001-06-20,2337.798
2001-06-21,2315.162
2001-06-22,2331.026
2001-06-25,2352.857
2001-06-26,2354.094
