Date,HONG KONG LARGE GROWTH Large Cap
1994-05-31,381.306
1994-06-30,351.522
1994-07-29,372.974
1994-08-31,394.774
1994-09-30,382.117
1994-10-31,389.633
1994-11-30,348.858
1994-12-30,341.006
1995-01-31,307.366
1995-02-28,341.916
1995-03-31,354.882
1995-04-28,346.679
1995-05-31,385.893
1995-06-30,379.178
1995-07-31,377.315
1995-08-31,367.801
1995-09-29,391.238
1995-10-31,395.041
1995-11-30,393.803
1995-12-29,405.579
1996-01-31,449.084
1996-02-29,445.219
1996-03-29,444.119
1996-04-30,451.329
1996-05-31,465.452
1996-06-28,456.555
1996-07-31,436.591
1996-08-30,451.522
1996-09-30,484.713
1996-10-31,511.016
1996-11-29,565.849
1996-12-31,567.163
1997-01-31,539.556
1997-02-28,536.831
1997-03-31,502.295
1997-04-30,511.237
1997-05-30,571.338
1997-06-30,585.579
1997-07-31,637.221
1997-08-29,567.617
1997-09-30,608.553
1997-10-31,425.927
1997-11-28,417.935
1997-12-31,422.121
1998-01-30,384.386
1998-02-27,452.673
1998-03-31,464.589
1998-04-30,429.694
1998-05-29,390.929
1998-06-30,377.104
1998-07-31,344.231
1998-08-31,330.366
1998-09-30,390.495
1998-10-30,508.683
1998-11-30,502.826
1998-12-31,500.639
1999-01-29,471.772
1999-02-26,471.343
1999-03-31,529.155
1999-04-30,624.866
1999-05-31,578.031
1999-06-30,631.058
1999-07-30,626.621
1999-08-31,635.501
1999-09-30,605.563
1999-10-29,648.276
1999-11-30,748.546
1999-12-31,920.921
2000-01-31,889.864
2000-02-29,946.47
2000-03-31,989.631
2000-04-28,836.806
2000-05-31,742.084
2000-06-30,812.999
2000-07-31,883.792
2000-08-31,881.402
2000-09-29,744.508
2000-10-31,658.861
2000-11-30,629.905
2000-12-29,677.1
2001-01-31,696.753
2001-02-28,642.576
2001-03-30,548.157
2001-04-30,564.318
2001-05-31,563.627
2001-06-29,543.229
2001-07-31,510.292
2001-08-31,463.184
2001-09-28,415.342
2001-10-31,446.846
2001-11-30,496.07
2001-12-31,521.991
2002-01-31,504.435
2002-02-28,459.12
2002-03-29,489.979
2002-04-30,517.46
2002-05-31,498.468
2002-06-28,474.229
2002-07-31,471.991
2002-08-30,445.132
2002-09-30,414.931
2002-10-31,430.634
2002-11-29,461.142
2002-12-31,431.43
2003-01-31,426.917
2003-02-28,423.985
2003-03-31,402.115
2003-04-30,396.026
2003-05-30,425.201
2003-06-30,425.778
2003-07-31,433.395
2003-08-29,456.362
2003-09-30,479.374
2003-10-31,503.248
2003-11-28,532.285
2003-12-31,548.269
2004-01-30,592.304
2004-02-27,616.654
2004-03-31,583.266
2004-04-30,554.666
2004-05-31,556.888
2004-06-30,559.319
2004-07-30,567.489
2004-08-31,607.154
2004-09-30,618.969
2004-10-29,621.168
2004-11-30,665.447
2004-12-31,681.971
2005-01-31,657.84
2005-02-28,679.789
2005-03-31,653.401
2005-04-29,684.885
2005-05-31,678.525
2005-06-30,699.791
2005-07-29,732.626
2005-08-31,724.581
2005-09-30,752.647
2005-10-31,703.7
2005-11-30,713.823
2005-12-30,721.088
2006-01-31,774.323
2006-02-28,753.822
2006-03-31,757.169
2006-04-28,803.133
2006-05-31,783.778
2006-06-30,764.975
2006-07-31,778.894
2006-08-31,812.056
2006-09-29,837.4
2006-10-31,859.748
2006-11-30,904.957
2006-12-29,982.137
2007-01-31,965.442
2007-02-28,939.264
2007-03-30,954.101
2007-04-30,970.96
2007-05-31,1000.0
2007-06-29,1041.555
2007-07-31,1120.83
2007-08-31,1144.275
2007-09-28,1402.801
2007-10-31,1554.492
2007-11-30,1519.75
2007-12-31,1494.745
2008-01-31,1255.581
2008-02-29,1218.63
2008-03-31,1109.673
2008-04-30,1233.003
2008-05-30,1172.782
2008-06-30,1010.272
2008-07-31,1026.989
2008-08-29,948.57
2008-09-30,755.049
2008-10-31,621.216
2008-11-28,578.97
2008-12-31,596.894
2009-01-30,611.705
2009-02-27,577.16
2009-03-31,613.069
2009-04-30,727.014
2009-05-29,845.864
2009-06-30,827.738
2009-07-31,964.4
2009-08-31,889.487
2009-09-30,984.741
2009-10-30,1011.492
2009-11-30,995.31
2009-12-31,1009.252
2010-01-29,942.548
2010-02-26,979.826
2010-03-31,1045.012
2010-04-30,1016.998
2010-05-31,949.752
2010-06-30,984.13
2010-07-30,1042.8
2010-08-31,1036.531
2010-09-30,1192.921
2010-10-29,1221.503
2010-11-30,1242.409
2010-12-31,1229.885
2011-01-31,1256.953
2011-02-28,1235.628
2011-03-31,1233.899
2011-04-29,1273.543
2011-05-31,1264.445
2011-06-30,1205.6
2011-07-29,1232.89
2011-08-31,1161.785
2011-09-30,959.415
2011-10-31,1102.231
2011-11-30,1019.256
2011-12-30,1036.199
2012-01-31,1131.72
2012-02-29,1231.542
2012-03-30,1182.924
2012-04-30,1169.742
2012-05-31,1049.113
2012-06-29,1083.1
2012-07-31,1102.152
2012-08-31,1102.104
2012-09-28,1172.207
2012-10-31,1217.626
2012-11-30,1240.363
2012-12-31,1257.186
2013-01-31,1302.207
2013-02-28,1318.887
2013-03-29,1336.448
2013-04-30,1357.301
2013-05-31,1350.651
2013-06-28,1276.57
2013-07-31,1356.33
2013-08-30,1331.562
2013-09-30,1421.022
2013-10-31,1484.326
2013-11-29,1507.419
2013-12-31,1529.14
2014-01-31,1442.616
2014-02-28,1513.557
2014-03-31,1443.104
2014-04-30,1472.564
2014-05-30,1530.39
2014-06-30,1541.145
2014-07-31,1635.372
2014-08-29,1593.638
2014-09-30,1446.825
2014-10-31,1569.452
2014-11-28,1567.694
2014-12-31,1469.757
2015-01-30,1536.098
2015-02-27,1539.405
2015-03-31,1582.17
2015-04-30,1784.654
2015-05-29,1767.0
2015-06-30,1688.179
2015-07-31,1600.0
2015-08-31,1381.789
2015-09-30,1312.13
2015-10-30,1491.123
2015-11-30,1475.208
2015-12-31,1484.716
2016-01-29,1332.664
2016-02-29,1292.09
2016-03-31,1440.814
2016-04-29,1497.555
2016-05-31,1466.448
2016-06-30,1492.307
2016-07-29,1563.872
2016-08-31,1574.412
2016-09-30,1647.619
2016-10-31,1623.072
2016-11-30,1584.396
2016-12-30,1461.955
2017-01-31,1560.319
2017-02-28,1585.305
2017-03-31,1635.6
2017-04-28,1708.938
2017-05-31,1770.719
2017-06-30,1813.151
2017-07-31,1907.992
2017-08-31,1900.782
2017-09-29,1891.203
2017-10-31,1895.749
2017-11-30,2006.374
2017-12-29,2086.697
2018-01-31,2212.461
2018-02-28,2154.423
2018-03-30,2113.625
2018-04-30,2189.968
2018-05-31,2211.305
2018-06-29,2085.345
2018-07-31,2100.869
2018-08-31,2048.638
2018-09-28,2064.093
2018-10-31,1821.298
2018-11-30,1977.301
2018-12-31,2004.748
2019-01-31,2162.163
2019-02-28,2360.132
2019-03-29,2390.607
2019-04-30,2433.598
2019-05-31,2265.133
2019-06-28,2528.597
2019-07-31,2442.915
2019-08-30,2249.667
2019-09-30,2209.957
2019-10-31,2338.196
2019-11-29,2326.797
2019-12-31,2427.382
2020-01-31,2336.942
2020-02-28,2296.312
2020-03-31,2085.735
2020-04-30,2197.115
2020-05-29,2033.558
2020-06-30,2323.771
2020-07-31,2344.072
2020-08-31,2570.39
2020-09-30,2432.805
2020-10-30,2384.998
2020-11-30,2685.201
2020-12-31,2961.124
2021-01-29,3077.705
2021-02-26,3128.653
2021-03-31,3077.527
2021-04-30,3202.021
2021-05-31,3250.101
2021-06-30,3131.984
2021-07-30,3099.589
2021-08-31,3151.01
2021-09-30,3011.479
2021-10-29,2980.311
2021-11-30,2791.73
2021-12-31,2757.388
2022-01-31,2721.728
2022-02-28,2627.697
2022-03-31,2637.16
2022-04-29,2436.879
2022-05-31,2503.158
2022-06-30,2653.761
2022-07-29,2501.134
2022-08-31,2386.776
2022-09-30,2090.976
2022-10-31,1804.848
2022-11-30,2449.922
2022-12-30,2680.231
2023-01-31,2774.271
2023-02-28,2542.977
2023-03-31,2617.034
2023-04-28,2621.071
2023-05-31,2341.041
2023-06-30,2464.542
2023-07-31,2530.221
2023-08-31,2322.62
2023-09-29,2149.349
2023-10-31,2164.512
2023-11-30,2166.578
2023-12-29,2206.173
2024-01-31,1966.866
2024-02-29,2038.047
2024-03-29,1844.86
2024-04-30,1992.854
2024-05-31,2063.501
2024-06-28,1892.739
2024-07-31,1849.634
2024-08-30,1923.043
2024-09-30,2463.618
2024-10-31,2259.836
2024-11-29,2138.599
2024-12-31,2103.96
2025-01-31,2081.279
2025-02-28,2312.168
2025-03-31,2247.637
2025-04-30,2187.177
2025-05-30,2497.542
