Date,HONG KONG LARGE GROWTH Large Cap
2001-12-19,529.758
2001-12-20,531.192
2001-12-21,512.789
2001-12-24,513.686
2001-12-25,513.686
2001-12-26,513.679
2001-12-27,518.854
2001-12-28,523.256
2001-12-31,521.991
2002-01-01,521.991
2002-01-02,520.662
2002-01-03,523.131
2002-01-04,534.885
2002-01-07,552.027
2002-01-08,547.676
2002-01-09,542.467
2002-01-10,535.167
2002-01-11,525.291
2002-01-14,527.207
2002-01-15,518.335
2002-01-16,515.199
2002-01-17,518.357
2002-01-18,511.96
2002-01-21,519.126
2002-01-22,508.769
2002-01-23,506.115
2002-01-24,504.124
2002-01-25,504.562
2002-01-28,503.531
2002-01-29,518.113
2002-01-30,505.197
2002-01-31,504.435
2002-02-01,497.603
2002-02-04,498.839
2002-02-05,491.901
2002-02-06,492.394
2002-02-07,482.66
2002-02-08,481.346
2002-02-11,492.946
2002-02-12,492.939
2002-02-13,492.946
2002-02-14,492.946
2002-02-15,495.754
2002-02-18,502.14
2002-02-19,491.369
2002-02-20,491.659
2002-02-21,494.35
2002-02-22,486.347
2002-02-25,473.256
2002-02-26,466.13
2002-02-27,469.86
2002-02-28,459.12
2002-03-01,459.3
2002-03-04,472.565
2002-03-05,486.861
2002-03-06,485.667
2002-03-07,495.615
2002-03-08,496.76
2002-03-11,501.24
2002-03-12,499.198
2002-03-13,494.825
2002-03-14,498.51
2002-03-15,495.031
2002-03-18,497.785
2002-03-19,497.981
2002-03-20,491.241
2002-03-21,481.48
2002-03-22,482.125
2002-03-25,482.041
2002-03-26,482.051
2002-03-27,489.699
2002-03-28,489.979
2002-03-29,489.979
2002-04-01,489.986
2002-04-02,480.733
2002-04-03,477.285
2002-04-04,480.32
2002-04-05,480.32
2002-04-08,473.409
2002-04-09,474.172
2002-04-10,470.221
2002-04-11,475.338
2002-04-12,475.472
2002-04-15,475.688
2002-04-16,478.234
2002-04-17,495.303
2002-04-18,503.553
2002-04-19,506.873
2002-04-22,503.022
2002-04-23,511.75
2002-04-24,515.256
2002-04-25,510.118
2002-04-26,509.566
2002-04-29,508.666
2002-04-30,517.46
2002-05-01,517.473
2002-05-02,531.228
2002-05-03,529.163
2002-05-06,526.679
2002-05-07,529.007
2002-05-08,524.407
2002-05-09,519.529
2002-05-10,520.776
2002-05-13,524.369
2002-05-14,521.224
2002-05-15,531.424
2002-05-16,533.144
2002-05-17,538.949
2002-05-20,538.939
2002-05-21,529.69
2002-05-22,532.683
2002-05-23,522.439
2002-05-24,517.756
2002-05-27,515.36
2002-05-28,514.077
2002-05-29,505.594
2002-05-30,499.983
2002-05-31,498.468
2002-06-03,501.231
2002-06-04,500.642
2002-06-05,507.981
2002-06-06,506.121
2002-06-07,504.764
2002-06-10,505.682
2002-06-11,503.532
2002-06-12,499.075
2002-06-13,498.15
2002-06-14,491.054
2002-06-17,484.763
2002-06-18,482.729
2002-06-19,472.375
2002-06-20,479.283
2002-06-21,474.128
2002-06-24,474.579
2002-06-25,476.191
2002-06-26,465.796
2002-06-27,474.015
2002-06-28,474.229
2002-07-01,474.238
2002-07-02,470.673
2002-07-03,478.716
2002-07-04,489.506
2002-07-05,493.203
2002-07-08,489.654
2002-07-09,491.877
2002-07-10,491.865
2002-07-11,478.999
2002-07-12,482.565
2002-07-15,481.071
2002-07-16,470.696
2002-07-17,468.285
2002-07-18,474.254
2002-07-19,469.384
2002-07-22,461.102
2002-07-23,476.704
2002-07-24,464.112
2002-07-25,456.524
2002-07-26,449.785
2002-07-29,459.518
2002-07-30,466.888
2002-07-31,471.991
2002-08-01,466.214
2002-08-02,458.408
2002-08-05,450.185
2002-08-06,443.084
2002-08-07,452.034
2002-08-08,448.644
2002-08-09,448.104
2002-08-12,440.313
2002-08-13,447.796
2002-08-14,443.267
2002-08-15,452.539
2002-08-16,456.067
2002-08-19,453.602
2002-08-20,460.449
2002-08-21,463.197
2002-08-22,464.889
2002-08-23,461.238
2002-08-26,460.728
2002-08-27,455.411
2002-08-28,451.035
2002-08-29,446.52
2002-08-30,445.132
2002-09-02,438.735
2002-09-03,436.252
2002-09-04,442.522
2002-09-05,438.295
2002-09-06,438.715
2002-09-09,439.269
2002-09-10,445.475
2002-09-11,444.127
2002-09-12,446.549
2002-09-13,435.891
2002-09-16,426.529
2002-09-17,436.272
2002-09-18,427.349
2002-09-19,424.58
2002-09-20,420.857
2002-09-23,419.091
2002-09-24,416.174
2002-09-25,415.252
2002-09-26,425.046
2002-09-27,426.765
2002-09-30,414.931
2002-10-01,414.941
2002-10-02,412.262
2002-10-03,407.564
2002-10-04,409.523
2002-10-07,409.068
2002-10-08,411.346
2002-10-09,415.243
2002-10-10,407.264
2002-10-11,410.755
2002-10-14,410.76
2002-10-15,424.525
2002-10-16,425.253
2002-10-17,431.347
2002-10-18,430.914
2002-10-21,428.609
2002-10-22,429.72
2002-10-23,438.61
2002-10-24,438.281
2002-10-25,440.745
2002-10-28,445.062
2002-10-29,436.932
2002-10-30,435.488
2002-10-31,430.634
2002-11-01,429.078
2002-11-04,442.922
2002-11-05,441.27
2002-11-06,444.949
2002-11-07,449.181
2002-11-08,443.04
2002-11-11,437.324
2002-11-12,439.802
2002-11-13,440.517
2002-11-14,447.383
2002-11-15,456.14
2002-11-18,453.127
2002-11-19,458.1
2002-11-20,459.835
2002-11-21,459.546
2002-11-22,460.546
2002-11-25,462.235
2002-11-26,458.35
2002-11-27,456.06
2002-11-28,463.284
2002-11-29,461.142
2002-12-02,464.961
2002-12-03,462.959
2002-12-04,454.951
2002-12-05,455.112
2002-12-06,454.336
2002-12-09,448.575
2002-12-10,449.187
2002-12-11,446.485
2002-12-12,446.943
2002-12-13,445.111
2002-12-16,447.283
2002-12-17,445.712
2002-12-18,438.646
2002-12-19,439.364
2002-12-20,441.931
2002-12-23,440.017
2002-12-24,439.643
2002-12-25,439.643
2002-12-26,439.649
2002-12-27,435.173
2002-12-30,428.725
2002-12-31,431.43
2003-01-01,431.43
