Date,SWITZERLAND LARGE VALUE Large Cap
1994-05-31,169.406
1994-06-30,170.025
1994-07-29,171.61
1994-08-31,172.729
1994-09-30,172.268
1994-10-31,175.039
1994-11-30,167.421
1994-12-30,169.13
1995-01-31,166.636
1995-02-28,171.341
1995-03-31,184.564
1995-04-28,188.303
1995-05-31,203.861
1995-06-30,206.978
1995-07-31,203.758
1995-08-31,190.901
1995-09-29,216.172
1995-10-31,228.595
1995-11-30,224.04
1995-12-29,233.893
1996-01-31,217.597
1996-02-29,222.165
1996-03-29,239.043
1996-04-30,229.175
1996-05-31,218.881
1996-06-28,234.273
1996-07-31,234.667
1996-08-30,238.968
1996-09-30,232.171
1996-10-31,231.601
1996-11-29,236.55
1996-12-31,226.817
1997-01-31,225.503
1997-02-28,232.096
1997-03-31,249.804
1997-04-30,254.102
1997-05-30,281.297
1997-06-30,299.731
1997-07-31,300.615
1997-08-29,271.968
1997-09-30,310.507
1997-10-31,309.113
1997-11-28,327.067
1997-12-31,348.569
1998-01-30,350.927
1998-02-27,392.108
1998-03-31,424.294
1998-04-30,440.757
1998-05-29,463.55
1998-06-30,483.531
1998-07-31,536.87
1998-08-31,409.589
1998-09-30,310.885
1998-10-30,390.463
1998-11-30,417.917
1998-12-31,407.253
1999-01-29,418.265
1999-02-26,407.04
1999-03-31,439.525
1999-04-30,477.759
1999-05-31,434.174
1999-06-30,435.781
1999-07-30,455.491
1999-08-31,441.767
1999-09-30,439.965
1999-10-29,449.22
1999-11-30,440.195
1999-12-31,455.411
2000-01-31,402.919
2000-02-29,394.564
2000-03-31,440.088
2000-04-28,419.73
2000-05-31,451.272
2000-06-30,480.373
2000-07-31,488.127
2000-08-31,480.646
2000-09-29,451.57
2000-10-31,456.587
2000-11-30,470.817
2000-12-29,524.371
2001-01-31,536.921
2001-02-28,485.18
2001-03-30,428.695
2001-04-30,452.113
2001-05-31,439.482
2001-06-29,428.403
2001-07-31,423.428
2001-08-31,431.931
2001-09-28,384.328
2001-10-31,391.534
2001-11-30,411.293
2001-12-31,408.003
2002-01-31,368.677
2002-02-28,370.131
2002-03-29,404.436
2002-04-30,401.427
2002-05-31,423.763
2002-06-28,393.656
2002-07-31,319.138
2002-08-30,330.603
2002-09-30,291.81
2002-10-31,326.595
2002-11-29,359.011
2002-12-31,328.665
2003-01-31,309.84
2003-02-28,286.138
2003-03-31,284.265
2003-04-30,341.437
2003-05-30,381.251
2003-06-30,384.716
2003-07-31,405.734
2003-08-29,397.849
2003-09-30,406.34
2003-10-31,431.249
2003-11-28,448.274
2003-12-31,492.8
2004-01-30,512.229
2004-02-27,516.571
2004-03-31,498.265
2004-04-30,494.299
2004-05-31,485.354
2004-06-30,501.773
2004-07-30,461.718
2004-08-31,453.72
2004-09-30,463.279
2004-10-29,482.787
2004-11-30,536.541
2004-12-31,574.136
2005-01-31,559.256
2005-02-28,607.648
2005-03-31,588.502
2005-04-29,564.493
2005-05-31,551.833
2005-06-30,545.835
2005-07-29,578.201
2005-08-31,586.307
2005-09-30,599.676
2005-10-31,601.605
2005-11-30,651.858
2005-12-30,668.735
2006-01-31,735.878
2006-02-28,702.942
2006-03-31,707.268
2006-04-28,779.343
2006-05-31,739.191
2006-06-30,736.205
2006-07-31,751.465
2006-08-31,769.546
2006-09-29,785.421
2006-10-31,808.911
2006-11-30,861.518
2006-12-29,893.49
2007-01-31,892.248
2007-02-28,903.766
2007-03-30,929.261
2007-04-30,1000.666
2007-05-31,1000.0
2007-06-29,945.883
2007-07-31,890.839
2007-08-31,850.658
2007-09-28,879.63
2007-10-31,887.929
2007-11-30,820.797
2007-12-31,787.566
2008-01-31,734.062
2008-02-29,679.367
2008-03-31,664.345
2008-04-30,719.931
2008-05-30,635.405
