Date,SWITZERLAND LARGE VALUE Large Cap
2001-01-01,524.371
2001-01-02,528.546
2001-01-03,526.252
2001-01-04,540.044
2001-01-05,531.953
2001-01-08,529.624
2001-01-09,523.041
2001-01-10,520.378
2001-01-11,526.958
2001-01-12,524.215
2001-01-15,518.482
2001-01-16,518.627
2001-01-17,522.215
2001-01-18,532.171
2001-01-19,526.532
2001-01-22,526.79
2001-01-23,529.913
2001-01-24,524.629
2001-01-25,525.537
2001-01-26,527.052
2001-01-29,527.535
2001-01-30,533.007
2001-01-31,536.921
2001-02-01,534.058
2001-02-02,531.85
2001-02-05,536.017
2001-02-06,530.854
2001-02-07,528.398
2001-02-08,511.0
2001-02-09,510.252
2001-02-12,507.94
2001-02-13,505.811
2001-02-14,499.602
2001-02-15,496.738
2001-02-16,492.755
2001-02-19,497.06
2001-02-20,488.193
2001-02-21,481.149
2001-02-22,482.585
2001-02-23,474.842
2001-02-26,480.698
2001-02-27,485.509
2001-02-28,485.18
2001-03-01,482.977
2001-03-02,483.473
2001-03-05,484.514
2001-03-06,490.719
2001-03-07,487.767
2001-03-08,488.621
2001-03-09,483.494
2001-03-12,471.996
2001-03-13,463.586
2001-03-14,451.799
2001-03-15,452.813
2001-03-16,434.89
2001-03-19,432.859
2001-03-20,441.825
2001-03-21,429.974
2001-03-22,390.09
2001-03-23,404.005
2001-03-26,422.551
2001-03-27,427.01
2001-03-28,417.939
2001-03-29,419.686
2001-03-30,428.695
2001-04-02,421.792
2001-04-03,411.685
2001-04-04,414.456
2001-04-05,423.53
2001-04-06,421.91
2001-04-09,433.837
2001-04-10,437.852
2001-04-11,442.817
2001-04-12,446.517
2001-04-13,446.517
2001-04-16,441.975
2001-04-17,442.628
2001-04-18,444.676
2001-04-19,453.076
2001-04-20,455.877
2001-04-23,448.59
2001-04-24,453.257
2001-04-25,451.118
2001-04-26,450.894
2001-04-27,450.205
2001-04-30,452.113
2001-05-01,453.459
2001-05-02,454.957
2001-05-03,448.501
2001-05-04,450.109
2001-05-07,454.324
2001-05-08,446.268
2001-05-09,442.158
2001-05-10,450.396
2001-05-11,448.538
2001-05-14,443.31
2001-05-15,453.357
2001-05-16,457.158
2001-05-17,462.447
2001-05-18,461.122
2001-05-21,463.224
2001-05-22,462.097
2001-05-23,460.671
2001-05-24,459.531
2001-05-25,456.931
2001-05-28,456.096
2001-05-29,451.171
2001-05-30,448.738
2001-05-31,439.482
2001-06-01,439.797
2001-06-04,440.803
2001-06-05,448.722
2001-06-06,444.701
2001-06-07,446.669
2001-06-08,444.581
2001-06-11,440.938
2001-06-12,433.631
2001-06-13,440.212
2001-06-14,435.726
2001-06-15,434.522
2001-06-18,430.691
2001-06-19,432.674
2001-06-20,424.956
2001-06-21,428.181
2001-06-22,432.779
2001-06-25,435.602
2001-06-26,429.61
2001-06-27,425.582
2001-06-28,429.468
2001-06-29,428.403
2001-07-02,434.029
2001-07-03,429.555
2001-07-04,425.582
2001-07-05,413.747
2001-07-06,407.071
2001-07-09,409.737
2001-07-10,414.306
2001-07-11,407.317
2001-07-12,413.813
2001-07-13,415.688
2001-07-16,417.515
2001-07-17,410.776
2001-07-18,415.642
2001-07-19,422.344
2001-07-20,421.066
2001-07-23,422.048
2001-07-24,417.765
2001-07-25,415.56
2001-07-26,415.918
2001-07-27,419.422
2001-07-30,424.256
2001-07-31,423.428
2001-08-01,427.755
2001-08-02,431.092
2001-08-03,428.906
2001-08-06,427.243
2001-08-07,425.787
2001-08-08,426.101
2001-08-09,421.433
2001-08-10,419.236
2001-08-13,420.626
2001-08-14,436.251
2001-08-15,445.414
2001-08-16,440.582
2001-08-17,438.518
2001-08-20,435.849
2001-08-21,441.372
2001-08-22,441.571
2001-08-23,433.99
2001-08-24,445.7
2001-08-27,446.18
2001-08-28,438.494
2001-08-29,433.855
2001-08-30,429.833
2001-08-31,431.931
2001-09-03,421.328
2001-09-04,421.547
2001-09-05,418.187
2001-09-06,405.373
2001-09-07,402.184
2001-09-10,391.39
2001-09-11,363.102
2001-09-12,360.056
2001-09-13,365.602
2001-09-14,349.591
2001-09-17,371.979
2001-09-18,368.364
2001-09-19,361.454
2001-09-20,346.879
2001-09-21,335.191
2001-09-24,359.755
2001-09-25,374.84
2001-09-26,376.571
2001-09-27,378.593
2001-09-28,384.328
2001-10-01,380.746
2001-10-02,374.021
2001-10-03,368.64
2001-10-04,379.044
2001-10-05,377.458
2001-10-08,376.71
2001-10-09,374.201
2001-10-10,374.714
2001-10-11,381.454
2001-10-12,383.03
2001-10-15,379.186
2001-10-16,383.552
2001-10-17,386.55
2001-10-18,386.403
2001-10-19,380.845
2001-10-22,382.769
2001-10-23,393.795
2001-10-24,396.326
2001-10-25,394.795
2001-10-26,399.952
2001-10-29,398.356
2001-10-30,389.313
2001-10-31,391.534
2001-11-01,393.808
2001-11-02,393.862
2001-11-05,399.679
2001-11-06,401.386
2001-11-07,405.857
2001-11-08,416.255
2001-11-09,413.291
2001-11-12,404.196
2001-11-13,410.23
2001-11-14,415.654
2001-11-15,424.498
2001-11-16,427.397
2001-11-19,427.761
2001-11-20,423.401
2001-11-21,420.595
2001-11-22,423.069
2001-11-23,414.864
2001-11-26,420.349
2001-11-27,420.773
2001-11-28,416.419
2001-11-29,413.868
2001-11-30,411.293
2001-12-03,406.957
2001-12-04,417.215
2001-12-05,427.71
2001-12-06,431.655
2001-12-07,429.575
2001-12-10,424.578
2001-12-11,421.233
2001-12-12,421.822
2001-12-13,419.941
2001-12-14,416.133
2001-12-17,426.197
2001-12-18,415.038
2001-12-19,405.753
2001-12-20,409.428
2001-12-21,407.995
2001-12-24,399.234
2001-12-25,399.234
2001-12-26,399.151
2001-12-27,405.531
2001-12-28,403.507
2001-12-31,408.003
2002-01-01,408.003
2002-01-02,410.092
2002-01-03,413.855
2002-01-04,415.372
2002-01-07,413.275
2002-01-08,407.031
2002-01-09,408.852
2002-01-10,407.01
2002-01-11,411.575
2002-01-14,402.572
2002-01-15,398.908
2002-01-16,393.887
2002-01-17,397.486
2002-01-18,393.542
2002-01-21,387.494
2002-01-22,388.667
2002-01-23,387.317
2002-01-24,393.192
2002-01-25,390.963
2002-01-28,390.333
2002-01-29,382.298
2002-01-30,371.075
2002-01-31,368.677
2002-02-01,368.028
2002-02-04,363.834
2002-02-05,362.621
2002-02-06,357.179
2002-02-07,367.368
2002-02-08,370.324
2002-02-11,373.49
2002-02-12,368.737
2002-02-13,371.042
2002-02-14,379.994
2002-02-15,382.927
2002-02-18,377.607
2002-02-19,369.594
2002-02-20,364.913
2002-02-21,367.451
2002-02-22,366.024
2002-02-25,367.09
2002-02-26,362.09
2002-02-27,368.089
2002-02-28,370.131
2002-03-01,375.526
2002-03-04,386.107
2002-03-05,385.985
2002-03-06,391.116
2002-03-07,401.178
2002-03-08,404.47
2002-03-11,401.335
2002-03-12,396.289
2002-03-13,400.246
2002-03-14,406.176
2002-03-15,406.439
2002-03-18,408.733
2002-03-19,410.147
2002-03-20,409.549
2002-03-21,405.325
2002-03-22,405.789
2002-03-25,404.4
2002-03-26,404.445
2002-03-27,402.015
2002-03-28,404.436
2002-03-29,404.436
2002-04-01,409.119
2002-04-02,409.536
2002-04-03,415.196
2002-04-04,415.343
2002-04-05,410.988
2002-04-08,402.733
2002-04-09,406.642
2002-04-10,409.481
2002-04-11,409.166
2002-04-12,403.975
2002-04-15,404.688
2002-04-16,408.702
2002-04-17,413.731
2002-04-18,413.776
2002-04-19,409.229
2002-04-22,409.996
2002-04-23,408.984
2002-04-24,408.748
2002-04-25,406.04
2002-04-26,398.921
2002-04-29,402.461
2002-04-30,401.427
2002-05-01,405.318
2002-05-02,401.293
2002-05-03,407.491
2002-05-06,405.73
2002-05-07,396.925
2002-05-08,407.221
2002-05-09,408.232
2002-05-10,407.448
2002-05-13,409.22
2002-05-14,411.51
2002-05-15,421.06
2002-05-16,421.601
2002-05-17,425.42
2002-05-20,423.482
2002-05-21,423.298
2002-05-22,423.419
2002-05-23,419.294
2002-05-24,418.716
2002-05-27,420.005
2002-05-28,420.821
2002-05-29,422.851
2002-05-30,422.363
2002-05-31,423.763
2002-06-03,423.701
2002-06-04,415.813
2002-06-05,414.235
2002-06-06,414.605
2002-06-07,404.953
2002-06-10,402.77
2002-06-11,408.681
2002-06-12,400.565
2002-06-13,390.768
2002-06-14,387.254
2002-06-17,396.11
2002-06-18,388.594
2002-06-19,382.956
2002-06-20,372.113
2002-06-21,379.45
2002-06-24,360.675
2002-06-25,371.917
2002-06-26,366.004
2002-06-27,371.012
2002-06-28,393.656
2002-07-01,395.407
2002-07-02,383.296
2002-07-03,366.376
2002-07-04,372.741
2002-07-05,386.943
2002-07-08,388.313
2002-07-09,387.413
2002-07-10,369.879
2002-07-11,348.082
2002-07-12,358.533
2002-07-15,342.364
2002-07-16,342.721
2002-07-17,353.861
2002-07-18,356.228
2002-07-19,337.57
2002-07-22,304.574
2002-07-23,290.177
2002-07-24,280.737
2002-07-25,306.091
2002-07-26,309.416
2002-07-29,325.727
2002-07-30,323.647
2002-07-31,319.138
2002-08-01,305.699
2002-08-02,296.081
2002-08-05,283.035
2002-08-06,295.062
2002-08-07,289.371
2002-08-08,299.816
2002-08-09,308.038
