Date,SWITZERLAND LARGE VALUE Large Cap
1994-05-31,155.707
1994-06-30,156.594
1994-07-29,158.053
1994-08-31,159.083
1994-09-30,158.659
1994-10-31,161.257
1994-11-30,154.238
1994-12-30,155.813
1995-01-31,153.516
1995-02-28,157.85
1995-03-31,170.032
1995-04-28,173.919
1995-05-31,189.19
1995-06-30,192.206
1995-07-31,189.218
1995-08-31,177.278
1995-09-29,200.762
1995-10-31,212.3
1995-11-30,208.069
1995-12-29,217.22
1996-01-31,202.085
1996-02-29,206.328
1996-03-29,222.073
1996-04-30,213.434
1996-05-31,204.271
1996-06-28,219.349
1996-07-31,219.718
1996-08-30,223.745
1996-09-30,217.381
1996-10-31,216.848
1996-11-29,221.482
1996-12-31,212.368
1997-01-31,211.138
1997-02-28,217.332
1997-03-31,233.913
1997-04-30,238.479
1997-05-30,264.002
1997-06-30,282.187
1997-07-31,283.019
1997-08-29,256.049
1997-09-30,292.332
1997-10-31,291.019
1997-11-28,307.922
1997-12-31,328.166
1998-01-30,330.386
1998-02-27,369.157
1998-03-31,399.459
1998-04-30,415.774
1998-05-29,437.276
1998-06-30,457.118
1998-07-31,507.542
1998-08-31,387.214
1998-09-30,293.995
1998-10-30,369.249
1998-11-30,395.211
1998-12-31,385.127
1999-01-29,395.541
1999-02-26,384.925
1999-03-31,415.646
1999-04-30,453.138
1999-05-31,411.799
1999-06-30,414.392
1999-07-30,433.135
1999-08-31,420.084
1999-09-30,418.371
1999-10-29,427.171
1999-11-30,418.589
1999-12-31,433.059
2000-01-31,383.143
2000-02-29,375.198
2000-03-31,418.776
2000-04-28,400.346
2000-05-31,431.031
2000-06-30,459.752
2000-07-31,467.173
2000-08-31,460.014
2000-09-29,432.185
2000-10-31,437.718
2000-11-30,451.36
2000-12-29,502.701
2001-01-31,514.732
2001-02-28,465.13
2001-03-30,411.333
2001-04-30,434.161
2001-05-31,422.649
2001-06-29,412.415
2001-07-31,407.626
2001-08-31,416.284
2001-09-28,370.405
2001-10-31,376.983
2001-11-30,396.008
2001-12-31,392.84
2002-01-31,354.975
2002-02-28,356.375
2002-03-29,389.405
2002-04-30,386.707
2002-05-31,408.982
2002-06-28,379.925
2002-07-31,308.006
2002-08-30,319.071
2002-09-30,281.631
2002-10-31,315.203
2002-11-29,346.488
2002-12-31,317.2
2003-01-31,299.033
2003-02-28,276.157
2003-03-31,274.35
2003-04-30,331.232
2003-05-30,370.095
2003-06-30,373.707
2003-07-31,394.123
2003-08-29,386.464
2003-09-30,394.992
2003-10-31,419.206
2003-11-28,435.756
2003-12-31,479.038
2004-01-30,497.924
2004-02-27,502.145
2004-03-31,484.35
2004-04-30,480.933
2004-05-31,472.917
2004-06-30,488.915
2004-07-30,449.887
2004-08-31,442.093
2004-09-30,451.408
2004-10-29,470.416
2004-11-30,522.792
2004-12-31,559.424
2005-01-31,544.925
2005-02-28,592.077
2005-03-31,573.422
2005-04-29,550.226
2005-05-31,541.442
2005-06-30,535.558
2005-07-29,567.314
2005-08-31,575.268
2005-09-30,588.385
2005-10-31,590.278
2005-11-30,639.584
2005-12-30,656.144
2006-01-31,722.023
2006-02-28,689.707
2006-03-31,693.951
2006-04-28,766.922
2006-05-31,732.146
2006-06-30,729.189
2006-07-31,744.303
2006-08-31,762.212
2006-09-29,777.935
2006-10-31,801.201
2006-11-30,853.307
2006-12-29,884.975
2007-01-31,883.745
2007-02-28,895.153
2007-03-30,920.405
2007-04-30,996.356
2007-05-31,1000.0
2007-06-29,945.883
2007-07-31,890.839
2007-08-31,850.658
2007-09-28,879.63
2007-10-31,887.929
2007-11-30,820.797
2007-12-31,787.566
2008-01-31,734.062
2008-02-29,679.367
2008-03-31,664.345
2008-04-30,724.605
2008-05-30,642.08
2008-06-30,567.783
2008-07-31,559.359
2008-08-29,568.458
2008-09-30,509.833
2008-10-31,434.567
2008-11-28,371.036
2008-12-31,392.694
2009-01-30,323.983
2009-02-27,269.381
2009-03-31,311.108
2009-04-30,401.537
2009-05-29,444.008
2009-06-30,434.368
2009-07-31,483.186
2009-08-31,551.016
2009-09-30,574.689
2009-10-30,551.912
2009-11-30,558.869
2009-12-31,566.378
2010-01-29,553.781
2010-02-26,587.91
2010-03-31,632.723
2010-04-30,590.026
2010-05-31,539.896
2010-06-30,552.57
2010-07-30,621.669
2010-08-31,600.847
2010-09-30,611.003
2010-10-29,615.135
2010-11-30,565.656
2010-12-31,625.168
2011-01-31,634.386
2011-02-28,661.628
2011-03-31,637.847
2011-04-29,681.156
2011-05-31,696.355
2011-06-30,659.289
2011-07-29,652.978
2011-08-31,607.93
2011-09-30,564.215
2011-10-31,598.041
2011-11-30,554.527
2011-12-30,572.946
2012-01-31,569.413
2012-02-29,604.48
2012-03-30,619.86
2012-04-30,608.017
2012-05-31,553.019
2012-06-29,587.327
2012-07-31,593.848
2012-08-31,610.796
2012-09-28,635.015
2012-10-31,657.978
2012-11-30,678.399
2012-12-31,687.866
2013-01-31,753.57
