Date,AUSTRIA SMID VALUE SMID (Small+Mid Cap)
1994-05-31,105.531
1994-06-30,109.932
1994-07-29,112.528
1994-08-31,117.509
1994-09-30,112.274
1994-10-31,112.312
1994-11-30,105.231
1994-12-30,107.752
1995-01-31,101.719
1995-02-28,103.647
1995-03-31,100.865
1995-04-28,97.38
1995-05-31,99.798
1995-06-30,100.637
1995-07-31,102.896
1995-08-31,95.882
1995-09-29,95.111
1995-10-31,93.337
1995-11-30,89.916
1995-12-29,92.749
1996-01-31,95.113
1996-02-29,95.866
1996-03-29,95.613
1996-04-30,95.488
1996-05-31,98.198
1996-06-28,96.567
1996-07-31,95.959
1996-08-30,94.602
1996-09-30,93.156
1996-10-31,94.236
1996-11-29,93.213
1996-12-31,95.362
1997-01-31,92.741
1997-02-28,92.655
1997-03-31,95.455
1997-04-30,90.756
1997-05-30,97.915
1997-06-30,97.978
1997-07-31,99.195
1997-08-29,94.881
1997-09-30,100.007
1997-10-31,97.522
1997-11-28,95.334
1997-12-31,101.503
1998-01-30,103.801
1998-02-27,112.101
1998-03-31,117.359
1998-04-30,125.117
1998-05-29,132.739
1998-06-30,127.316
1998-07-31,133.677
1998-08-31,123.776
1998-09-30,121.175
1998-10-30,127.212
1998-11-30,122.087
1998-12-31,123.655
1999-01-29,116.956
1999-02-26,117.623
1999-03-31,114.548
1999-04-30,120.868
1999-05-31,113.453
1999-06-30,117.01
1999-07-30,115.895
1999-08-31,116.786
1999-09-30,111.397
1999-10-29,111.876
1999-11-30,106.826
1999-12-31,110.671
2000-01-31,107.726
2000-02-29,101.584
2000-03-31,102.452
2000-04-28,100.353
2000-05-31,102.688
2000-06-30,106.114
2000-07-31,100.726
2000-08-31,98.2
2000-09-29,96.468
2000-10-31,90.814
2000-11-30,90.446
2000-12-29,95.94
2001-01-31,96.74
2001-02-28,102.326
2001-03-30,96.893
2001-04-30,100.049
2001-05-31,96.489
2001-06-29,98.013
2001-07-31,103.517
2001-08-31,106.454
2001-09-28,98.405
2001-10-31,93.272
2001-11-30,96.695
2001-12-31,98.377
2002-01-31,98.117
2002-02-28,102.74
2002-03-29,110.506
2002-04-30,119.178
2002-05-31,122.0
2002-06-28,126.519
2002-07-31,113.924
2002-08-30,115.28
2002-09-30,111.462
2002-10-31,116.628
2002-11-29,116.001
2002-12-31,125.481
2003-01-31,129.989
2003-02-28,132.939
2003-03-31,134.607
2003-04-30,146.694
2003-05-30,156.923
2003-06-30,160.802
2003-07-31,160.538
2003-08-29,159.789
2003-09-30,164.605
2003-10-31,168.239
2003-11-28,185.622
2003-12-31,197.03
