Date,AUSTRIA SMID VALUE SMID (Small+Mid Cap)
2001-01-01,92.478
2001-01-02,93.154
2001-01-03,91.999
2001-01-04,92.059
2001-01-05,93.537
2001-01-08,93.473
2001-01-09,92.619
2001-01-10,93.139
2001-01-11,94.474
2001-01-12,95.286
2001-01-15,95.346
2001-01-16,95.0
2001-01-17,94.021
2001-01-18,93.916
2001-01-19,93.453
2001-01-22,93.551
2001-01-23,93.376
2001-01-24,91.329
2001-01-25,91.014
2001-01-26,91.591
2001-01-29,91.307
2001-01-30,92.462
2001-01-31,93.275
2001-02-01,96.56
2001-02-02,95.651
2001-02-05,96.632
2001-02-06,95.884
2001-02-07,97.187
2001-02-08,96.228
2001-02-09,96.187
2001-02-12,97.208
2001-02-13,96.56
2001-02-14,95.673
2001-02-15,95.02
2001-02-16,97.083
2001-02-19,97.909
2001-02-20,97.999
2001-02-21,97.836
2001-02-22,97.226
2001-02-23,97.1
2001-02-26,97.274
2001-02-27,99.397
2001-02-28,98.66
2001-03-01,99.771
2001-03-02,100.098
2001-03-05,99.47
2001-03-06,99.891
2001-03-07,101.192
2001-03-08,101.425
2001-03-09,100.856
2001-03-12,100.613
2001-03-13,99.243
2001-03-14,97.559
2001-03-15,96.241
2001-03-16,93.676
2001-03-19,93.67
2001-03-20,94.297
2001-03-21,93.186
2001-03-22,90.007
2001-03-23,91.968
2001-03-26,92.729
2001-03-27,93.73
2001-03-28,93.219
2001-03-29,92.491
2001-03-30,93.423
2001-04-02,92.781
2001-04-03,92.964
2001-04-04,95.052
2001-04-05,95.616
2001-04-06,95.359
2001-04-09,96.146
2001-04-10,95.547
2001-04-11,94.602
2001-04-12,95.434
2001-04-13,95.434
2001-04-16,94.457
2001-04-17,94.349
2001-04-18,94.436
2001-04-19,95.542
2001-04-20,97.096
2001-04-23,96.376
2001-04-24,96.276
2001-04-25,96.202
2001-04-26,97.265
2001-04-27,96.996
2001-04-30,96.473
2001-05-01,96.99
2001-05-02,96.927
2001-05-03,96.298
2001-05-04,95.73
2001-05-07,95.24
2001-05-08,94.874
2001-05-09,95.04
2001-05-10,95.75
2001-05-11,95.276
2001-05-14,94.582
2001-05-15,94.81
2001-05-16,95.961
2001-05-17,97.131
2001-05-18,96.907
2001-05-21,95.9
2001-05-22,95.036
2001-05-23,93.829
2001-05-24,93.485
2001-05-25,92.933
2001-05-28,93.405
2001-05-29,92.517
2001-05-30,93.65
2001-05-31,93.473
2001-06-01,94.131
2001-06-04,94.259
2001-06-05,96.007
2001-06-06,95.967
2001-06-07,95.578
2001-06-08,95.734
2001-06-11,94.252
2001-06-12,95.314
2001-06-13,96.556
2001-06-14,97.406
2001-06-15,96.987
2001-06-18,97.325
2001-06-19,98.191
2001-06-20,97.333
2001-06-21,96.869
2001-06-22,97.772
2001-06-25,98.419
2001-06-26,98.489
2001-06-27,97.588
2001-06-28,95.539
2001-06-29,94.984
2001-07-02,95.014
2001-07-03,94.856
2001-07-04,95.374
2001-07-05,94.596
2001-07-06,95.06
2001-07-09,96.296
2001-07-10,97.714
2001-07-11,97.728
2001-07-12,97.046
2001-07-13,97.232
2001-07-16,97.578
2001-07-17,96.756
2001-07-18,99.063
2001-07-19,99.794
2001-07-20,100.642
2001-07-23,100.535
2001-07-24,101.074
2001-07-25,101.414
2001-07-26,101.049
2001-07-27,100.762
2001-07-30,100.993
2001-07-31,100.33
2001-08-01,101.229
2001-08-02,100.871
2001-08-03,100.796
2001-08-06,100.497
2001-08-07,100.057
2001-08-08,99.87
2001-08-09,100.547
2001-08-10,102.088
2001-08-13,103.324
2001-08-14,102.425
2001-08-15,103.998
2001-08-16,104.153
2001-08-17,104.368
2001-08-20,102.874
2001-08-21,103.244
2001-08-22,104.202
2001-08-23,103.633
2001-08-24,103.754
2001-08-27,103.168
2001-08-28,103.328
2001-08-29,103.684
2001-08-30,103.112
2001-08-31,103.177
2001-09-03,102.679
2001-09-04,101.022
2001-09-05,100.419
2001-09-06,100.095
2001-09-07,101.42
2001-09-10,99.873
2001-09-11,100.032
2001-09-12,99.695
2001-09-13,99.24
2001-09-14,98.916
2001-09-17,98.207
2001-09-18,97.613
2001-09-19,99.376
2001-09-20,97.565
2001-09-21,94.141
2001-09-24,94.323
2001-09-25,95.348
2001-09-26,95.82
2001-09-27,96.239
2001-09-28,95.375
2001-10-01,96.716
2001-10-02,96.439
2001-10-03,96.737
2001-10-04,95.929
2001-10-05,94.905
2001-10-08,94.503
