Date,EUROPE SMID CAP SMID (Small+Mid Cap)
2001-01-01,376.123
2001-01-02,376.082
2001-01-03,369.487
2001-01-04,373.193
2001-01-05,373.554
2001-01-08,370.499
2001-01-09,366.912
2001-01-10,366.803
2001-01-11,372.437
2001-01-12,374.78
2001-01-15,373.065
2001-01-16,370.297
2001-01-17,373.844
2001-01-18,379.207
2001-01-19,378.13
2001-01-22,376.408
2001-01-23,377.288
2001-01-24,373.675
2001-01-25,374.124
2001-01-26,373.813
2001-01-29,373.469
2001-01-30,377.113
2001-01-31,380.956
2001-02-01,384.257
2001-02-02,380.054
2001-02-05,380.43
2001-02-06,379.64
2001-02-07,377.741
2001-02-08,373.723
2001-02-09,373.195
2001-02-12,375.701
2001-02-13,373.212
2001-02-14,369.834
2001-02-15,367.504
2001-02-16,368.711
2001-02-19,369.155
2001-02-20,365.267
2001-02-21,363.558
2001-02-22,360.472
2001-02-23,358.581
2001-02-26,360.511
2001-02-27,364.215
2001-02-28,362.478
2001-03-01,361.543
2001-03-02,364.203
2001-03-05,363.203
2001-03-06,367.781
2001-03-07,367.424
2001-03-08,368.803
2001-03-09,366.092
2001-03-12,359.549
2001-03-13,350.259
2001-03-14,341.922
2001-03-15,342.323
2001-03-16,335.124
2001-03-19,333.236
2001-03-20,336.468
2001-03-21,328.942
2001-03-22,314.529
2001-03-23,321.854
2001-03-26,327.955
2001-03-27,331.575
2001-03-28,328.315
2001-03-29,325.915
2001-03-30,327.448
2001-04-02,325.408
2001-04-03,320.491
2001-04-04,323.741
2001-04-05,326.861
2001-04-06,328.041
2001-04-09,329.43
2001-04-10,329.555
2001-04-11,329.891
2001-04-12,333.404
2001-04-13,333.383
2001-04-16,330.581
2001-04-17,328.963
2001-04-18,331.693
2001-04-19,338.22
2001-04-20,341.753
2001-04-23,338.726
2001-04-24,338.025
2001-04-25,339.093
2001-04-26,342.293
2001-04-27,341.572
2001-04-30,343.188
2001-05-01,344.432
2001-05-02,345.669
2001-05-03,343.798
2001-05-04,344.413
2001-05-07,344.403
2001-05-08,343.364
2001-05-09,341.097
2001-05-10,342.515
2001-05-11,340.83
2001-05-14,338.547
2001-05-15,340.483
2001-05-16,341.876
2001-05-17,344.027
2001-05-18,344.613
2001-05-21,345.872
2001-05-22,345.278
2001-05-23,342.45
2001-05-24,340.585
2001-05-25,340.718
2001-05-28,341.773
2001-05-29,338.786
2001-05-30,337.713
2001-05-31,335.269
2001-06-01,334.44
2001-06-04,335.417
2001-06-05,336.614
2001-06-06,334.886
2001-06-07,335.837
2001-06-08,334.946
2001-06-11,330.427
2001-06-12,328.738
2001-06-13,330.582
2001-06-14,329.838
2001-06-15,328.071
2001-06-18,326.806
2001-06-19,325.561
2001-06-20,320.498
2001-06-21,321.88
2001-06-22,322.019
2001-06-25,323.116
2001-06-26,319.702
2001-06-27,319.375
2001-06-28,317.268
2001-06-29,318.484
2001-07-02,319.357
2001-07-03,318.173
2001-07-04,316.606
2001-07-05,311.316
2001-07-06,309.959
2001-07-09,310.145
2001-07-10,312.302
2001-07-11,311.005
2001-07-12,310.379
2001-07-13,309.85
2001-07-16,309.54
2001-07-17,306.877
2001-07-18,311.75
2001-07-19,313.174
2001-07-20,313.355
2001-07-23,311.814
2001-07-24,311.686
2001-07-25,311.078
2001-07-26,311.018
2001-07-27,312.618
2001-07-30,314.634
2001-07-31,316.344
2001-08-01,319.9
2001-08-02,322.887
2001-08-03,322.896
2001-08-06,320.288
2001-08-07,318.042
2001-08-08,316.36
2001-08-09,316.726
2001-08-10,318.387
2001-08-13,319.599
2001-08-14,320.75
2001-08-15,324.377
2001-08-16,322.99
2001-08-17,322.301
2001-08-20,319.818
2001-08-21,320.936
2001-08-22,322.943
2001-08-23,320.751
2001-08-24,322.754
2001-08-27,321.911
2001-08-28,320.861
2001-08-29,320.143
2001-08-30,316.441
2001-08-31,315.496
2001-09-03,312.317
2001-09-04,308.839
2001-09-05,305.763
2001-09-06,302.007
2001-09-07,301.96
2001-09-10,295.566
2001-09-11,286.099
2001-09-12,282.897
2001-09-13,284.519
2001-09-14,279.463
2001-09-17,275.91
2001-09-18,272.625
2001-09-19,272.357
2001-09-20,261.531
2001-09-21,250.189
2001-09-24,257.6
2001-09-25,263.545
2001-09-26,266.114
2001-09-27,266.143
2001-09-28,268.994
2001-10-01,268.677
2001-10-02,268.048
2001-10-03,269.583
2001-10-04,274.199
2001-10-05,275.638
2001-10-08,274.452
2001-10-09,275.574
2001-10-10,276.029
2001-10-11,279.135
2001-10-12,280.718
2001-10-15,279.561
2001-10-16,282.23
2001-10-17,285.65
2001-10-18,281.776
2001-10-19,278.493
2001-10-22,277.503
2001-10-23,279.949
2001-10-24,281.603
2001-10-25,281.423
2001-10-26,283.833
2001-10-29,285.711
2001-10-30,282.31
2001-10-31,282.815
2001-11-01,285.052
2001-11-02,285.178
2001-11-05,286.456
2001-11-06,287.427
2001-11-07,289.521
2001-11-08,290.992
2001-11-09,291.32
2001-11-12,288.438
2001-11-13,289.775
2001-11-14,293.117
2001-11-15,294.38
2001-11-16,296.706
2001-11-19,298.295
2001-11-20,297.107
2001-11-21,294.293
2001-11-22,296.36
2001-11-23,295.258
2001-11-26,297.388
2001-11-27,296.964
2001-11-28,296.1
2001-11-29,295.523
2001-11-30,298.505
2001-12-03,295.583
2001-12-04,297.801
2001-12-05,302.094
2001-12-06,304.902
2001-12-07,304.68
2001-12-10,301.851
2001-12-11,301.267
2001-12-12,301.295
2001-12-13,298.318
2001-12-14,298.4
2001-12-17,301.453
2001-12-18,301.298
2001-12-19,298.957
2001-12-20,297.3
2001-12-21,295.673
2001-12-24,293.87
2001-12-25,293.86
2001-12-26,294.478
2001-12-27,299.274
2001-12-28,299.893
2001-12-31,302.785
2002-01-01,302.779
2002-01-02,305.9
2002-01-03,309.155
2002-01-04,309.979
2002-01-07,309.491
2002-01-08,308.205
2002-01-09,307.849
2002-01-10,307.495
2002-01-11,307.724
2002-01-14,305.984
2002-01-15,305.158
2002-01-16,300.584
2002-01-17,301.636
2002-01-18,302.295
2002-01-21,301.732
2002-01-22,301.479
2002-01-23,301.902
2002-01-24,301.759
2002-01-25,297.083
2002-01-28,296.898
2002-01-29,295.984
2002-01-30,294.134
2002-01-31,296.05
2002-02-01,296.583
2002-02-04,297.034
2002-02-05,295.207
2002-02-06,293.787
2002-02-07,293.607
2002-02-08,294.831
2002-02-11,297.506
2002-02-12,297.606
2002-02-13,297.093
2002-02-14,297.567
2002-02-15,298.511
2002-02-18,296.737
2002-02-19,294.901
2002-02-20,293.062
2002-02-21,294.124
2002-02-22,294.379
2002-02-25,294.396
2002-02-26,295.765
2002-02-27,296.516
2002-02-28,296.28
2002-03-01,298.367
2002-03-04,304.031
2002-03-05,303.524
2002-03-06,305.728
2002-03-07,310.311
2002-03-08,310.636
2002-03-11,310.651
2002-03-12,307.265
2002-03-13,308.331
2002-03-14,310.992
2002-03-15,312.214
2002-03-18,313.639
2002-03-19,314.723
2002-03-20,314.825
2002-03-21,314.204
2002-03-22,314.3
2002-03-25,312.91
2002-03-26,312.744
2002-03-27,312.144
2002-03-28,313.855
2002-03-29,313.852
2002-04-01,316.749
2002-04-02,316.994
2002-04-03,315.981
2002-04-04,314.993
2002-04-05,315.231
2002-04-08,311.475
2002-04-09,312.607
2002-04-10,314.578
2002-04-11,314.722
2002-04-12,314.056
2002-04-15,314.616
2002-04-16,316.908
2002-04-17,319.343
2002-04-18,319.507
2002-04-19,319.791
2002-04-22,318.925
2002-04-23,318.698
2002-04-24,319.135
2002-04-25,318.743
2002-04-26,318.629
2002-04-29,318.946
2002-04-30,319.213
2002-05-01,321.013
2002-05-02,320.988
2002-05-03,323.033
2002-05-06,323.538
2002-05-07,320.337
2002-05-08,322.514
2002-05-09,322.362
2002-05-10,322.83
2002-05-13,322.797
2002-05-14,321.52
2002-05-15,323.961
2002-05-16,324.597
2002-05-17,327.993
2002-05-20,327.735
2002-05-21,326.406
2002-05-22,326.506
2002-05-23,324.01
2002-05-24,324.181
2002-05-27,323.321
2002-05-28,325.261
2002-05-29,324.752
2002-05-30,324.507
2002-05-31,325.035
2002-06-03,324.772
2002-06-04,322.82
2002-06-05,320.025
2002-06-06,321.363
2002-06-07,318.348
2002-06-10,318.973
2002-06-11,320.305
2002-06-12,317.405
2002-06-13,314.215
2002-06-14,307.128
2002-06-17,311.066
2002-06-18,311.819
2002-06-19,310.184
2002-06-20,306.795
2002-06-21,307.253
2002-06-24,304.072
2002-06-25,305.799
2002-06-26,305.904
2002-06-27,307.217
2002-06-28,313.153
2002-07-01,314.112
2002-07-02,307.996
2002-07-03,299.592
2002-07-04,301.322
2002-07-05,306.393
2002-07-08,309.864
2002-07-09,309.303
2002-07-10,302.763
2002-07-11,294.798
2002-07-12,294.667
2002-07-15,289.919
2002-07-16,288.409
2002-07-17,292.871
2002-07-18,297.119
2002-07-19,291.823
2002-07-22,281.206
2002-07-23,273.434
2002-07-24,266.192
2002-07-25,273.442
2002-07-26,270.185
2002-07-29,277.143
2002-07-30,280.359
2002-07-31,280.134
2002-08-01,274.314
2002-08-02,273.199
2002-08-05,266.054
2002-08-06,263.786
2002-08-07,264.694
2002-08-08,267.975
2002-08-09,270.868
2002-08-12,269.936
2002-08-13,271.321
2002-08-14,271.196
2002-08-15,273.808
2002-08-16,275.569
2002-08-19,278.683
2002-08-20,277.451
2002-08-21,281.758
2002-08-22,284.403
2002-08-23,282.94
2002-08-26,282.363
2002-08-27,286.396
2002-08-28,280.793
2002-08-29,278.259
2002-08-30,278.1
2002-09-02,276.743
2002-09-03,273.448
2002-09-04,272.461
2002-09-05,269.301
2002-09-06,271.741
2002-09-09,268.807
2002-09-10,271.362
2002-09-11,273.567
2002-09-12,270.134
2002-09-13,267.271
2002-09-16,264.383
2002-09-17,262.263
2002-09-18,257.478
2002-09-19,254.741
2002-09-20,255.512
2002-09-23,249.626
2002-09-24,243.657
2002-09-25,245.636
2002-09-26,250.421
2002-09-27,250.808
2002-09-30,246.381
2002-10-01,245.278
2002-10-02,246.926
2002-10-03,245.093
2002-10-04,242.052
2002-10-07,238.532
2002-10-08,235.686
2002-10-09,234.621
2002-10-10,235.589
2002-10-11,244.593
2002-10-14,243.086
2002-10-15,252.487
