Date,EUROPE SMID CAP SMID (Small+Mid Cap)
1994-05-31,194.916
1994-06-30,191.944
1994-07-29,198.985
1994-08-31,202.998
1994-09-30,197.434
1994-10-31,201.62
1994-11-30,193.217
1994-12-30,194.943
1995-01-31,193.489
1995-02-28,195.666
1995-03-31,200.839
1995-04-28,205.866
1995-05-31,210.204
1995-06-30,212.759
1995-07-31,221.611
1995-08-31,213.223
1995-09-29,218.375
1995-10-31,214.413
1995-11-30,209.967
1995-12-29,215.319
1996-01-31,217.131
1996-02-29,225.827
1996-03-29,229.665
1996-04-30,233.252
1996-05-31,239.036
1996-06-28,240.677
1996-07-31,236.818
1996-08-30,242.149
1996-09-30,241.689
1996-10-31,247.598
1996-11-29,254.835
1996-12-31,262.11
1997-01-31,263.41
1997-02-28,266.241
1997-03-31,270.596
1997-04-30,264.02
1997-05-30,274.637
1997-06-30,281.467
1997-07-31,282.202
1997-08-29,279.369
1997-09-30,297.34
1997-10-31,293.284
1997-11-28,290.511
1997-12-31,293.171
1998-01-30,301.953
1998-02-27,324.724
1998-03-31,354.448
1998-04-30,367.794
1998-05-29,382.071
1998-06-30,369.857
1998-07-31,373.977
1998-08-31,328.405
1998-09-30,311.8
1998-10-30,328.379
1998-11-30,338.825
1998-12-31,346.824
1999-01-29,346.924
1999-02-26,340.833
1999-03-31,340.728
1999-04-30,350.493
1999-05-31,345.813
1999-06-30,350.585
1999-07-30,362.886
1999-08-31,371.196
1999-09-30,370.263
1999-10-29,368.654
1999-11-30,380.222
1999-12-31,412.606
2000-01-31,402.831
2000-02-29,436.744
2000-03-31,425.515
2000-04-28,392.23
2000-05-31,387.811
2000-06-30,399.765
2000-07-31,396.348
2000-08-31,395.465
2000-09-29,380.904
2000-10-31,359.599
2000-11-30,342.96
2000-12-29,367.615
2001-01-31,372.386
2001-02-28,354.334
2001-03-30,320.168
2001-04-30,335.814
2001-05-31,328.443
2001-06-29,312.173
2001-07-31,310.144
2001-08-31,309.331
2001-09-28,263.757
2001-10-31,277.323
2001-11-30,292.732
2001-12-31,296.943
2002-01-31,290.364
2002-02-28,290.595
2002-03-29,307.924
2002-04-30,313.414
2002-05-31,319.467
2002-06-28,307.908
2002-07-31,275.474
2002-08-30,273.487
2002-09-30,242.305
2002-10-31,256.216
2002-11-29,270.043
2002-12-31,262.231
2003-01-31,251.919
2003-02-28,241.487
2003-03-31,240.077
2003-04-30,272.983
2003-05-30,299.041
2003-06-30,303.459
2003-07-31,314.903
2003-08-29,321.238
2003-09-30,331.366
2003-10-31,357.542
2003-11-28,370.81
2003-12-31,393.197
2004-01-30,410.116
2004-02-27,427.171
2004-03-31,417.979
2004-04-30,411.642
2004-05-31,418.543
2004-06-30,429.574
2004-07-30,414.771
2004-08-31,415.177
2004-09-30,434.126
2004-10-29,449.436
2004-11-30,489.534
2004-12-31,515.694
2005-01-31,517.391
2005-02-28,543.683
2005-03-31,527.632
2005-04-29,511.136
2005-05-31,517.136
2005-06-30,526.726
2005-07-29,547.977
2005-08-31,562.481
2005-09-30,574.962
2005-10-31,549.838
2005-11-30,567.217
2005-12-30,593.263
2006-01-31,645.093
2006-02-28,657.248
2006-03-31,689.07
2006-04-28,728.631
2006-05-31,704.161
2006-06-30,701.796
2006-07-31,706.187
2006-08-31,733.945
2006-09-29,748.623
2006-10-31,787.704
2006-11-30,831.955
2006-12-29,872.52
2007-01-31,882.792
2007-02-28,886.155
2007-03-30,930.706
2007-04-30,981.69
2007-05-31,1000.0
2007-06-29,983.783
2007-07-31,969.757
2007-08-31,941.941
2007-09-28,958.345
2007-10-31,1010.85
2007-11-30,936.833
2007-12-31,911.093
2008-01-31,819.218
2008-02-29,848.272
2008-03-31,857.307
2008-04-30,880.972
2008-05-30,894.995
2008-06-30,811.812
2008-07-31,766.944
2008-08-29,752.107
2008-09-30,612.556
2008-10-31,447.469
2008-11-28,416.516
2008-12-31,436.101
2009-01-30,404.359
2009-02-27,370.772
2009-03-31,395.278
2009-04-30,471.609
2009-05-29,530.73
2009-06-30,521.732
2009-07-31,572.448
2009-08-31,619.963
2009-09-30,659.964
2009-10-30,645.171
2009-11-30,658.633
2009-12-31,668.227
2010-01-29,649.48
2010-02-26,631.016
2010-03-31,682.113
2010-04-30,681.867
2010-05-31,591.343
2010-06-30,588.472
2010-07-30,659.487
2010-08-31,630.659
2010-09-30,716.132
2010-10-29,749.066
2010-11-30,700.39
2010-12-31,775.366
2011-01-31,795.999
2011-02-28,819.049
2011-03-31,826.041
2011-04-29,887.864
2011-05-31,862.924
2011-06-30,836.166
2011-07-29,800.8
2011-08-31,722.388
2011-09-30,627.073
2011-10-31,696.314
2011-11-30,656.419
2011-12-30,639.24
2012-01-31,689.54
2012-02-29,742.445
2012-03-30,744.689
2012-04-30,733.421
2012-05-31,638.854
2012-06-29,677.289
2012-07-31,682.89
2012-08-31,714.131
2012-09-28,746.162
2012-10-31,756.906
2012-11-30,773.792
2012-12-31,804.24
2013-01-31,846.815
2013-02-28,841.158
2013-03-29,839.126
2013-04-30,870.933
2013-05-31,883.688
2013-06-28,848.364
