Date,EUROPE SMID CAP SMID (Small+Mid Cap)
2001-01-01,367.638
2001-01-02,367.602
2001-01-03,361.156
2001-01-04,364.78
2001-01-05,365.134
2001-01-08,362.149
2001-01-09,358.644
2001-01-10,358.538
2001-01-11,364.05
2001-01-12,366.34
2001-01-15,364.666
2001-01-16,361.961
2001-01-17,365.428
2001-01-18,370.67
2001-01-19,369.618
2001-01-22,367.937
2001-01-23,368.797
2001-01-24,365.266
2001-01-25,365.706
2001-01-26,365.403
2001-01-29,365.068
2001-01-30,368.629
2001-01-31,372.386
2001-02-01,375.615
2001-02-02,371.507
2001-02-05,371.874
2001-02-06,371.102
2001-02-07,369.246
2001-02-08,365.318
2001-02-09,364.803
2001-02-12,367.252
2001-02-13,364.819
2001-02-14,361.519
2001-02-15,359.241
2001-02-16,360.421
2001-02-19,360.856
2001-02-20,357.055
2001-02-21,355.384
2001-02-22,352.368
2001-02-23,350.521
2001-02-26,352.41
2001-02-27,356.03
2001-02-28,354.334
2001-03-01,353.421
2001-03-02,356.02
2001-03-05,355.043
2001-03-06,359.522
2001-03-07,359.176
2001-03-08,360.525
2001-03-09,357.88
2001-03-12,351.484
2001-03-13,342.403
2001-03-14,334.254
2001-03-15,334.648
2001-03-16,327.611
2001-03-19,325.767
2001-03-20,328.929
2001-03-21,321.586
2001-03-22,307.503
2001-03-23,314.667
2001-03-26,320.634
2001-03-27,324.174
2001-03-28,320.992
2001-03-29,318.653
2001-03-30,320.168
2001-04-02,318.177
2001-04-03,313.373
2001-04-04,316.56
2001-04-05,319.626
2001-04-06,320.804
2001-04-09,322.17
2001-04-10,322.299
2001-04-11,322.659
2001-04-12,326.099
2001-04-13,326.079
2001-04-16,323.339
2001-04-17,321.759
2001-04-18,324.432
2001-04-19,330.824
2001-04-20,334.292
2001-04-23,331.341
2001-04-24,330.666
2001-04-25,331.746
2001-04-26,334.889
2001-04-27,334.23
2001-04-30,335.814
2001-05-01,337.038
2001-05-02,338.267
2001-05-03,336.443
2001-05-04,337.07
2001-05-07,337.09
2001-05-08,336.077
2001-05-09,333.861
2001-05-10,335.262
2001-05-11,333.622
2001-05-14,331.404
2001-05-15,333.31
2001-05-16,334.703
2001-05-17,336.827
2001-05-18,337.41
2001-05-21,338.724
2001-05-22,338.162
2001-05-23,335.406
2001-05-24,333.582
2001-05-25,333.737
2001-05-28,334.776
2001-05-29,331.859
2001-05-30,330.816
2001-05-31,328.443
2001-06-01,327.651
2001-06-04,328.615
2001-06-05,329.795
2001-06-06,328.11
2001-06-07,329.05
2001-06-08,328.188
2001-06-11,323.764
2001-06-12,322.117
2001-06-13,323.931
2001-06-14,323.214
