Date,EM (EMERGING MARKETS) IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,230.582
2001-01-02,231.528
2001-01-03,232.462
2001-01-04,240.573
2001-01-05,241.848
2001-01-08,242.467
2001-01-09,245.024
2001-01-10,243.618
2001-01-11,243.293
2001-01-12,244.362
2001-01-15,245.281
2001-01-16,246.839
2001-01-17,248.985
2001-01-18,253.142
2001-01-19,256.992
2001-01-22,257.827
2001-01-23,258.909
2001-01-24,259.194
2001-01-25,259.576
2001-01-26,258.519
2001-01-29,258.202
2001-01-30,259.618
2001-01-31,262.952
2001-02-01,261.786
2001-02-02,263.613
2001-02-05,259.53
2001-02-06,259.729
2001-02-07,255.602
2001-02-08,257.336
2001-02-09,258.287
2001-02-12,258.901
2001-02-13,260.369
2001-02-14,259.933
2001-02-15,262.04
2001-02-16,259.866
2001-02-19,256.853
2001-02-20,257.981
2001-02-21,252.713
2001-02-22,248.577
2001-02-23,247.34
2001-02-26,249.991
2001-02-27,249.424
2001-02-28,248.425
2001-03-01,247.549
2001-03-02,246.244
2001-03-05,247.308
2001-03-06,248.501
2001-03-07,249.241
2001-03-08,249.783
2001-03-09,247.096
2001-03-12,240.09
2001-03-13,237.094
2001-03-14,234.913
2001-03-15,235.321
2001-03-16,234.085
2001-03-19,231.826
2001-03-20,232.946
2001-03-21,233.011
2001-03-22,228.291
2001-03-23,230.026
2001-03-26,234.181
2001-03-27,233.773
2001-03-28,232.853
2001-03-29,229.729
2001-03-30,228.87
2001-04-02,224.77
2001-04-03,220.421
2001-04-04,218.366
2001-04-05,221.13
2001-04-06,223.071
2001-04-09,222.042
2001-04-10,223.492
2001-04-11,225.995
2001-04-12,226.883
2001-04-13,227.156
2001-04-16,225.744
2001-04-17,225.376
2001-04-18,231.038
2001-04-19,233.199
2001-04-20,230.166
2001-04-23,229.777
2001-04-24,230.778
2001-04-25,230.95
2001-04-26,232.702
2001-04-27,234.32
2001-04-30,236.252
2001-05-01,236.005
2001-05-02,237.003
2001-05-03,237.575
2001-05-04,237.328
2001-05-07,238.215
2001-05-08,236.718
2001-05-09,237.209
2001-05-10,237.477
2001-05-11,236.677
2001-05-14,234.942
2001-05-15,234.619
2001-05-16,235.854
2001-05-17,241.492
2001-05-18,242.043
2001-05-21,242.376
2001-05-22,243.441
2001-05-23,244.927
2001-05-24,244.802
2001-05-25,243.685
2001-05-28,243.239
2001-05-29,243.149
2001-05-30,241.304
2001-05-31,241.238
2001-06-01,240.105
2001-06-04,241.651
2001-06-05,241.611
2001-06-06,242.954
2001-06-07,242.757
2001-06-08,244.835
