Date,EM (EMERGING MARKETS) IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,225.461
2001-01-02,226.391
2001-01-03,227.305
2001-01-04,235.236
2001-01-05,236.483
2001-01-08,237.094
2001-01-09,239.595
2001-01-10,238.22
2001-01-11,237.902
2001-01-12,238.948
2001-01-15,239.846
2001-01-16,241.37
2001-01-17,243.47
2001-01-18,247.535
2001-01-19,251.317
2001-01-22,252.136
2001-01-23,253.194
2001-01-24,253.473
2001-01-25,253.847
2001-01-26,252.813
2001-01-29,252.504
2001-01-30,253.889
2001-01-31,257.15
2001-02-01,256.01
2001-02-02,257.797
2001-02-05,253.804
2001-02-06,253.999
2001-02-07,249.963
2001-02-08,251.659
2001-02-09,252.588
2001-02-12,253.189
2001-02-13,254.625
2001-02-14,254.212
2001-02-15,256.273
2001-02-16,254.147
2001-02-19,251.2
2001-02-20,252.304
2001-02-21,247.151
2001-02-22,243.107
2001-02-23,241.898
2001-02-26,244.491
2001-02-27,243.936
2001-02-28,242.957
2001-03-01,242.099
2001-03-02,240.823
2001-03-05,241.864
2001-03-06,243.03
2001-03-07,243.762
2001-03-08,244.298
2001-03-09,241.674
2001-03-12,234.822
2001-03-13,231.901
2001-03-14,229.771
2001-03-15,230.169
2001-03-16,228.961
2001-03-19,226.762
2001-03-20,227.868
2001-03-21,227.971
2001-03-22,223.353
2001-03-23,225.052
2001-03-26,229.14
2001-03-27,228.742
2001-03-28,227.847
2001-03-29,224.792
2001-03-30,223.955
2001-04-02,219.944
2001-04-03,215.69
2001-04-04,213.681
2001-04-05,216.386
2001-04-06,218.285
2001-04-09,217.278
2001-04-10,218.696
2001-04-11,221.147
2001-04-12,222.016
2001-04-13,222.283
2001-04-16,220.902
2001-04-17,220.544
2001-04-18,226.085
2001-04-19,228.205
2001-04-20,225.238
2001-04-23,224.857
2001-04-24,225.837
2001-04-25,226.007
2001-04-26,227.724
2001-04-27,229.311
2001-04-30,231.202
2001-05-01,230.97
2001-05-02,231.95
2001-05-03,232.511
2001-05-04,232.275
2001-05-07,233.157
2001-05-08,231.692
2001-05-09,232.179
2001-05-10,232.446
2001-05-11,231.663
2001-05-14,229.967
2001-05-15,229.653
2001-05-16,230.862
2001-05-17,236.384
2001-05-18,236.928
2001-05-21,237.261
2001-05-22,238.307
