Date,EM (EMERGING MARKETS) IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,350.088
1994-06-30,348.481
1994-07-29,365.881
1994-08-31,415.469
1994-09-30,419.702
1994-10-31,419.893
1994-11-30,395.283
1994-12-30,383.167
1995-01-31,350.691
1995-02-28,347.243
1995-03-31,339.119
1995-04-28,351.772
1995-05-31,379.565
1995-06-30,380.016
1995-07-31,385.449
1995-08-31,373.069
1995-09-29,371.644
1995-10-31,360.837
1995-11-30,348.353
1995-12-29,363.26
1996-01-31,392.332
1996-02-29,388.571
1996-03-29,389.183
1996-04-30,403.099
1996-05-31,395.705
1996-06-28,395.253
1996-07-31,369.267
1996-08-30,377.668
1996-09-30,377.209
1996-10-31,368.627
1996-11-29,374.056
1996-12-31,374.039
1997-01-31,399.873
1997-02-28,418.5
1997-03-31,407.777
1997-04-30,405.077
1997-05-30,407.742
1997-06-30,426.828
1997-07-31,430.698
1997-08-29,379.073
1997-09-30,385.072
1997-10-31,319.308
1997-11-28,302.72
1997-12-31,307.469
1998-01-30,283.933
1998-02-27,310.61
1998-03-31,324.72
1998-04-30,323.811
1998-05-29,279.247
1998-06-30,246.557
1998-07-31,249.854
1998-08-31,181.047
1998-09-30,190.276
1998-10-30,209.067
1998-11-30,227.556
1998-12-31,220.221
1999-01-29,208.668
1999-02-26,212.495
1999-03-31,241.622
1999-04-30,277.293
1999-05-31,273.94
1999-06-30,299.244
1999-07-30,288.638
1999-08-31,288.296
1999-09-30,276.349
1999-10-29,280.381
1999-11-30,302.785
1999-12-31,337.941
2000-01-31,345.044
2000-02-29,328.823
2000-03-31,331.505
2000-04-28,301.711
2000-05-31,285.741
2000-06-30,291.333
2000-07-31,284.185
2000-08-31,283.904
2000-09-29,256.806
2000-10-31,235.968
2000-11-30,219.488
2000-12-29,225.33
2001-01-31,257.15
2001-02-28,242.957
2001-03-30,223.955
2001-04-30,231.202
2001-05-31,236.171
2001-06-29,233.97
2001-07-31,217.372
2001-08-31,220.592
2001-09-28,188.87
2001-10-31,197.121
2001-11-30,218.77
2001-12-31,235.814
2002-01-31,246.802
2002-02-28,252.615
2002-03-29,270.348
2002-04-30,276.325
2002-05-31,271.82
2002-06-28,254.489
2002-07-31,238.594
2002-08-30,241.676
2002-09-30,215.867
2002-10-31,226.734
2002-11-29,241.786
2002-12-31,236.956
2003-01-31,239.226
2003-02-28,232.875
2003-03-31,224.802
2003-04-30,244.798
2003-05-30,262.49
2003-06-30,277.806
2003-07-31,293.295
2003-08-29,312.73
2003-09-30,313.251
2003-10-31,342.122
2003-11-28,349.489
2003-12-31,377.169
2004-01-30,391.033
2004-02-27,413.73
2004-03-31,422.232
2004-04-30,390.649
2004-05-31,380.598
2004-06-30,386.302
2004-07-30,382.576
2004-08-31,397.733
2004-09-30,422.18
2004-10-29,434.862
2004-11-30,474.895
2004-12-31,500.016
2005-01-31,500.417
2005-02-28,548.368
2005-03-31,512.664
2005-04-29,501.116
2005-05-31,514.083
2005-06-30,535.474
2005-07-29,570.99
2005-08-31,574.329
2005-09-30,624.175
2005-10-31,580.229
2005-11-30,625.242
2005-12-30,662.529
2006-01-31,733.543
2006-02-28,734.597
2006-03-31,740.917
2006-04-28,798.023
2006-05-31,721.769
2006-06-30,716.375
2006-07-31,725.528
2006-08-31,736.046
2006-09-29,743.571
2006-10-31,781.386
2006-11-30,843.623
2006-12-29,879.099
2007-01-31,867.381
2007-02-28,866.825
2007-03-30,904.482
2007-04-30,942.426
2007-05-31,1000.0
2007-06-29,1050.557
2007-07-31,1111.435
2007-08-31,1089.89
2007-09-28,1204.768
2007-10-31,1336.077
2007-11-30,1249.075
2007-12-31,1259.1
2008-01-31,1124.745
2008-02-29,1195.123
2008-03-31,1137.148
2008-04-30,1233.023
2008-05-30,1249.723
2008-06-30,1130.457
2008-07-31,1093.506
2008-08-29,1015.524
2008-09-30,841.644
2008-10-31,611.715
2008-11-28,575.286
2008-12-31,625.289
2009-01-30,581.048
2009-02-27,543.947
2009-03-31,625.395
2009-04-30,737.811
2009-05-29,875.85
2009-06-30,867.095
2009-07-31,968.514
2009-08-31,968.739
2009-09-30,1056.852
2009-10-30,1060.961
2009-11-30,1102.256
2009-12-31,1148.149
2010-01-29,1091.946
2010-02-26,1095.23
2010-03-31,1180.5
2010-04-30,1198.453
2010-05-31,1091.93
2010-06-30,1090.338
2010-07-30,1177.807
2010-08-31,1155.052
2010-09-30,1280.735
2010-10-29,1319.779
2010-11-30,1283.024
2010-12-31,1381.334
2011-01-31,1349.323
2011-02-28,1338.056
2011-03-31,1412.65
2011-04-29,1450.152
2011-05-31,1409.048
2011-06-30,1387.791
2011-07-29,1383.299
2011-08-31,1260.237
2011-09-30,1084.17
2011-10-31,1218.653
2011-11-30,1137.103
2011-12-30,1123.884
2012-01-31,1272.062
2012-02-29,1348.692
2012-03-30,1290.423
2012-04-30,1260.68
2012-05-31,1123.168
2012-06-29,1169.019
2012-07-31,1183.567
2012-08-31,1180.594
2012-09-28,1255.679
2012-10-31,1243.235
2012-11-30,1247.188
2012-12-31,1316.222
2013-01-31,1340.738
2013-02-28,1316.15
2013-03-29,1293.777
2013-04-30,1297.944
2013-05-31,1258.324
2013-06-28,1172.259
2013-07-31,1192.927
2013-08-30,1175.532
2013-09-30,1252.719
2013-10-31,1304.053
2013-11-29,1278.715
2013-12-31,1261.496
2014-01-31,1183.64
2014-02-28,1210.357
2014-03-31,1257.493
2014-04-30,1266.345
2014-05-30,1309.525
2014-06-30,1345.622
2014-07-31,1382.078
2014-08-29,1414.599
2014-09-30,1305.129
2014-10-31,1307.38
2014-11-28,1284.899
2014-12-31,1223.736
2015-01-30,1218.325
2015-02-27,1257.092
2015-03-31,1232.008
2015-04-30,1349.033
2015-05-29,1297.252
2015-06-30,1259.926
2015-07-31,1167.439
2015-08-31,1055.54
2015-09-30,1024.889
2015-10-30,1095.574
2015-11-30,1039.427
2015-12-31,1017.246
2016-01-29,948.728
2016-02-29,954.999
2016-03-31,1090.355
2016-04-29,1106.271
2016-05-31,1045.575
2016-06-30,1090.333
2016-07-29,1149.725
2016-08-31,1172.615
2016-09-30,1182.731
2016-10-31,1197.586
2016-11-30,1157.338
2016-12-30,1166.394
2017-01-31,1221.72
2017-02-28,1269.741
2017-03-31,1292.874
2017-04-28,1303.885
2017-05-31,1330.349
2017-06-30,1334.295
2017-07-31,1404.67
2017-08-31,1435.401
2017-09-29,1412.101
2017-10-31,1458.798
