Date,EM (EMERGING MARKETS) IMI VALUE IMI (Large+Mid+Small Cap)
2003-02-28,236.653
2003-03-31,228.377
2003-04-30,248.656
2003-05-30,266.559
2003-06-30,282.022
2003-07-31,297.581
2003-08-29,317.222
2003-09-30,317.734
2003-10-31,346.998
2003-11-28,354.387
2003-12-31,382.357
2004-01-30,396.163
2004-02-27,419.037
2004-03-31,427.513
2004-04-30,395.462
2004-05-31,385.193
2004-06-30,390.827
2004-07-30,386.686
2004-08-31,401.858
2004-09-30,426.517
2004-10-29,439.246
2004-11-30,479.655
2004-12-31,504.948
2005-01-31,505.101
2005-02-28,553.126
2005-03-31,517.001
2005-04-29,505.234
2005-05-31,518.076
2005-06-30,539.459
2005-07-29,574.601
2005-08-31,577.651
2005-09-30,627.698
2005-10-31,583.483
2005-11-30,628.708
2005-12-30,666.034
2006-01-31,736.937
2006-02-28,737.764
2006-03-31,744.006
2006-04-28,801.213
2006-05-31,724.478
2006-06-30,718.905
2006-07-31,727.514
2006-08-31,737.593
2006-09-29,745.045
2006-10-31,782.885
2006-11-30,845.08
2006-12-29,880.502
2007-01-31,868.319
2007-02-28,867.527
2007-03-30,904.972
2007-04-30,942.784
2007-05-31,1000.0
2007-06-29,1050.161
2007-07-31,1110.256
2007-08-31,1088.237
2007-09-28,1202.805
2007-10-31,1333.78
2007-11-30,1246.807
2007-12-31,1256.691
2008-01-31,1122.195
2008-02-29,1191.858
2008-03-31,1133.893
2008-04-30,1229.29
2008-05-30,1245.576
2008-06-30,1126.405
2008-07-31,1088.531
2008-08-29,1010.429
2008-09-30,837.31
2008-10-31,608.436
2008-11-28,572.154
2008-12-31,621.71
2009-01-30,577.485
2009-02-27,540.496
2009-03-31,621.326
2009-04-30,732.885
2009-05-29,869.48
2009-06-30,860.563
2009-07-31,960.592
2009-08-31,960.521
2009-09-30,1047.697
2009-10-30,1051.705
2009-11-30,1092.579
2009-12-31,1137.897
2010-01-29,1081.936
2010-02-26,1084.953
2010-03-31,1169.279
2010-04-30,1186.811
2010-05-31,1080.676
2010-06-30,1078.895
2010-07-30,1164.532
2010-08-31,1141.569
2010-09-30,1265.552
2010-10-29,1304.079
2010-11-30,1267.691
2010-12-31,1364.607
2011-01-31,1332.7
2011-02-28,1321.353
2011-03-31,1394.756
2011-04-29,1431.562
2011-05-31,1390.237
2011-06-30,1368.488
2011-07-29,1363.065
2011-08-31,1241.073
2011-09-30,1067.368
2011-10-31,1199.71
2011-11-30,1119.334
2011-12-30,1106.261
2012-01-31,1251.875
2012-02-29,1326.917
2012-03-30,1269.42
2012-04-30,1239.793
2012-05-31,1103.678
2012-06-29,1148.06
