Date,SWEDEN Standard (Large+Mid Cap)
2001-01-01,8516.48
2001-01-02,8393.132
2001-01-03,7965.138
2001-01-04,8654.957
2001-01-05,8792.603
2001-01-08,8660.781
2001-01-09,8413.247
2001-01-10,8373.254
2001-01-11,8701.394
2001-01-12,8864.846
2001-01-15,8878.458
2001-01-16,8580.979
2001-01-17,8894.623
2001-01-18,9117.437
2001-01-19,9085.884
2001-01-22,8959.573
2001-01-23,8797.49
2001-01-24,8838.995
2001-01-25,9027.549
2001-01-26,8622.672
2001-01-29,8719.631
2001-01-30,8934.464
2001-01-31,9178.74
2001-02-01,9091.967
2001-02-02,8896.274
2001-02-05,8721.923
2001-02-06,8809.489
2001-02-07,8687.528
2001-02-08,8504.114
2001-02-09,8198.172
2001-02-12,8262.013
2001-02-13,8185.902
2001-02-14,7818.887
2001-02-15,8069.442
2001-02-16,7902.87
2001-02-19,7925.871
2001-02-20,7785.97
2001-02-21,7677.881
2001-02-22,7439.294
2001-02-23,7273.682
2001-02-26,7545.994
2001-02-27,7728.825
2001-02-28,7685.007
2001-03-01,7504.291
2001-03-02,7616.358
2001-03-05,7778.831
2001-03-06,8043.457
2001-03-07,8011.998
2001-03-08,7903.234
2001-03-09,7711.238
2001-03-12,7000.441
2001-03-13,6749.763
2001-03-14,6628.123
2001-03-15,6713.997
2001-03-16,6254.635
2001-03-19,6225.432
2001-03-20,6475.714
2001-03-21,6213.498
2001-03-22,5741.67
2001-03-23,6076.947
2001-03-26,6400.927
2001-03-27,6575.287
2001-03-28,6267.184
2001-03-29,5981.886
2001-03-30,5970.799
2001-04-02,5864.778
2001-04-03,5728.125
2001-04-04,5753.159
2001-04-05,6142.019
2001-04-06,6083.755
2001-04-09,6289.538
2001-04-10,6417.228
2001-04-11,6354.991
2001-04-12,6286.954
2001-04-13,6286.954
2001-04-16,6221.054
2001-04-17,6160.777
2001-04-18,6485.495
2001-04-19,6812.699
2001-04-20,6567.041
2001-04-23,6341.841
2001-04-24,6313.766
2001-04-25,6482.022
2001-04-26,6612.125
2001-04-27,6716.622
2001-04-30,6858.921
2001-05-01,6887.622
2001-05-02,6855.914
2001-05-03,6721.459
2001-05-04,6792.678
2001-05-07,6890.391
2001-05-08,6721.897
2001-05-09,6622.68
2001-05-10,6810.72
2001-05-11,6753.284
2001-05-14,6672.143
2001-05-15,6652.801
2001-05-16,6649.123
2001-05-17,6833.786
2001-05-18,7006.984
2001-05-21,7161.543
2001-05-22,7141.248
2001-05-23,6937.905
2001-05-24,6915.546
2001-05-25,6861.459
2001-05-28,6873.756
2001-05-29,6800.323
2001-05-30,6639.434
2001-05-31,6481.727
2001-06-01,6384.754
2001-06-04,6351.52
2001-06-05,6507.269
2001-06-06,6445.447
2001-06-07,6321.96
2001-06-08,6216.403
2001-06-11,6035.693
2001-06-12,5958.39
2001-06-13,6079.447
2001-06-14,5976.013
2001-06-15,6148.486
2001-06-18,6088.635
2001-06-19,6003.244
2001-06-20,5796.834
2001-06-21,5888.53
2001-06-22,5900.842
2001-06-25,5993.628
2001-06-26,5917.379
2001-06-27,5987.716
2001-06-28,6087.824
2001-06-29,6126.645
2001-07-02,6216.302
2001-07-03,6201.502
2001-07-04,6065.517
2001-07-05,5859.106
2001-07-06,5635.239
2001-07-09,5595.611
2001-07-10,5683.856
2001-07-11,5629.229
2001-07-12,5749.84
2001-07-13,5820.091
2001-07-16,5940.417
2001-07-17,5741.332
2001-07-18,5754.262
2001-07-19,5872.827
2001-07-20,5814.88
2001-07-23,5776.527
2001-07-24,5757.774
2001-07-25,5714.529
2001-07-26,5762.476
2001-07-27,5930.735
2001-07-30,6080.107
2001-07-31,6180.576
2001-08-01,6185.11
2001-08-02,6275.208
2001-08-03,6251.134
2001-08-06,6207.417
2001-08-07,6250.951
2001-08-08,6182.086
2001-08-09,6070.546
2001-08-10,6009.115
2001-08-13,6075.305
2001-08-14,6192.695
2001-08-15,6234.849
2001-08-16,6124.357
2001-08-17,6004.341
2001-08-20,5833.904
2001-08-21,5914.561
2001-08-22,6059.108
2001-08-23,6121.942
2001-08-24,6270.801
2001-08-27,6276.046
2001-08-28,6167.401
2001-08-29,6084.963
2001-08-30,5893.403
2001-08-31,5831.436
2001-09-03,5700.618
2001-09-04,5506.234
2001-09-05,5448.648
2001-09-06,5405.06
2001-09-07,5294.896
2001-09-10,5262.654
2001-09-11,4884.889
2001-09-12,5060.83
2001-09-13,5044.766
2001-09-14,5038.919
2001-09-17,5087.346
2001-09-18,4917.678
2001-09-19,4894.662
2001-09-20,4615.618
2001-09-21,4439.069
2001-09-24,4683.851
2001-09-25,4864.25
2001-09-26,4789.294
2001-09-27,4747.062
