Date,SWEDEN Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,96.232
1970-02-27,90.238
1970-03-31,92.891
1970-04-30,83.629
1970-05-29,77.98
1970-06-30,83.57
1970-07-31,91.045
1970-08-31,85.35
1970-09-30,83.328
1970-10-30,74.867
1970-11-30,81.398
1970-12-31,80.997
1971-01-29,87.038
1971-02-26,91.263
1971-03-31,94.244
1971-04-30,91.332
1971-05-31,94.607
1971-06-30,95.675
1971-07-30,96.383
1971-08-31,97.707
1971-09-30,95.569
1971-10-29,99.916
1971-11-30,106.831
1971-12-31,110.354
1972-01-31,115.011
1972-02-29,114.026
1972-03-31,122.696
1972-04-28,125.091
1972-05-31,120.475
1972-06-30,121.916
1972-07-31,124.874
1972-08-31,130.463
1972-09-29,129.636
1972-10-31,128.127
1972-11-30,132.158
1972-12-29,128.963
1973-01-31,134.752
1973-02-28,143.466
1973-03-30,139.036
1973-04-30,142.0
1973-05-31,151.015
1973-06-29,158.577
1973-07-31,161.244
1973-08-31,148.902
1973-09-28,149.063
1973-10-31,152.651
1973-11-30,133.981
1973-12-31,132.635
1974-01-31,136.059
1974-02-28,147.977
1974-03-29,160.909
1974-04-30,167.375
1974-05-31,153.328
1974-06-28,149.896
1974-07-31,155.679
1974-08-30,140.17
1974-09-30,136.975
1974-10-31,148.728
1974-11-29,143.548
1974-12-31,148.224
1975-01-31,164.568
1975-02-28,181.243
1975-03-31,177.362
1975-04-30,184.416
1975-05-30,179.825
1975-06-30,187.699
1975-07-31,178.613
1975-08-29,170.919
1975-09-30,172.994
1975-10-31,182.087
1975-11-28,176.827
1975-12-31,179.603
1976-01-30,188.434
1976-02-27,189.497
1976-03-31,191.654
1976-04-30,211.48
1976-05-31,201.303
1976-06-30,199.603
1976-07-30,200.809
1976-08-31,189.691
1976-09-30,187.817
1976-10-29,172.954
1976-11-30,179.708
1976-12-31,191.066
1977-01-31,173.117
1977-02-28,192.93
1977-03-31,195.639
1977-04-29,185.828
1977-05-31,181.111
1977-06-30,162.762
1977-07-29,160.847
1977-08-31,137.311
1977-09-30,147.71
1977-10-31,141.626
1977-11-30,133.717
1977-12-30,150.266
1978-01-31,164.25
1978-02-28,162.1
1978-03-31,173.624
1978-04-28,181.728
1978-05-31,175.859
1978-06-30,180.253
1978-07-31,196.917
1978-08-31,201.665
1978-09-29,191.774
1978-10-31,194.859
1978-11-30,181.326
1978-12-29,186.227
1979-01-31,199.742
1979-02-28,189.923
1979-03-30,190.403
1979-04-30,180.045
1979-05-31,179.524
1979-06-29,180.558
1979-07-31,188.019
1979-08-31,184.97
1979-09-28,187.553
1979-10-31,181.596
1979-11-30,184.85
1979-12-31,191.13
1980-01-31,202.47
1980-02-29,199.604
1980-03-31,187.243
1980-04-30,203.241
1980-05-30,202.831
1980-06-30,206.017
1980-07-31,207.023
1980-08-29,199.255
1980-09-30,200.186
1980-10-31,216.118
1980-11-28,230.334
1980-12-31,234.699
1981-01-30,220.912
1981-02-27,253.759
1981-03-31,275.34
1981-04-30,256.312
1981-05-29,263.994
1981-06-30,290.605
1981-07-31,299.016
1981-08-31,304.074
1981-09-30,266.203
1981-10-30,299.622
1981-11-30,335.855
1981-12-31,325.482
1982-01-29,316.668
1982-02-26,310.832
1982-03-31,295.229
1982-04-30,289.668
1982-05-31,300.13
1982-06-30,288.773
1982-07-30,309.009
1982-08-31,306.914
1982-09-30,331.796
1982-10-29,322.701
1982-11-30,379.391
1982-12-31,404.795
1983-01-31,458.192
1983-02-28,550.518
1983-03-31,551.268
1983-04-29,636.953
1983-05-31,630.175
1983-06-30,591.435
1983-07-29,636.844
1983-08-31,642.653
1983-09-30,630.204
1983-10-31,613.199
1983-11-30,638.723
1983-12-30,608.355
1984-01-31,656.599
1984-02-29,663.962
1984-03-30,692.431
1984-04-30,640.856
1984-05-31,572.889
1984-06-29,587.514
1984-07-31,584.714
1984-08-31,575.501
1984-09-28,537.658
1984-10-31,523.388
1984-11-30,489.816
1984-12-31,480.136
1985-01-31,523.688
1985-02-28,487.023
1985-03-29,504.261
1985-04-30,512.512
1985-05-31,491.943
1985-06-28,486.177
1985-07-31,538.286
1985-08-30,529.344
1985-09-30,555.817
1985-10-31,604.213
1985-11-29,702.319
1985-12-31,760.232
1986-01-31,770.978
1986-02-28,864.418
1986-03-31,964.213
1986-04-30,1076.005
1986-05-30,1092.291
1986-06-30,1152.765
1986-07-31,1202.599
1986-08-29,1232.829
1986-09-30,1213.994
1986-10-31,1270.507
1986-11-28,1256.107
1986-12-31,1267.361
1987-01-30,1153.508
1987-02-27,1339.609
1987-03-31,1413.576
1987-04-30,1526.206
1987-05-29,1441.616
