Date,SWEDEN Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,96.146
1970-02-27,90.072
1970-03-31,92.629
1970-04-30,83.302
1970-05-29,77.582
1970-06-30,83.05
1970-07-31,90.385
1970-08-31,84.639
1970-09-30,82.541
1970-10-30,74.064
1970-11-30,80.428
1970-12-31,79.737
1971-01-29,85.802
1971-02-26,89.871
1971-03-31,92.709
1971-04-30,89.749
1971-05-31,92.87
1971-06-30,93.82
1971-07-30,94.42
1971-08-31,95.619
1971-09-30,93.429
1971-10-29,97.579
1971-11-30,104.233
1971-12-31,107.568
1972-01-31,112.005
1972-02-29,110.94
1972-03-31,119.268
1972-04-28,121.487
1972-05-31,116.889
1972-06-30,118.177
1972-07-31,120.936
1972-08-31,126.238
1972-09-29,125.328
1972-10-31,123.757
1972-11-30,127.539
1972-12-29,124.344
1973-01-31,129.811
1973-02-28,138.085
1973-03-30,133.698
1973-04-30,136.426
1973-05-31,144.954
1973-06-29,152.073
1973-07-31,154.489
1973-08-31,142.529
1973-09-28,142.548
1973-10-31,145.84
1973-11-30,127.872
1973-12-31,126.461
1974-01-31,129.603
1974-02-28,140.83
1974-03-29,152.999
1974-04-30,159.002
1974-05-31,145.505
1974-06-28,142.096
1974-07-31,147.424
1974-08-30,132.582
1974-09-30,129.407
1974-10-31,140.357
1974-11-29,135.304
1974-12-31,139.537
1975-01-31,154.746
1975-02-28,170.239
1975-03-31,166.406
1975-04-30,172.84
1975-05-30,168.348
1975-06-30,175.509
1975-07-31,166.839
1975-08-29,159.477
1975-09-30,161.237
1975-10-31,169.531
1975-11-28,164.453
1975-12-31,166.852
1976-01-30,174.873
1976-02-27,175.666
1976-03-31,177.466
1976-04-30,195.623
1976-05-31,186.01
1976-06-30,184.243
1976-07-30,185.159
1976-08-31,174.708
1976-09-30,172.732
1976-10-29,158.804
1976-11-30,164.787
1976-12-31,174.979
1977-01-31,158.328
1977-02-28,176.241
1977-03-31,178.515
1977-04-29,169.363
1977-05-31,164.87
1977-06-30,147.97
1977-07-29,146.032
1977-08-31,124.484
1977-09-30,133.732
1977-10-31,128.039
1977-11-30,120.702
1977-12-30,135.447
1978-01-31,147.86
1978-02-28,145.726
1978-03-31,155.887
1978-04-28,162.968
1978-05-31,157.509
1978-06-30,161.252
1978-07-31,175.961
1978-08-31,180.0
1978-09-29,170.967
1978-10-31,173.496
1978-11-30,161.245
1978-12-29,165.392
1979-01-31,177.183
1979-02-28,168.255
1979-03-30,168.45
1979-04-30,159.057
1979-05-31,158.363
1979-06-29,159.037
1979-07-31,165.37
1979-08-31,162.449
1979-09-28,164.472
1979-10-31,159.007
1979-11-30,161.611
1979-12-31,166.852
1980-01-31,176.488
1980-02-29,173.716
1980-03-31,162.678
1980-04-30,176.279
1980-05-30,175.621
1980-06-30,178.069
1980-07-31,178.631
1980-08-29,171.612
1980-09-30,172.093
1980-10-31,185.475
1980-11-28,197.365
1980-12-31,200.795
1981-01-30,188.693
1981-02-27,216.436
1981-03-31,234.508
1981-04-30,217.98
1981-05-29,224.2
1981-06-30,246.492
1981-07-31,253.328
1981-08-31,257.31
1981-09-30,224.976
1981-10-30,252.929
1981-11-30,283.219
1981-12-31,274.185
1982-01-29,266.466
1982-02-26,261.26
1982-03-31,247.844
1982-04-30,242.868
1982-05-31,251.326
1982-06-30,241.515
1982-07-30,258.136
1982-08-31,256.087
1982-09-30,276.556
1982-10-29,268.72
1982-11-30,315.672
1982-12-31,336.548
1983-01-31,380.68
1983-02-28,457.113
1983-03-31,457.453
1983-04-29,528.266
1983-05-31,522.352
1983-06-30,489.957
1983-07-29,527.29
1983-08-31,531.839
1983-09-30,521.266
1983-10-31,506.927
1983-11-30,527.764
1983-12-30,502.406
1984-01-31,541.982
1984-02-29,547.464
1984-03-30,570.63
1984-04-30,527.822
1984-05-31,471.537
1984-06-29,483.266
1984-07-31,480.665
1984-08-31,472.786
1984-09-28,441.402
1984-10-31,429.389
1984-11-30,401.554
1984-12-31,393.328
1985-01-31,428.717
1985-02-28,398.414
1985-03-29,412.209
1985-04-30,418.647
1985-05-31,401.536
1985-06-28,396.513
1985-07-31,438.677
1985-08-30,431.054
1985-09-30,452.265
1985-10-31,491.288
1985-11-29,570.691
1985-12-31,617.38
1986-01-31,625.699
1986-02-28,701.059
1986-03-31,781.517
1986-04-30,871.622
1986-05-30,884.33
1986-06-30,932.788
1986-07-31,972.597
1986-08-29,996.523
1986-09-30,980.77
1986-10-31,1025.914
1986-11-28,1013.765
1986-12-31,1022.316
1987-01-30,929.917
1987-02-27,1079.312
1987-03-31,1138.241
1987-04-30,1228.271
1987-05-29,1159.563
1987-06-30,1177.72
1987-07-31,1255.253
1987-08-31,1305.946
