Date,SWEDEN Standard (Large+Mid Cap)
2001-11-20,7988.674
2001-11-21,7914.258
2001-11-22,8171.602
2001-11-23,8168.926
2001-11-26,8322.731
2001-11-27,8245.059
2001-11-28,8128.932
2001-11-29,8076.914
2001-11-30,8184.174
2001-12-03,8107.101
2001-12-04,8346.931
2001-12-05,8792.149
2001-12-06,8797.283
2001-12-07,8760.878
2001-12-10,8589.774
2001-12-11,8613.635
2001-12-12,8517.572
2001-12-13,8331.434
2001-12-14,8164.188
2001-12-17,8351.221
2001-12-18,8348.988
2001-12-19,8146.506
2001-12-20,7957.241
2001-12-21,8035.681
2001-12-24,7929.486
2001-12-25,7929.486
2001-12-26,7902.527
2001-12-27,8180.569
2001-12-28,8344.867
2001-12-31,8412.686
2002-01-01,8412.686
2002-01-02,8494.813
2002-01-03,8866.399
2002-01-04,8864.971
2002-01-07,8833.008
2002-01-08,8527.47
2002-01-09,8497.073
2002-01-10,8448.949
2002-01-11,8549.704
2002-01-14,8188.771
2002-01-15,8083.363
2002-01-16,7836.715
2002-01-17,7915.761
2002-01-18,7906.744
2002-01-21,7816.251
2002-01-22,7790.376
2002-01-23,7797.346
2002-01-24,7881.942
2002-01-25,7657.527
2002-01-28,7547.777
2002-01-29,7439.493
2002-01-30,7324.252
2002-01-31,7611.358
2002-02-01,7592.944
2002-02-04,7594.996
2002-02-05,7531.444
2002-02-06,7486.325
2002-02-07,7513.954
2002-02-08,7521.406
2002-02-11,7711.275
2002-02-12,7681.946
2002-02-13,7642.356
2002-02-14,7633.976
2002-02-15,7539.35
2002-02-18,7420.59
2002-02-19,7361.25
2002-02-20,7332.246
2002-02-21,7492.04
2002-02-22,7443.265
2002-02-25,7568.866
2002-02-26,7599.256
2002-02-27,7772.987
2002-02-28,7773.655
2002-03-01,7847.406
2002-03-04,8268.385
2002-03-05,8243.02
2002-03-06,8244.887
2002-03-07,8419.265
2002-03-08,8446.239
2002-03-11,8348.811
2002-03-12,8156.756
2002-03-13,8125.308
2002-03-14,8098.682
2002-03-15,8121.925
2002-03-18,8173.585
2002-03-19,8122.027
2002-03-20,8092.744
2002-03-21,8098.44
2002-03-22,8294.671
2002-03-25,8145.312
2002-03-26,8087.876
2002-03-27,8036.932
2002-03-28,8074.06
2002-03-29,8074.06
2002-04-01,8153.762
2002-04-02,8092.647
2002-04-03,7961.738
2002-04-04,7932.648
2002-04-05,7984.899
2002-04-08,7791.122
2002-04-09,7761.079
2002-04-10,7783.497
2002-04-11,7686.989
2002-04-12,7734.207
2002-04-15,7795.194
2002-04-16,7992.855
2002-04-17,8107.95
2002-04-18,7935.785
2002-04-19,7837.474
2002-04-22,7333.49
2002-04-23,7308.024
2002-04-24,7076.31
2002-04-25,7125.028
2002-04-26,7329.356
2002-04-29,7255.056
2002-04-30,7313.866
2002-05-01,7356.825
2002-05-02,7335.778
2002-05-03,7226.783
2002-05-06,7210.959
2002-05-07,7185.028
2002-05-08,7382.455
2002-05-09,7369.756
2002-05-10,7266.593
2002-05-13,7298.209
2002-05-14,7388.828
2002-05-15,7463.148
2002-05-16,7396.845
2002-05-17,7565.176
2002-05-20,7586.753
2002-05-21,7486.471
2002-05-22,7403.569
2002-05-23,7412.456
2002-05-24,7439.434
2002-05-27,7390.063
2002-05-28,7414.406
2002-05-29,7332.454
2002-05-30,7243.26
2002-05-31,7219.735
2002-06-03,7251.648
2002-06-04,7137.215
2002-06-05,7146.049
2002-06-06,7119.254
2002-06-07,6945.616
2002-06-10,6984.843
2002-06-11,6941.296
2002-06-12,6808.421
2002-06-13,6852.63
2002-06-14,6737.863
2002-06-17,6843.076
2002-06-18,6925.116
2002-06-19,6852.647
2002-06-20,6611.521
2002-06-21,6652.388
2002-06-24,6529.186
2002-06-25,6730.351
2002-06-26,6753.737
2002-06-27,6854.091
2002-06-28,7032.68
2002-07-01,7063.369
2002-07-02,6960.29
2002-07-03,6686.907
2002-07-04,6751.64
2002-07-05,6944.988
2002-07-08,7003.108
2002-07-09,6952.905
2002-07-10,6724.729
2002-07-11,6432.178
2002-07-12,6440.249
2002-07-15,6393.442
2002-07-16,6369.774
2002-07-17,6586.023
2002-07-18,6567.264
2002-07-19,6320.666
2002-07-22,5912.432
2002-07-23,5615.886
2002-07-24,5351.281
2002-07-25,5673.329
2002-07-26,5377.367
2002-07-29,5828.914
2002-07-30,5966.203
2002-07-31,6004.111
2002-08-01,5858.464
2002-08-02,5671.253
2002-08-05,5426.83
2002-08-06,5473.542
2002-08-07,5567.837
2002-08-08,5672.452
2002-08-09,5635.829
2002-08-12,5713.412
2002-08-13,5766.519
2002-08-14,5704.278
2002-08-15,5779.2
2002-08-16,5733.803
2002-08-19,5816.419
2002-08-20,5873.535
2002-08-21,6124.588
2002-08-22,6359.776
2002-08-23,6127.173
2002-08-26,6057.699
2002-08-27,6125.963
2002-08-28,6055.966
2002-08-29,6008.259
2002-08-30,5972.137
2002-09-02,5928.61
2002-09-03,5729.315
2002-09-04,5689.08
2002-09-05,5650.265
2002-09-06,5788.976
2002-09-09,5719.603
2002-09-10,5734.626
2002-09-11,5939.795
2002-09-12,5769.26
2002-09-13,5704.567
2002-09-16,5705.746
2002-09-17,5629.892
2002-09-18,5468.328
2002-09-19,5426.214
2002-09-20,5393.044
2002-09-23,5177.942
2002-09-24,5123.467
2002-09-25,5140.146
2002-09-26,5308.036
2002-09-27,5244.373
2002-09-30,4961.962
2002-10-01,5023.327
2002-10-02,5123.777
2002-10-03,5015.124
2002-10-04,4925.615
2002-10-07,4684.729
2002-10-08,4578.643
2002-10-09,4569.894
2002-10-10,4736.872
2002-10-11,5085.201
2002-10-14,5004.647
2002-10-15,5401.815
2002-10-16,5275.887
2002-10-17,5296.522
2002-10-18,5403.372
2002-10-21,5507.962
2002-10-22,5413.797
2002-10-23,5252.0
2002-10-24,5431.358
2002-10-25,5428.818
2002-10-28,5619.498
2002-10-29,5408.739
2002-10-30,5613.855
2002-10-31,5761.617
2002-11-01,5706.699
2002-11-04,5944.794
2002-11-05,6115.053
2002-11-06,5980.942
2002-11-07,5873.396
2002-11-08,5893.303
2002-11-11,5867.809
2002-11-12,6077.695
2002-11-13,6122.079
2002-11-14,6257.871
2002-11-15,6197.268
2002-11-18,6350.817
2002-11-19,6224.126
2002-11-20,6231.793
2002-11-21,6518.422
2002-11-22,6593.168
2002-11-25,6468.066
2002-11-26,6319.627
2002-11-27,6554.892
2002-11-28,6655.121
2002-11-29,6591.881
2002-12-02,6530.179
2002-12-03,6373.705
2002-12-04,6365.808
2002-12-05,6334.626
2002-12-06,6369.224
2002-12-09,6276.731
2002-12-10,6275.05
2002-12-11,6282.888
2002-12-12,6177.308
2002-12-13,6210.688
2002-12-16,6216.74
2002-12-17,6096.189
2002-12-18,5930.767
2002-12-19,5949.08
2002-12-20,5979.688
2002-12-23,5918.563
2002-12-24,5948.451
2002-12-25,5948.451
2002-12-26,5960.032
2002-12-27,5816.89
2002-12-30,5851.763
2002-12-31,5883.395
2003-01-01,5883.395
2003-01-02,6129.36
2003-01-03,6227.486
2003-01-06,6262.3
2003-01-07,6300.673
2003-01-08,6081.915
2003-01-09,6148.575
2003-01-10,6232.46
2003-01-13,6285.211
2003-01-14,6408.032
2003-01-15,6353.591
2003-01-16,6336.216
2003-01-17,6207.662
2003-01-20,6311.368
2003-01-21,6204.292
2003-01-22,6097.038
2003-01-23,6107.664
2003-01-24,6121.589
2003-01-27,5898.698
2003-01-28,5797.775
2003-01-29,5776.464
2003-01-30,5876.23
2003-01-31,5802.459
2003-02-03,5847.701
2003-02-04,5669.236
2003-02-05,5797.788
2003-02-06,5810.401
2003-02-07,5740.943
2003-02-10,5566.618
2003-02-11,5695.314
2003-02-12,5763.729
2003-02-13,5838.693
2003-02-14,5891.738
2003-02-17,6034.071
2003-02-18,6049.255
2003-02-19,6035.885
2003-02-20,5947.823
2003-02-21,5901.289
2003-02-24,5833.924
2003-02-25,5684.846
2003-02-26,5687.202
2003-02-27,5712.681
2003-02-28,5766.696
2003-03-03,5800.887
2003-03-04,5735.327
2003-03-05,5721.318
2003-03-06,5676.751
2003-03-07,5635.007
2003-03-10,5556.92
2003-03-11,5457.108
2003-03-12,5361.671
2003-03-13,5513.683
2003-03-14,5683.954
2003-03-17,5871.213
2003-03-18,5834.453
2003-03-19,5888.768
2003-03-20,5945.843
2003-03-21,6023.68
2003-03-24,5882.89
2003-03-25,5884.625
2003-03-26,5855.213
2003-03-27,5781.34
2003-03-28,5784.404
2003-03-31,5629.963
2003-04-01,5654.628
2003-04-02,5822.237
2003-04-03,5840.974
2003-04-04,5851.664
2003-04-07,6063.452
2003-04-08,6010.742
2003-04-09,6007.148
2003-04-10,5987.4
2003-04-11,5987.845
2003-04-14,6004.795
2003-04-15,6122.951
2003-04-16,6160.907
2003-04-17,6208.123
2003-04-18,6208.123
2003-04-21,6189.142
2003-04-22,6279.277
2003-04-23,6367.222
2003-04-24,6417.106
2003-04-25,6366.842
2003-04-28,6537.338
2003-04-29,6756.789
2003-04-30,6838.283
2003-05-01,6905.867
2003-05-02,6871.147
2003-05-05,6966.836
2003-05-06,7044.048
2003-05-07,6900.499
2003-05-08,6768.319
2003-05-09,6876.981
2003-05-12,6934.615
2003-05-13,7030.362
2003-05-14,6945.493
2003-05-15,6929.474
2003-05-16,6953.399
2003-05-19,6852.437
2003-05-20,6774.283
2003-05-21,6741.767
