Date,JAPAN MID GROWTH Mid Cap
1994-05-31,1313.906
1994-06-30,1401.391
1994-07-29,1355.981
1994-08-31,1360.327
1994-09-30,1321.302
1994-10-31,1340.763
1994-11-30,1247.377
1994-12-30,1273.027
1995-01-31,1186.729
1995-02-28,1100.749
1995-03-31,1183.535
1995-04-28,1229.53
1995-05-31,1100.722
1995-06-30,1037.788
1995-07-31,1117.843
1995-08-31,1113.789
1995-09-29,1110.729
1995-10-31,1054.354
1995-11-30,1093.796
1995-12-29,1139.723
1996-01-31,1132.605
1996-02-29,1120.518
1996-03-29,1152.611
1996-04-30,1238.941
1996-05-31,1180.341
1996-06-28,1186.394
1996-07-31,1123.59
1996-08-30,1078.403
1996-09-30,1093.701
1996-10-31,1019.684
1996-11-29,1000.076
1996-12-31,905.082
1997-01-31,821.527
1997-02-28,823.618
1997-03-31,772.519
1997-04-30,793.771
1997-05-30,923.042
1997-06-30,957.941
1997-07-31,912.767
1997-08-29,803.815
1997-09-30,737.985
1997-10-31,725.01
1997-11-28,638.159
1997-12-31,569.729
1998-01-30,640.904
1998-02-27,647.013
1998-03-31,608.938
1998-04-30,607.123
1998-05-29,596.925
1998-06-30,594.332
1998-07-31,595.775
1998-08-31,551.824
1998-09-30,533.378
1998-10-30,596.615
1998-11-30,625.27
1998-12-31,665.995
1999-01-29,669.437
1999-02-26,649.339
1999-03-31,750.178
1999-04-30,789.187
1999-05-31,748.739
1999-06-30,890.362
1999-07-30,988.652
1999-08-31,1101.648
1999-09-30,1176.627
1999-10-29,1251.01
1999-11-30,1410.646
1999-12-31,1452.664
2000-01-31,1383.785
2000-02-29,1396.756
2000-03-31,1382.113
2000-04-28,1232.949
2000-05-31,1115.388
2000-06-30,1187.963
2000-07-31,1004.882
2000-08-31,1128.867
2000-09-29,1068.937
2000-10-31,917.07
2000-11-30,873.739
2000-12-29,790.165
2001-01-31,789.418
2001-02-28,719.854
2001-03-30,705.87
2001-04-30,756.771
2001-05-31,767.834
2001-06-29,721.395
2001-07-31,653.638
2001-08-31,625.448
2001-09-28,580.557
2001-10-31,611.53
2001-11-30,601.278
2001-12-31,552.593
2002-01-31,505.388
2002-02-28,521.982
2002-03-29,555.211
2002-04-30,589.989
2002-05-31,630.248
2002-06-28,600.826
2002-07-31,555.357
2002-08-30,549.649
2002-09-30,514.131
2002-10-31,476.163
2002-11-29,502.341
2002-12-31,486.288
2003-01-31,463.171
2003-02-28,474.527
2003-03-31,452.045
2003-04-30,464.373
2003-05-30,487.538
2003-06-30,520.87
2003-07-31,539.231
2003-08-29,603.937
2003-09-30,643.256
2003-10-31,693.18
2003-11-28,652.422
2003-12-31,697.793
2004-01-30,706.735
2004-02-27,696.586
2004-03-31,805.105
2004-04-30,765.438
2004-05-31,734.658
2004-06-30,793.164
2004-07-30,718.64
2004-08-31,724.329
2004-09-30,701.448
2004-10-29,717.685
2004-11-30,767.504
2004-12-31,800.635
2005-01-31,798.435
2005-02-28,807.349
2005-03-31,793.512
