Date,JAPAN MID GROWTH Mid Cap
2001-01-01,794.881
2001-01-02,792.833
2001-01-03,793.595
2001-01-04,775.27
2001-01-05,773.081
2001-01-08,772.914
2001-01-09,749.694
2001-01-10,733.521
2001-01-11,697.862
2001-01-12,706.219
2001-01-15,724.378
2001-01-16,747.458
2001-01-17,752.71
2001-01-18,769.258
2001-01-19,783.48
2001-01-22,780.514
2001-01-23,776.436
2001-01-24,774.511
2001-01-25,789.528
2001-01-26,781.409
2001-01-29,777.356
2001-01-30,782.024
2001-01-31,793.994
2001-02-01,802.817
2001-02-02,799.501
2001-02-05,783.719
2001-02-06,783.443
2001-02-07,777.34
2001-02-08,767.64
2001-02-09,768.741
2001-02-12,768.65
2001-02-13,763.919
2001-02-14,766.236
2001-02-15,775.131
2001-02-16,774.121
2001-02-19,757.847
2001-02-20,772.356
2001-02-21,757.4
2001-02-22,749.083
2001-02-23,759.521
2001-02-26,749.637
2001-02-27,748.075
2001-02-28,723.987
2001-03-01,709.725
2001-03-02,679.562
2001-03-05,675.546
2001-03-06,702.769
2001-03-07,710.55
2001-03-08,709.744
2001-03-09,706.52
2001-03-12,679.468
2001-03-13,659.647
2001-03-14,653.514
2001-03-15,662.913
2001-03-16,661.826
2001-03-19,669.46
2001-03-20,667.167
2001-03-21,693.339
2001-03-22,681.773
2001-03-23,707.53
2001-03-26,743.507
2001-03-27,738.673
2001-03-28,762.282
2001-03-29,730.8
2001-03-30,709.639
2001-04-02,701.437
2001-04-03,709.503
2001-04-04,707.994
2001-04-05,721.308
2001-04-06,728.431
2001-04-09,706.67
2001-04-10,698.784
2001-04-11,708.58
2001-04-12,720.279
2001-04-13,721.995
2001-04-16,714.574
2001-04-17,714.504
2001-04-18,738.365
2001-04-19,756.997
2001-04-20,751.502
2001-04-23,758.338
2001-04-24,756.132
2001-04-25,762.32
2001-04-26,768.058
2001-04-27,759.27
2001-04-30,760.806
2001-05-01,795.634
2001-05-02,800.605
2001-05-03,806.889
2001-05-04,807.022
2001-05-07,817.368
2001-05-08,807.411
2001-05-09,795.807
2001-05-10,785.602
2001-05-11,788.064
2001-05-14,774.502
2001-05-15,784.534
2001-05-16,768.063
2001-05-17,781.36
2001-05-18,777.661
2001-05-21,794.819
2001-05-22,794.878
2001-05-23,805.633
2001-05-24,805.674
2001-05-25,794.549
2001-05-28,785.56
2001-05-29,795.336
2001-05-30,775.271
2001-05-31,771.918
2001-06-01,771.706
2001-06-04,769.608
2001-06-05,760.528
2001-06-06,758.327
2001-06-07,767.506
2001-06-08,771.317
2001-06-11,763.628
2001-06-12,741.078
2001-06-13,747.056
2001-06-14,746.055
2001-06-15,733.661
2001-06-18,721.539
2001-06-19,717.467
2001-06-20,716.653
2001-06-21,721.498
2001-06-22,731.506
2001-06-25,728.637
2001-06-26,728.183
2001-06-27,720.527
2001-06-28,713.932
2001-06-29,725.222
2001-07-02,719.624
2001-07-03,721.431
2001-07-04,712.533
2001-07-05,701.359
2001-07-06,688.038
2001-07-09,675.393
2001-07-10,680.141
2001-07-11,673.622
2001-07-12,687.748
2001-07-13,684.349
2001-07-16,679.11
2001-07-17,670.04
2001-07-18,662.285
2001-07-19,665.799
2001-07-20,667.935
2001-07-23,648.483
2001-07-24,656.856
2001-07-25,662.94
2001-07-26,665.152
2001-07-27,663.836
2001-07-30,643.449
2001-07-31,657.095
2001-08-01,665.202
2001-08-02,689.179
2001-08-03,686.792
2001-08-06,684.185
2001-08-07,686.669
2001-08-08,685.121
2001-08-09,667.479
2001-08-10,671.987
2001-08-13,659.661
2001-08-14,671.954
2001-08-15,684.123
2001-08-16,669.731
2001-08-17,668.098
2001-08-20,653.114
2001-08-21,656.916
