Date,ITALY LARGE GROWTH Large Cap
2001-01-01,702.197
2001-01-02,698.492
2001-01-03,672.192
2001-01-04,687.289
2001-01-05,695.788
2001-01-08,690.46
2001-01-09,686.056
2001-01-10,690.521
2001-01-11,712.322
2001-01-12,725.665
2001-01-15,717.297
2001-01-16,706.725
2001-01-17,716.201
2001-01-18,725.901
2001-01-19,719.562
2001-01-22,720.273
2001-01-23,713.839
2001-01-24,710.428
2001-01-25,707.649
2001-01-26,706.696
2001-01-29,697.441
2001-01-30,706.971
2001-01-31,716.027
2001-02-01,714.286
2001-02-02,699.986
2001-02-05,696.16
2001-02-06,692.241
2001-02-07,682.259
2001-02-08,673.971
2001-02-09,668.928
2001-02-12,684.192
2001-02-13,672.542
2001-02-14,654.847
2001-02-15,653.088
2001-02-16,644.626
2001-02-19,647.893
2001-02-20,627.529
2001-02-21,625.769
2001-02-22,618.327
2001-02-23,610.02
2001-02-26,621.093
2001-02-27,621.133
2001-02-28,622.135
2001-03-01,613.725
2001-03-02,607.92
2001-03-05,603.175
2001-03-06,622.462
2001-03-07,621.368
2001-03-08,624.369
2001-03-09,611.963
2001-03-12,591.078
2001-03-13,587.994
2001-03-14,577.779
2001-03-15,579.215
2001-03-16,564.959
2001-03-19,565.101
2001-03-20,575.049
2001-03-21,564.487
2001-03-22,530.221
2001-03-23,553.809
2001-03-26,569.283
2001-03-27,584.594
2001-03-28,571.946
2001-03-29,572.522
2001-03-30,576.239
2001-04-02,575.707
2001-04-03,562.138
2001-04-04,578.421
2001-04-05,587.27
2001-04-06,588.937
2001-04-09,596.868
2001-04-10,596.287
2001-04-11,588.04
2001-04-12,595.418
2001-04-13,595.418
2001-04-16,589.324
2001-04-17,588.559
2001-04-18,599.621
2001-04-19,608.661
2001-04-20,608.363
2001-04-23,595.061
2001-04-24,599.368
2001-04-25,602.074
2001-04-26,604.051
2001-04-27,606.678
2001-04-30,615.252
2001-05-01,618.642
2001-05-02,617.984
2001-05-03,603.528
2001-05-04,605.947
2001-05-07,603.798
2001-05-08,596.414
2001-05-09,588.114
2001-05-10,594.779
2001-05-11,589.381
2001-05-14,591.455
2001-05-15,591.502
2001-05-16,590.318
2001-05-17,590.254
2001-05-18,585.31
2001-05-21,582.238
2001-05-22,586.312
2001-05-23,582.015
2001-05-24,581.73
