Date,ITALY LARGE GROWTH Large Cap
1994-05-31,337.831
1994-06-30,310.26
1994-07-29,331.211
1994-08-31,326.301
1994-09-30,325.98
1994-10-31,310.344
1994-11-30,290.779
1994-12-30,294.009
1995-01-31,309.109
1995-02-28,279.666
1995-03-31,264.51
1995-04-28,292.861
1995-05-31,294.882
1995-06-30,289.389
1995-07-31,319.203
1995-08-31,312.928
1995-09-29,310.647
1995-10-31,297.534
1995-11-30,284.761
1995-12-29,305.607
1996-01-31,320.669
1996-02-29,318.196
1996-03-29,301.326
1996-04-30,349.969
1996-05-31,361.563
1996-06-28,369.816
1996-07-31,342.391
1996-08-30,336.951
1996-09-30,375.954
1996-10-31,354.711
1996-11-29,393.35
1996-12-31,391.293
1997-01-31,435.829
1997-02-28,381.647
1997-03-31,391.182
1997-04-30,402.683
1997-05-30,399.663
1997-06-30,451.917
1997-07-31,481.933
1997-08-29,465.082
1997-09-30,527.848
1997-10-31,490.251
1997-11-28,504.5
1997-12-31,531.176
1998-01-30,568.977
1998-02-27,578.686
1998-03-31,676.274
1998-04-30,656.045
1998-05-29,687.714
1998-06-30,660.965
1998-07-31,729.024
1998-08-31,638.018
1998-09-30,607.857
1998-10-30,644.383
1998-11-30,709.203
1998-12-31,767.004
1999-01-29,741.887
1999-02-26,742.311
1999-03-31,751.077
1999-04-30,723.328
1999-05-31,687.115
1999-06-30,673.494
1999-07-30,640.77
1999-08-31,661.402
1999-09-30,645.603
1999-10-29,630.132
1999-11-30,667.117
1999-12-31,814.776
2000-01-31,805.994
2000-02-29,906.16
2000-03-31,819.3
2000-04-28,752.211
2000-05-31,769.093
2000-06-30,790.562
2000-07-31,765.596
2000-08-31,738.285
2000-09-29,705.755
2000-10-31,706.356
2000-11-30,698.165
2000-12-29,702.197
2001-01-31,716.027
2001-02-28,622.135
2001-03-30,576.239
2001-04-30,615.252
2001-05-31,545.443
2001-06-29,526.538
2001-07-31,538.704
2001-08-31,523.786
2001-09-28,431.941
2001-10-31,454.784
2001-11-30,476.759
2001-12-31,484.583
2002-01-31,456.593
2002-02-28,450.588
2002-03-29,473.785
2002-04-30,468.094
2002-05-31,457.19
2002-06-28,473.824
2002-07-31,408.331
2002-08-30,407.899
2002-09-30,352.38
2002-10-31,378.641
2002-11-29,410.491
2002-12-31,410.617
2003-01-31,403.368
2003-02-28,455.81
2003-03-31,410.191
2003-04-30,467.441
2003-05-30,509.517
2003-06-30,498.895
2003-07-31,499.406
2003-08-29,470.859
2003-09-30,485.173
2003-10-31,505.983
2003-11-28,553.334
2003-12-31,580.991
2004-01-30,589.809
2004-02-27,580.016
2004-03-31,543.006
2004-04-30,552.708
2004-05-31,565.832
2004-06-30,591.426
2004-07-30,568.309
2004-08-31,561.66
2004-09-30,587.439
2004-10-29,632.235
2004-11-30,682.384
2004-12-31,746.605
2005-01-31,732.163
2005-02-28,747.786
2005-03-31,746.247
2005-04-29,704.233
2005-05-31,691.277
2005-06-30,698.41
2005-07-29,727.942
2005-08-31,709.928
2005-09-30,719.491
2005-10-31,664.593
2005-11-30,672.198
2005-12-30,731.645
2006-01-31,747.053
2006-02-28,771.08
2006-03-31,792.318
2006-04-28,825.089
2006-05-31,803.064
2006-06-30,799.735
2006-07-31,792.803
2006-08-31,824.662
2006-09-29,811.161
2006-10-31,851.933
2006-11-30,913.108
2006-12-29,917.434
2007-01-31,907.99
2007-02-28,899.825
2007-03-30,917.208
2007-04-30,1011.201
2007-05-31,1000.0
2007-06-29,996.264
2007-07-31,995.527
2007-08-31,981.302
2007-09-28,1040.468
2007-10-31,1107.921
2007-11-30,1058.312
2007-12-31,1041.621
2008-01-31,939.145
2008-02-29,944.492
2008-03-31,979.208
2008-04-30,1001.073
2008-05-30,969.411
2008-06-30,858.405
2008-07-31,818.818
2008-08-29,785.117
2008-09-30,717.715
2008-10-31,506.542
2008-11-28,467.664
