Date,ITALY LARGE GROWTH Large Cap
2006-08-31,815.873
2006-09-29,802.516
2006-10-31,842.854
2006-11-30,904.028
2006-12-29,908.311
2007-01-31,898.962
2007-02-28,890.878
2007-03-30,908.088
2007-04-30,1002.005
2007-05-31,1000.0
2007-06-29,996.559
2007-07-31,995.822
2007-08-31,981.593
2007-09-28,1040.777
2007-10-31,1108.25
2007-11-30,1058.898
2007-12-31,1042.198
2008-01-31,939.665
2008-02-29,945.014
2008-03-31,979.749
2008-04-30,1002.538
2008-05-30,979.72
2008-06-30,867.92
2008-07-31,827.894
2008-08-29,793.819
2008-09-30,725.671
2008-10-31,512.157
2008-11-28,473.084
2008-12-31,517.318
2009-01-30,417.625
2009-02-27,335.623
2009-03-31,381.497
2009-04-30,453.239
2009-05-29,522.611
2009-06-30,501.71
2009-07-31,549.403
2009-08-31,563.362
2009-09-30,614.065
2009-10-30,615.084
2009-11-30,639.415
2009-12-31,666.249
2010-01-29,619.073
2010-02-26,582.136
2010-03-31,627.537
2010-04-30,581.868
2010-05-31,510.437
2010-06-30,494.072
2010-07-30,566.629
2010-08-31,515.38
2010-09-30,591.53
2010-10-29,644.53
2010-11-30,578.479
2010-12-31,651.146
2011-01-31,714.658
2011-02-28,730.55
2011-03-31,729.831
2011-04-29,778.914
2011-05-31,729.488
2011-06-30,692.201
2011-07-29,660.488
2011-08-31,543.028
2011-09-30,441.425
2011-10-31,509.13
2011-11-30,502.658
2011-12-30,474.13
2012-01-31,507.134
2012-02-29,536.087
2012-03-30,524.615
2012-04-30,492.177
2012-05-31,401.136
2012-06-29,431.211
2012-07-31,443.907
2012-08-31,462.014
2012-09-28,464.035
2012-10-31,469.402
2012-11-30,478.915
2012-12-31,483.042
2013-01-31,493.415
2013-02-28,455.283
2013-03-29,455.472
2013-04-30,489.865
2013-05-31,494.153
2013-06-28,439.151
2013-07-31,497.232
2013-08-30,495.395
2013-09-30,530.869
2013-10-31,583.405
2013-11-29,567.426
2013-12-31,571.883
2014-01-31,578.031
2014-02-28,607.011
2014-03-31,667.493
2014-04-30,664.45
2014-05-30,660.357
2014-06-30,634.536
2014-07-31,599.647
2014-08-29,594.969
2014-09-30,601.907
2014-10-31,563.232
2014-11-28,573.618
2014-12-31,538.905
2015-01-30,530.529
2015-02-27,589.088
2015-03-31,597.179
2015-04-30,612.556
2015-05-29,641.039
2015-06-30,634.183
2015-07-31,670.626
2015-08-31,629.65
2015-09-30,612.669
2015-10-30,637.455
2015-11-30,611.007
2015-12-31,597.411
2016-01-29,505.854
2016-02-29,463.578
2016-03-31,489.871
2016-04-29,492.607
2016-05-31,476.146
2016-06-30,372.276
2016-07-29,409.388
2016-08-31,430.614
2016-09-30,405.133
2016-10-31,423.272
2016-11-30,404.551
2016-12-30,434.46
2017-01-31,428.682
2017-02-28,413.877
2017-03-31,432.232
2017-04-28,425.211
2017-05-31,437.86
2017-06-30,433.264
2017-07-31,450.086
2017-08-31,453.804
2017-09-29,448.715
2017-10-31,458.666
2017-11-30,475.212
2017-12-29,487.404
2018-01-31,562.288
2018-02-28,516.702
2018-03-30,511.469
2018-04-30,547.776
2018-05-31,533.743
2018-06-29,506.807
2018-07-31,500.575
2018-08-31,449.338
2018-09-28,460.035
2018-10-31,409.67
2018-11-30,409.044
2018-12-31,360.445
2019-01-31,424.846
2019-02-28,378.489
2019-03-29,384.291
