Date,ITALY LARGE GROWTH Large Cap
2001-01-01,663.927
2001-01-02,660.424
2001-01-03,635.557
2001-01-04,649.832
2001-01-05,657.867
2001-01-08,652.829
2001-01-09,648.665
2001-01-10,652.887
2001-01-11,673.5
2001-01-12,686.115
2001-01-15,678.204
2001-01-16,668.208
2001-01-17,677.168
2001-01-18,686.339
2001-01-19,680.346
2001-01-22,681.018
2001-01-23,674.935
2001-01-24,671.709
2001-01-25,669.081
2001-01-26,668.181
2001-01-29,659.43
2001-01-30,668.441
2001-01-31,677.003
2001-02-01,675.357
2001-02-02,661.836
2001-02-05,658.219
2001-02-06,654.513
2001-02-07,645.075
2001-02-08,637.239
2001-02-09,632.471
2001-02-12,646.903
2001-02-13,635.888
2001-02-14,619.157
2001-02-15,617.494
2001-02-16,609.493
2001-02-19,612.582
2001-02-20,593.328
2001-02-21,591.665
2001-02-22,584.628
2001-02-23,576.774
2001-02-26,587.243
2001-02-27,587.281
2001-02-28,588.228
2001-03-01,580.277
2001-03-02,574.788
2001-03-05,570.302
2001-03-06,588.537
2001-03-07,587.503
2001-03-08,590.341
2001-03-09,578.61
2001-03-12,558.864
2001-03-13,555.948
2001-03-14,546.289
2001-03-15,547.647
2001-03-16,534.168
2001-03-19,534.303
2001-03-20,543.708
2001-03-21,533.722
2001-03-22,501.324
2001-03-23,523.626
2001-03-26,538.257
2001-03-27,552.733
2001-03-28,540.774
2001-03-29,541.319
2001-03-30,544.833
2001-04-02,544.331
2001-04-03,531.501
2001-04-04,546.897
2001-04-05,555.264
2001-04-06,556.839
2001-04-09,564.338
2001-04-10,563.789
2001-04-11,555.992
2001-04-12,562.967
2001-04-13,562.967
2001-04-16,557.205
2001-04-17,556.482
2001-04-18,566.941
2001-04-19,575.488
2001-04-20,575.206
2001-04-23,563.794
2001-04-24,567.874
2001-04-25,570.438
2001-04-26,572.31
2001-04-27,574.8
2001-04-30,582.923
2001-05-01,586.135
2001-05-02,585.512
2001-05-03,571.815
2001-05-04,574.107
2001-05-07,572.071
2001-05-08,565.075
2001-05-09,557.211
2001-05-10,563.526
2001-05-11,558.412
2001-05-14,560.377
2001-05-15,560.422
2001-05-16,559.3
2001-05-17,559.239
2001-05-18,554.555
2001-05-21,552.719
2001-05-22,556.587
2001-05-23,552.507
2001-05-24,552.237
2001-05-25,544.571
2001-05-28,549.362
2001-05-29,538.23
2001-05-30,527.697
2001-05-31,517.789
2001-06-01,513.79
2001-06-04,509.741
2001-06-05,516.461
2001-06-06,512.656
2001-06-07,518.208
2001-06-08,520.156
2001-06-11,514.187
2001-06-12,509.484
2001-06-13,510.193
2001-06-14,502.2
2001-06-15,498.225
2001-06-18,495.97
2001-06-19,495.009
2001-06-20,490.088
2001-06-21,488.026
2001-06-22,490.482
2001-06-25,498.664
2001-06-26,492.453
2001-06-27,496.586
2001-06-28,496.367
2001-06-29,499.985
2001-07-02,511.735
2001-07-03,512.023
2001-07-04,506.158
2001-07-05,500.517
2001-07-06,494.89
2001-07-09,500.148
2001-07-10,500.873
2001-07-11,499.227
2001-07-12,495.707
2001-07-13,497.385
2001-07-16,497.036
2001-07-17,487.946
2001-07-18,492.488
2001-07-19,496.329
2001-07-20,495.997
2001-07-23,496.182
2001-07-24,498.151
2001-07-25,496.255
2001-07-26,498.344
2001-07-27,504.263
2001-07-30,509.53
2001-07-31,511.572
2001-08-01,515.75
2001-08-02,517.981
2001-08-03,518.815
2001-08-06,519.41
2001-08-07,517.296
2001-08-08,511.722
2001-08-09,512.298
2001-08-10,508.472
2001-08-13,511.392
2001-08-14,516.578
2001-08-15,524.464
2001-08-16,518.107
2001-08-17,510.111
2001-08-20,506.786
2001-08-21,509.138
2001-08-22,513.662
2001-08-23,510.997
2001-08-24,520.172
2001-08-27,517.926
2001-08-28,510.406
2001-08-29,513.681
2001-08-30,503.387
2001-08-31,497.406
2001-09-03,488.537
2001-09-04,479.225
2001-09-05,461.262
2001-09-06,440.787
2001-09-07,444.05
2001-09-10,439.762
2001-09-11,409.236
2001-09-12,408.895
2001-09-13,415.306
2001-09-14,393.305
2001-09-17,392.616
2001-09-18,383.277
2001-09-19,378.701
2001-09-20,359.32
2001-09-21,340.729
2001-09-24,370.295
2001-09-25,388.587
2001-09-26,392.291
2001-09-27,395.209
2001-09-28,410.187
2001-10-01,401.9
2001-10-02,404.424
2001-10-03,411.27
2001-10-04,422.026
2001-10-05,416.605
2001-10-08,421.162
2001-10-09,419.284
2001-10-10,427.491
2001-10-11,430.322
2001-10-12,422.12
2001-10-15,412.515
2001-10-16,424.315
