Date,HONG KONG IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,464.776
2001-01-02,459.672
2001-01-03,451.915
2001-01-04,468.309
2001-01-05,479.101
2001-01-08,479.607
2001-01-09,477.491
2001-01-10,474.275
2001-01-11,463.132
2001-01-12,468.021
2001-01-15,464.006
2001-01-16,463.146
2001-01-17,462.694
2001-01-18,466.175
2001-01-19,477.241
2001-01-22,481.855
2001-01-23,476.382
2001-01-24,476.375
2001-01-25,476.378
2001-01-26,476.372
2001-01-29,472.569
2001-01-30,469.226
2001-01-31,473.478
2001-02-01,477.449
2001-02-02,473.296
2001-02-05,468.052
2001-02-06,471.988
2001-02-07,475.796
2001-02-08,472.638
2001-02-09,473.479
2001-02-12,472.102
2001-02-13,479.521
2001-02-14,481.327
2001-02-15,478.852
2001-02-16,474.511
2001-02-19,477.984
2001-02-20,480.814
2001-02-21,480.928
2001-02-22,481.284
2001-02-23,486.76
2001-02-26,493.579
2001-02-27,488.514
2001-02-28,483.892
2001-03-01,471.303
2001-03-02,472.553
2001-03-05,478.766
2001-03-06,485.702
2001-03-07,481.543
2001-03-08,480.855
2001-03-09,476.306
2001-03-12,458.839
2001-03-13,448.768
2001-03-14,447.828
2001-03-15,454.1
2001-03-16,452.333
2001-03-19,459.271
2001-03-20,451.669
2001-03-21,444.305
2001-03-22,431.244
2001-03-23,436.715
2001-03-26,446.283
2001-03-27,442.42
2001-03-28,441.94
2001-03-29,437.786
2001-03-30,441.172
2001-04-02,437.549
2001-04-03,438.869
2001-04-04,428.903
2001-04-05,428.895
2001-04-06,430.087
2001-04-09,422.641
2001-04-10,420.341
2001-04-11,424.813
2001-04-12,431.956
2001-04-13,431.956
2001-04-16,431.942
2001-04-17,425.128
2001-04-18,429.087
2001-04-19,439.674
2001-04-20,440.773
2001-04-23,439.045
2001-04-24,436.724
2001-04-25,434.878
2001-04-26,436.227
2001-04-27,436.367
2001-04-30,436.379
2001-05-01,436.384
2001-05-02,440.695
2001-05-03,439.426
2001-05-04,433.689
2001-05-07,438.765
2001-05-08,439.024
2001-05-09,440.035
2001-05-10,442.4
2001-05-11,447.3
2001-05-14,436.75
2001-05-15,437.601
2001-05-16,441.258
2001-05-17,446.956
2001-05-18,443.775
2001-05-21,449.889
2001-05-22,453.93
2001-05-23,454.613
2001-05-24,452.368
2001-05-25,450.762
2001-05-28,451.683
2001-05-29,448.717
2001-05-30,444.2
2001-05-31,437.109
2001-06-01,437.435
2001-06-04,439.998
2001-06-05,446.623
2001-06-06,446.853
2001-06-07,450.291
2001-06-08,452.619
2001-06-11,449.43
2001-06-12,445.707
2001-06-13,443.141
2001-06-14,433.003
2001-06-15,427.593
2001-06-18,427.175
2001-06-19,431.494
2001-06-20,426.74
2001-06-21,431.225
2001-06-22,429.502
2001-06-25,429.507
2001-06-26,426.888
2001-06-27,428.824
2001-06-28,424.315
2001-06-29,429.671
2001-07-02,429.69
2001-07-03,431.862
2001-07-04,435.489
2001-07-05,433.213
2001-07-06,433.207
2001-07-09,425.972
2001-07-10,429.974
2001-07-11,429.022
2001-07-12,434.105
2001-07-13,433.51
2001-07-16,432.937
2001-07-17,428.985
2001-07-18,429.227
2001-07-19,428.225
2001-07-20,430.147
2001-07-23,428.888
2001-07-24,425.408
2001-07-25,425.4
2001-07-26,422.132
2001-07-27,424.023
2001-07-30,421.957
2001-07-31,429.996
2001-08-01,434.179
2001-08-02,430.923
2001-08-03,427.286
2001-08-06,424.388
2001-08-07,421.319
2001-08-08,415.033
2001-08-09,411.215
2001-08-10,416.967
2001-08-13,416.67
2001-08-14,421.941
2001-08-15,423.256
2001-08-16,419.485
2001-08-17,424.777
2001-08-20,424.971
2001-08-21,427.927
2001-08-22,427.26
2001-08-23,427.36
2001-08-24,425.033
2001-08-27,427.589
2001-08-28,423.688
2001-08-29,422.372
2001-08-30,422.893
2001-08-31,419.599
2001-09-03,419.899
2001-09-04,421.291
2001-09-05,416.259
2001-09-06,406.879
2001-09-07,399.228
2001-09-10,399.282
2001-09-11,399.98
2001-09-12,372.589
2001-09-13,375.649
2001-09-14,375.046
2001-09-17,358.481
2001-09-18,352.241
2001-09-19,355.218
2001-09-20,349.36
2001-09-21,338.337
2001-09-24,343.497
2001-09-25,344.967
2001-09-26,344.953
2001-09-27,353.047
2001-09-28,359.82
2001-10-01,359.837
2001-10-02,359.826
2001-10-03,363.98
2001-10-04,373.245
2001-10-05,372.092
2001-10-08,364.467
2001-10-09,374.096
2001-10-10,373.408
2001-10-11,376.016
2001-10-12,368.707
2001-10-15,368.613
2001-10-16,371.045
2001-10-17,376.399
2001-10-18,365.54
2001-10-19,365.51
2001-10-22,365.341
2001-10-23,371.354
2001-10-24,371.467
2001-10-25,371.471
2001-10-26,376.246
2001-10-29,366.806
2001-10-30,364.963
2001-10-31,366.067
2001-11-01,366.774
2001-11-02,365.189
2001-11-05,372.906
2001-11-06,370.071
