Date,CANADA MID VALUE Mid Cap
2001-01-01,298.05
2001-01-02,297.675
2001-01-03,293.703
2001-01-04,289.95
2001-01-05,289.125
2001-01-08,292.346
2001-01-09,290.682
2001-01-10,292.829
2001-01-11,293.719
2001-01-12,289.939
2001-01-15,290.306
2001-01-16,290.282
2001-01-17,288.057
2001-01-18,283.173
2001-01-19,283.712
2001-01-22,285.279
2001-01-23,286.81
2001-01-24,286.422
2001-01-25,288.411
2001-01-26,290.174
2001-01-29,290.413
2001-01-30,291.672
2001-01-31,292.712
2001-02-01,296.668
2001-02-02,298.629
2001-02-05,298.66
2001-02-06,297.63
2001-02-07,298.383
2001-02-08,298.439
2001-02-09,300.687
2001-02-12,299.322
2001-02-13,299.509
2001-02-14,298.33
2001-02-15,300.639
2001-02-16,300.78
2001-02-19,300.044
2001-02-20,296.401
2001-02-21,291.108
2001-02-22,293.344
2001-02-23,292.045
2001-02-26,296.446
2001-02-27,298.23
2001-02-28,297.842
2001-03-01,296.091
2001-03-02,296.073
2001-03-05,301.417
2001-03-06,303.98
2001-03-07,304.885
2001-03-08,306.136
2001-03-09,305.178
2001-03-12,303.088
2001-03-13,302.504
2001-03-14,298.94
2001-03-15,295.43
2001-03-16,291.338
2001-03-19,295.006
2001-03-20,294.46
2001-03-21,288.13
2001-03-22,283.906
2001-03-23,283.535
2001-03-26,286.89
2001-03-27,286.271
2001-03-28,281.912
2001-03-29,281.462
2001-03-30,284.98
2001-04-02,286.625
2001-04-03,282.228
2001-04-04,284.824
2001-04-05,284.777
2001-04-06,286.259
2001-04-09,289.736
2001-04-10,293.809
2001-04-11,292.584
2001-04-12,293.14
2001-04-13,293.14
2001-04-16,293.87
2001-04-17,296.356
2001-04-18,297.69
2001-04-19,300.238
2001-04-20,300.013
2001-04-23,298.663
2001-04-24,297.357
2001-04-25,300.962
2001-04-26,303.167
2001-04-27,303.232
2001-04-30,302.64
2001-05-01,302.835
2001-05-02,302.471
2001-05-03,299.634
2001-05-04,300.525
2001-05-07,300.069
2001-05-08,299.233
2001-05-09,302.69
2001-05-10,306.571
2001-05-11,304.181
2001-05-14,305.156
2001-05-15,309.021
2001-05-16,313.755
2001-05-17,318.009
2001-05-18,320.665
