Date,CANADA MID VALUE Mid Cap
1994-05-31,158.851
1994-06-30,150.136
1994-07-29,154.783
1994-08-31,161.76
1994-09-30,167.968
1994-10-31,165.719
1994-11-30,155.983
1994-12-30,157.75
1995-01-31,152.126
1995-02-28,158.611
1995-03-31,165.232
1995-04-28,166.618
1995-05-31,171.103
1995-06-30,171.164
1995-07-31,179.283
1995-08-31,176.069
1995-09-29,173.903
1995-10-31,169.99
1995-11-30,170.253
1995-12-29,171.896
1996-01-31,176.305
1996-02-29,174.929
1996-03-29,181.073
1996-04-30,189.534
1996-05-31,188.156
1996-06-28,186.824
1996-07-31,182.816
1996-08-30,191.398
1996-09-30,196.317
1996-10-31,215.615
1996-11-29,231.018
1996-12-31,225.017
1997-01-31,232.04
1997-02-28,240.755
1997-03-31,231.503
1997-04-30,237.61
1997-05-30,253.802
1997-06-30,262.056
1997-07-31,281.912
1997-08-29,276.571
1997-09-30,294.28
1997-10-31,281.874
1997-11-28,270.521
1997-12-31,276.008
1998-01-30,281.497
1998-02-27,305.653
1998-03-31,324.412
1998-04-30,321.773
1998-05-29,312.634
1998-06-30,301.272
1998-07-31,270.215
1998-08-31,216.628
1998-09-30,230.184
1998-10-30,237.844
1998-11-30,237.22
1998-12-31,232.38
1999-01-29,235.598
1999-02-26,224.518
1999-03-31,236.314
1999-04-30,272.08
1999-05-31,257.498
1999-06-30,274.223
1999-07-30,271.453
1999-08-31,278.161
1999-09-30,277.547
1999-10-29,271.768
1999-11-30,259.268
1999-12-31,281.203
2000-01-31,267.822
2000-02-29,261.11
2000-03-31,259.683
2000-04-28,269.613
2000-05-31,274.076
2000-06-30,278.514
2000-07-31,274.835
2000-08-31,294.747
2000-09-29,288.814
2000-10-31,281.912
2000-11-30,282.688
2000-12-29,310.068
2001-01-31,304.509
2001-02-28,309.671
2001-03-30,296.161
2001-04-30,314.446
2001-05-31,330.465
2001-06-29,333.57
2001-07-31,331.905
2001-08-31,333.29
2001-09-28,301.414
2001-10-31,293.844
2001-11-30,314.436
2001-12-31,321.755
2002-01-31,324.931
2002-02-28,332.344
2002-03-29,349.834
2002-04-30,356.928
2002-05-31,376.843
2002-06-28,358.481
2002-07-31,315.406
2002-08-30,326.252
2002-09-30,307.265
2002-10-31,310.874
2002-11-29,327.089
2002-12-31,335.794
2003-01-31,343.649
2003-02-28,346.741
2003-03-31,337.1
2003-04-30,363.058
2003-05-30,380.947
2003-06-30,386.845
2003-07-31,391.932
2003-08-29,417.277
2003-09-30,413.885
2003-10-31,441.957
2003-11-28,453.632
2003-12-31,495.873
2004-01-30,466.379
2004-02-27,470.147
2004-03-31,471.702
2004-04-30,443.799
2004-05-31,463.287
2004-06-30,480.294
2004-07-30,482.988
2004-08-31,489.573
2004-09-30,521.876
2004-10-29,536.239
2004-11-30,594.008
2004-12-31,601.332
2005-01-31,571.781
2005-02-28,588.186
2005-03-31,592.143
2005-04-29,551.439
2005-05-31,543.196
2005-06-30,578.241
2005-07-29,615.07
2005-08-31,640.717
2005-09-30,675.759
2005-10-31,637.289
2005-11-30,683.001
2005-12-30,705.711
2006-01-31,751.239
2006-02-28,746.338
2006-03-31,762.67
2006-04-28,828.423
2006-05-31,824.828
2006-06-30,806.102
2006-07-31,800.532
2006-08-31,803.257
2006-09-29,775.534
2006-10-31,823.588
2006-11-30,807.176
2006-12-29,805.597
2007-01-31,810.798
2007-02-28,825.53
2007-03-30,848.543
2007-04-30,912.371
2007-05-31,1000.0
2007-06-29,1007.037
2007-07-31,985.548
2007-08-31,963.733
2007-09-28,1058.189
2007-10-31,1124.5
2007-11-30,995.909
2007-12-31,1007.941
2008-01-31,960.105
2008-02-29,1033.034
2008-03-31,971.109
2008-04-30,1025.301
2008-05-30,1115.483
2008-06-30,1086.098
2008-07-31,1006.396
2008-08-29,1003.016
2008-09-30,838.571
2008-10-31,647.099
2008-11-28,619.113
2008-12-31,612.85
2009-01-30,603.355
2009-02-27,566.985
2009-03-31,598.636
2009-04-30,692.494
2009-05-29,809.247
2009-06-30,783.771
2009-07-31,905.067
2009-08-31,901.021
2009-09-30,989.06
2009-10-30,956.897
2009-11-30,1042.497
2009-12-31,1085.93
2010-01-29,1033.264
2010-02-26,1090.886
2010-03-31,1161.351
2010-04-30,1176.615
2010-05-31,1113.477
2010-06-30,1075.946
2010-07-30,1154.969
2010-08-31,1138.671
2010-09-30,1239.345
2010-10-29,1292.954
2010-11-30,1304.471
2010-12-31,1423.8
2011-01-31,1445.042
2011-02-28,1482.777
2011-03-31,1493.722
2011-04-29,1512.364
2011-05-31,1499.087
2011-06-30,1470.219
2011-07-29,1461.477
2011-08-31,1388.437
2011-09-30,1232.954
2011-10-31,1370.37
2011-11-30,1363.515
2011-12-30,1368.968
2012-01-31,1413.497
2012-02-29,1480.308
2012-03-30,1439.838
2012-04-30,1411.258
2012-05-31,1258.532
2012-06-29,1294.874
2012-07-31,1348.369
2012-08-31,1401.803
2012-09-28,1458.27
2012-10-31,1446.4
2012-11-30,1449.373
2012-12-31,1476.16
2013-01-31,1476.066
2013-02-28,1450.674
2013-03-29,1544.607
2013-04-30,1562.675
2013-05-31,1586.64
2013-06-28,1486.527
2013-07-31,1550.949
2013-08-30,1520.564
2013-09-30,1582.603
2013-10-31,1614.741
2013-11-29,1590.585
2013-12-31,1589.443
2014-01-31,1592.453
2014-02-28,1660.856
2014-03-31,1632.311
2014-04-30,1684.327
2014-05-30,1713.413
2014-06-30,1858.186
2014-07-31,1825.945
2014-08-29,1861.1
2014-09-30,1649.114
2014-10-31,1450.836
2014-11-28,1453.454
2014-12-31,1372.79
2015-01-30,1270.09
2015-02-27,1308.564
2015-03-31,1226.85
2015-04-30,1346.753
2015-05-29,1236.706
2015-06-30,1165.766
2015-07-31,991.165
2015-08-31,921.197
2015-09-30,853.227
2015-10-30,950.021
2015-11-30,885.903
2015-12-31,816.043
2016-01-29,779.44
2016-02-29,897.676
2016-03-31,1036.917
2016-04-29,1282.47
2016-05-31,1188.524
2016-06-30,1279.433
2016-07-29,1359.464
2016-08-31,1327.873
2016-09-30,1390.975
2016-10-31,1354.872
2016-11-30,1400.543
2016-12-30,1405.418
2017-01-31,1515.363
2017-02-28,1434.913
2017-03-31,1449.587
2017-04-28,1414.842
2017-05-31,1415.499
2017-06-30,1464.024
2017-07-31,1530.882
2017-08-31,1505.059
2017-09-29,1557.404
2017-10-31,1521.972
2017-11-30,1564.181
2017-12-29,1624.184
2018-01-31,1608.647
2018-02-28,1440.102
2018-03-30,1430.417
2018-04-30,1488.883
2018-05-31,1519.381
2018-06-29,1506.596
2018-07-31,1514.363
2018-08-31,1444.855
2018-09-28,1437.32
2018-10-31,1289.985
2018-11-30,1242.845
2018-12-31,1112.399
2019-01-31,1280.891
2019-02-28,1328.266
2019-03-29,1321.706
2019-04-30,1312.282
2019-05-31,1222.586
2019-06-28,1300.299
2019-07-31,1272.864
2019-08-30,1248.198
2019-09-30,1265.97
2019-10-31,1249.417
2019-11-29,1283.867
2019-12-31,1358.997
2020-01-31,1309.004
2020-02-28,1198.489
2020-03-31,823.209
2020-04-30,989.06
2020-05-29,999.165
2020-06-30,1052.47
2020-07-31,1118.36
2020-08-31,1177.718
2020-09-30,1095.471
2020-10-30,1095.844
2020-11-30,1262.678
2020-12-31,1330.115
2021-01-29,1393.417
2021-02-26,1502.817
2021-03-31,1538.323
2021-04-30,1610.326
2021-05-31,1701.521
2021-06-30,1685.226
2021-07-30,1668.72
2021-08-31,1640.617
2021-09-30,1649.247
2021-10-29,1767.607
2021-11-30,1662.621
2021-12-31,1755.743
2022-01-31,1754.522
2022-02-28,1801.659
2022-03-31,1918.416
2022-04-29,1854.512
2022-05-31,1912.662
2022-06-30,1643.655
2022-07-29,1705.084
2022-08-31,1694.133
2022-09-30,1526.803
2022-10-31,1531.794
2022-11-30,1603.101
2022-12-30,1569.048
2023-01-31,1746.56
2023-02-28,1700.985
2023-03-31,1720.265
2023-04-28,1843.109
2023-05-31,1739.943
2023-06-30,1817.804
2023-07-31,1890.614
2023-08-31,1787.932
2023-09-29,1688.875
2023-10-31,1614.022
2023-11-30,1753.903
2023-12-29,1837.632
2024-01-31,1823.22
2024-02-29,1749.223
2024-03-29,1829.203
2024-04-30,1816.206
2024-05-31,1908.217
2024-06-28,1911.677
2024-07-31,1981.651
2024-08-30,2068.452
2024-09-30,2147.483
2024-10-31,2062.599
2024-11-29,2189.649
2024-12-31,2076.894
2025-01-31,2124.133
2025-02-28,2100.979
2025-03-31,2143.503
2025-04-30,2270.9
2025-05-30,2338.029
2025-06-30,2476.016
