Date,CANADA MID VALUE Mid Cap
2001-01-01,310.13
2001-01-02,309.739
2001-01-03,305.606
2001-01-04,301.701
2001-01-05,300.843
2001-01-08,304.195
2001-01-09,302.463
2001-01-10,304.698
2001-01-11,305.623
2001-01-12,301.69
2001-01-15,302.072
2001-01-16,302.047
2001-01-17,299.731
2001-01-18,294.65
2001-01-19,295.211
2001-01-22,296.841
2001-01-23,298.423
2001-01-24,298.019
2001-01-25,300.089
2001-01-26,301.924
2001-01-29,302.162
2001-01-30,303.427
2001-01-31,304.509
2001-02-01,308.625
2001-02-02,310.665
2001-02-05,310.696
2001-02-06,309.625
2001-02-07,310.375
2001-02-08,310.434
2001-02-09,312.772
2001-02-12,311.339
2001-02-13,311.53
2001-02-14,310.304
2001-02-15,312.706
2001-02-16,312.852
2001-02-19,312.087
2001-02-20,308.297
2001-02-21,302.746
2001-02-22,305.071
2001-02-23,303.721
2001-02-26,308.298
2001-02-27,310.125
2001-02-28,309.671
2001-03-01,307.851
2001-03-02,307.832
2001-03-05,313.388
2001-03-06,316.053
2001-03-07,316.965
2001-03-08,318.258
2001-03-09,317.251
2001-03-12,315.071
2001-03-13,314.447
2001-03-14,310.71
2001-03-15,307.056
2001-03-16,302.803
2001-03-19,306.615
2001-03-20,306.025
2001-03-21,299.447
2001-03-22,295.057
2001-03-23,294.671
2001-03-26,298.158
2001-03-27,297.514
2001-03-28,292.984
2001-03-29,292.505
2001-03-30,296.161
2001-04-02,297.87
2001-04-03,293.301
2001-04-04,295.999
2001-04-05,295.95
2001-04-06,297.49
2001-04-09,301.104
2001-04-10,305.337
2001-04-11,304.063
2001-04-12,304.641
2001-04-13,304.641
2001-04-16,305.4
2001-04-17,307.983
2001-04-18,309.358
2001-04-19,312.006
2001-04-20,311.772
2001-04-23,310.37
2001-04-24,309.013
2001-04-25,312.758
2001-04-26,315.03
2001-04-27,315.061
2001-04-30,314.446
2001-05-01,314.649
2001-05-02,314.247
2001-05-03,311.299
2001-05-04,312.225
2001-05-07,311.751
2001-05-08,310.883
2001-05-09,314.474
2001-05-10,318.503
2001-05-11,316.02
2001-05-14,317.033
2001-05-15,321.032
2001-05-16,325.95
2001-05-17,330.37
2001-05-18,333.129
2001-05-21,333.564
2001-05-22,332.944
2001-05-23,331.097
2001-05-24,328.826
2001-05-25,327.795
2001-05-28,328.673
2001-05-29,333.707
2001-05-30,330.35
2001-05-31,330.465
2001-06-01,336.738
2001-06-04,335.962
2001-06-05,333.79
2001-06-06,335.084
2001-06-07,335.65
2001-06-08,336.325
2001-06-11,337.256
2001-06-12,336.639
2001-06-13,335.616
2001-06-14,333.756
2001-06-15,330.547
2001-06-18,328.676
2001-06-19,326.938
2001-06-20,325.06
2001-06-21,325.395
