Date,HONG KONG SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,352.341
2001-01-02,346.616
2001-01-03,336.798
2001-01-04,353.365
2001-01-05,357.158
2001-01-08,354.339
2001-01-09,349.678
2001-01-10,351.601
2001-01-11,345.629
2001-01-12,354.542
2001-01-15,358.442
2001-01-16,358.801
2001-01-17,352.973
2001-01-18,358.448
2001-01-19,370.568
2001-01-22,372.969
2001-01-23,379.182
2001-01-24,379.167
2001-01-25,379.169
2001-01-26,379.164
2001-01-29,377.974
2001-01-30,374.293
2001-01-31,376.967
2001-02-01,379.711
2001-02-02,374.98
2001-02-05,370.718
2001-02-06,371.964
2001-02-07,369.844
2001-02-08,363.837
2001-02-09,367.204
2001-02-12,369.363
2001-02-13,368.213
2001-02-14,371.398
2001-02-15,372.688
2001-02-16,375.898
2001-02-19,375.447
2001-02-20,373.623
2001-02-21,375.104
2001-02-22,371.003
2001-02-23,371.886
2001-02-26,371.843
2001-02-27,369.144
2001-02-28,367.286
2001-03-01,361.468
2001-03-02,361.921
2001-03-05,360.866
2001-03-06,369.896
2001-03-07,369.463
2001-03-08,368.035
2001-03-09,366.397
2001-03-12,349.884
2001-03-13,342.667
2001-03-14,337.424
2001-03-15,340.266
2001-03-16,342.949
2001-03-19,342.054
2001-03-20,336.921
2001-03-21,334.849
2001-03-22,323.335
2001-03-23,326.638
2001-03-26,332.352
2001-03-27,330.046
2001-03-28,330.154
2001-03-29,324.643
2001-03-30,326.23
2001-04-02,327.529
2001-04-03,325.709
2001-04-04,317.456
2001-04-05,317.45
2001-04-06,326.667
2001-04-09,321.576
2001-04-10,326.666
2001-04-11,339.065
2001-04-12,363.828
2001-04-13,363.828
2001-04-16,363.817
2001-04-17,358.434
2001-04-18,363.004
2001-04-19,376.348
2001-04-20,375.488
2001-04-23,376.159
2001-04-24,371.333
2001-04-25,370.61
2001-04-26,374.599
2001-04-27,377.853
2001-04-30,377.863
2001-05-01,377.733
2001-05-02,388.284
2001-05-03,388.787
2001-05-04,383.117
2001-05-07,380.635
2001-05-08,381.512
2001-05-09,379.666
2001-05-10,382.092
2001-05-11,385.405
2001-05-14,380.35
2001-05-15,382.639
2001-05-16,385.315
2001-05-17,385.434
2001-05-18,381.57
2001-05-21,386.362
2001-05-22,390.608
2001-05-23,389.893
2001-05-24,386.537
2001-05-25,391.643
2001-05-28,394.873
2001-05-29,394.168
2001-05-30,391.11
2001-05-31,381.628
2001-06-01,379.479
2001-06-04,385.624
2001-06-05,388.138
2001-06-06,392.094
2001-06-07,390.134
2001-06-08,388.284
2001-06-11,382.992
2001-06-12,378.075
2001-06-13,374.224
2001-06-14,364.661
2001-06-15,360.665
2001-06-18,361.024
2001-06-19,363.288
2001-06-20,360.662
2001-06-21,365.426
2001-06-22,363.284
2001-06-25,363.288
2001-06-26,360.165
2001-06-27,357.549
2001-06-28,354.192
2001-06-29,354.842
2001-07-02,354.849
2001-07-03,357.158
2001-07-04,362.941
2001-07-05,357.663
2001-07-06,357.658
2001-07-09,349.836
2001-07-10,351.212
2001-07-11,348.511
2001-07-12,348.379
2001-07-13,348.605
2001-07-16,352.44
2001-07-17,346.448
2001-07-18,344.268
2001-07-19,338.866
2001-07-20,339.424
2001-07-23,338.482
2001-07-24,336.87
2001-07-25,336.864
2001-07-26,337.444
2001-07-27,340.996
2001-07-30,338.314
2001-07-31,346.238
2001-08-01,351.315
2001-08-02,349.453
2001-08-03,341.994
2001-08-06,337.358
2001-08-07,335.568
2001-08-08,336.547
2001-08-09,330.903
2001-08-10,329.208
2001-08-13,323.112
2001-08-14,326.394
2001-08-15,330.479
2001-08-16,332.302
2001-08-17,333.521
2001-08-20,327.041
2001-08-21,314.546
2001-08-22,313.216
2001-08-23,317.016
2001-08-24,310.038
2001-08-27,313.389
2001-08-28,312.713
2001-08-29,310.647
2001-08-30,310.291
2001-08-31,308.686
2001-09-03,302.652
2001-09-04,301.826
2001-09-05,300.306
2001-09-06,292.76
2001-09-07,286.965
2001-09-10,286.276
2001-09-11,283.187
2001-09-12,252.906
2001-09-13,258.694
2001-09-14,255.819
2001-09-17,245.053
