Date,FRANCE VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,122.661
1975-02-28,125.445
1975-03-31,132.822
1975-04-30,143.369
1975-05-30,139.691
1975-06-30,126.258
1975-07-31,125.215
1975-08-29,126.747
1975-09-30,116.624
1975-10-31,124.234
1975-11-28,130.586
1975-12-31,128.868
1976-01-30,135.561
1976-02-27,141.524
1976-03-31,131.494
1976-04-30,126.607
1976-05-31,124.18
1976-06-30,120.081
1976-07-30,108.642
1976-08-31,108.938
1976-09-30,100.122
1976-10-29,93.743
1976-11-30,89.771
1976-12-31,103.287
1977-01-31,102.507
1977-02-28,97.521
1977-03-31,90.754
1977-04-29,88.693
1977-05-31,94.079
1977-06-30,100.413
1977-07-29,97.585
1977-08-31,105.713
1977-09-30,111.371
1977-10-31,116.871
1977-11-30,109.43
1977-12-30,109.734
1978-01-31,104.446
1978-02-28,107.614
1978-03-31,138.774
1978-04-28,148.209
1978-05-31,158.588
1978-06-30,160.776
1978-07-31,186.431
1978-08-31,181.718
1978-09-29,209.626
1978-10-31,208.299
1978-11-30,185.501
1978-12-29,200.741
1979-01-31,195.204
1979-02-28,186.283
1979-03-30,197.524
1979-04-30,208.68
1979-05-31,200.917
1979-06-29,233.731
1979-07-31,230.126
1979-08-31,251.734
1979-09-28,295.439
1979-10-31,260.976
1979-11-30,270.568
1979-12-31,270.097
1980-01-31,278.829
1980-02-29,275.902
1980-03-31,234.686
1980-04-30,261.042
1980-05-30,274.472
1980-06-30,282.926
1980-07-31,271.577
1980-08-29,281.09
1980-09-30,271.321
1980-10-31,265.014
1980-11-28,259.159
1980-12-31,246.394
1981-01-30,218.176
1981-02-27,223.049
1981-03-31,236.355
1981-04-30,212.262
1981-05-29,166.336
1981-06-30,157.881
1981-07-31,159.123
1981-08-31,171.055
1981-09-30,174.255
1981-10-30,175.537
1981-11-30,191.745
1981-12-31,186.926
1982-01-29,197.235
1982-02-26,211.05
1982-03-31,183.547
1982-04-30,203.936
1982-05-31,196.579
1982-06-30,162.043
1982-07-30,151.795
1982-08-31,156.774
1982-09-30,150.069
1982-10-29,154.503
1982-11-30,163.917
1982-12-31,170.636
1983-01-31,182.233
1983-02-28,191.254
1983-03-31,198.119
1983-04-29,205.824
1983-05-31,212.47
1983-06-30,212.386
1983-07-29,210.937
1983-08-31,222.239
1983-09-30,228.278
1983-10-31,226.467
1983-11-30,236.987
1983-12-30,242.438
1984-01-31,265.395
1984-02-29,275.617
1984-03-30,279.266
1984-04-30,296.642
1984-05-31,293.731
1984-06-29,280.69
1984-07-31,242.266
1984-08-31,269.792
1984-09-28,264.11
1984-10-31,265.029
1984-11-30,261.018
1984-12-31,256.388
1985-01-31,272.663
1985-02-28,264.122
1985-03-29,295.59
1985-04-30,301.349
1985-05-31,327.187
1985-06-28,319.522
1985-07-31,326.641
1985-08-30,345.163
1985-09-30,340.008
1985-10-31,371.5
1985-11-29,440.335
1985-12-31,476.536
1986-01-31,541.012
1986-02-28,650.125
1986-03-31,734.736
1986-04-30,829.047
1986-05-30,714.312
1986-06-30,762.136
1986-07-31,835.378
1986-08-29,947.837
1986-09-30,864.14
1986-10-31,861.172
