Date,FRANCE VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,122.54
1975-02-28,125.17
1975-03-31,132.385
1975-04-30,142.742
1975-05-30,138.903
1975-06-30,125.359
1975-07-31,124.176
1975-08-29,125.541
1975-09-30,115.357
1975-10-31,122.73
1975-11-28,128.861
1975-12-31,127.014
1976-01-30,133.469
1976-02-27,139.195
1976-03-31,129.188
1976-04-30,124.252
1976-05-31,121.741
1976-06-30,117.592
1976-07-30,106.259
1976-08-31,106.426
1976-09-30,97.685
1976-10-29,91.339
1976-11-30,87.345
1976-12-31,100.392
1977-01-31,99.515
1977-02-28,94.55
1977-03-31,87.851
1977-04-29,85.723
1977-05-31,90.806
1977-06-30,96.797
1977-07-29,93.934
1977-08-31,101.637
1977-09-30,106.952
1977-10-31,112.102
1977-11-30,104.824
1977-12-30,104.971
1978-01-31,99.768
1978-02-28,102.658
1978-03-31,132.263
1978-04-28,141.113
1978-05-31,150.853
1978-06-30,152.775
1978-07-31,177.007
1978-08-31,172.362
1978-09-29,198.677
1978-10-31,197.209
1978-11-30,175.448
1978-12-29,189.682
1979-01-31,184.268
1979-02-28,175.649
1979-03-30,186.073
1979-04-30,196.407
1979-05-31,188.905
1979-06-29,219.583
1979-07-31,215.995
1979-08-31,236.095
1979-09-28,276.861
1979-10-31,244.297
1979-11-30,253.019
1979-12-31,252.316
1980-01-31,260.227
1980-02-29,257.241
1980-03-31,218.54
1980-04-30,242.808
1980-05-30,255.018
1980-06-30,262.576
1980-07-31,251.735
1980-08-29,260.268
1980-09-30,250.903
1980-10-31,244.776
1980-11-28,239.069
1980-12-31,226.988
1981-01-30,200.703
1981-02-27,204.931
1981-03-31,216.886
1981-04-30,194.498
1981-05-29,152.115
1981-06-30,144.136
1981-07-31,145.041
1981-08-31,155.695
1981-09-30,158.343
1981-10-30,159.253
1981-11-30,173.713
1981-12-31,169.092
1982-01-29,178.195
1982-02-26,190.47
1982-03-31,165.413
1982-04-30,183.578
1982-05-31,176.739
1982-06-30,145.482
1982-07-30,136.079
1982-08-31,140.368
1982-09-30,134.182
1982-10-29,137.978
1982-11-30,146.209
1982-12-31,152.012
1983-01-31,162.172
1983-02-28,170.016
1983-03-31,175.953
1983-04-29,182.631
1983-05-31,188.366
1983-06-30,188.122
1983-07-29,186.68
1983-08-31,196.532
1983-09-30,201.704
1983-10-31,199.931
1983-11-30,209.061
1983-12-30,213.712
1984-01-31,233.81
1984-02-29,242.633
1984-03-30,245.657
1984-04-30,260.776
1984-05-31,258.029
1984-06-29,246.385
1984-07-31,212.459
1984-08-31,236.439
1984-09-28,231.291
1984-10-31,231.922
1984-11-30,228.242
1984-12-31,224.023
1985-01-31,238.086
1985-02-28,230.469
1985-03-29,257.755
1985-04-30,262.599
1985-05-31,284.946
1985-06-28,278.076
1985-07-31,284.059
1985-08-30,299.976
1985-09-30,295.272
1985-10-31,322.416
1985-11-29,381.961
1985-12-31,413.146
1986-01-31,468.829
1986-02-28,563.154
1986-03-31,636.222
1986-04-30,717.626
1986-05-30,618.02
1986-06-30,659.113
1986-07-31,722.174
1986-08-29,819.118
1986-09-30,746.496
1986-10-31,743.622
1986-11-28,786.094
1986-12-31,803.331
1987-01-30,914.929
1987-02-27,938.276
1987-03-31,999.655
1987-04-30,1006.976
1987-05-29,956.955
1987-06-30,888.265
1987-07-31,901.516
1987-08-31,945.19
1987-09-30,887.392
1987-10-30,738.098
1987-11-30,715.908
1987-12-31,716.928
1988-01-29,614.68
1988-02-29,744.032
1988-03-31,699.185
1988-04-29,766.353
1988-05-31,812.255
1988-06-30,823.175
1988-07-29,798.617
1988-08-31,766.13
1988-09-30,837.894
1988-10-31,942.05
1988-11-30,965.893
1988-12-30,997.769
1989-01-31,999.29
1989-02-28,984.919
1989-03-31,1001.835
1989-04-28,1034.919
1989-05-31,1000.013
1989-06-30,1030.924
1989-07-31,1135.503
1989-08-31,1136.242
1989-09-29,1194.787
1989-10-31,1148.512
1989-11-30,1200.509
1989-12-29,1347.247
1990-01-31,1312.3
1990-02-28,1291.378
1990-03-30,1378.855
1990-04-30,1445.582
1990-05-31,1459.859
1990-06-29,1437.318
1990-07-31,1441.576
1990-08-31,1247.516
1990-09-28,1126.225
1990-10-31,1202.828
1990-11-30,1218.516
1990-12-31,1139.323
1991-01-31,1187.524
1991-02-28,1307.812
1991-03-29,1224.332
1991-04-30,1190.308
1991-05-31,1237.842
1991-06-28,1123.097
1991-07-31,1169.893
1991-08-30,1250.463
1991-09-30,1322.451
1991-10-31,1297.723
1991-11-29,1266.018
1991-12-31,1347.855
1992-01-31,1374.913
1992-02-28,1430.295
1992-03-31,1387.544
1992-04-30,1490.946
1992-05-29,1557.536
1992-06-30,1499.028
1992-07-31,1423.359
1992-08-31,1388.767
1992-09-30,1448.323
1992-10-30,1341.709
1992-11-30,1317.048
1992-12-31,1363.37
1993-01-29,1355.458
1993-02-26,1489.803
1993-03-31,1546.259
1993-04-30,1530.473
1993-05-31,1497.218
1993-06-30,1489.401
1993-07-30,1540.377
1993-08-31,1653.211
1993-09-30,1620.792
1993-10-29,1638.458
1993-11-30,1570.707
1993-12-31,1703.231
1994-01-31,1800.716
1994-02-28,1782.721
1994-03-31,1670.556
1994-04-29,1759.734
1994-05-31,1696.353
1994-06-30,1623.147
1994-07-29,1762.889
1994-08-31,1767.418
1994-09-30,1633.703
1994-10-31,1705.629
1994-11-30,1690.728
1994-12-30,1622.116
1995-01-31,1582.315
1995-02-28,1576.8
1995-03-31,1741.245
1995-04-28,1772.121
1995-05-31,1808.059
1995-06-30,1763.317
1995-07-31,1829.682
1995-08-31,1686.444
1995-09-29,1613.966
1995-10-31,1660.705
1995-11-30,1684.217
1995-12-29,1747.138
1996-01-31,1770.009
1996-02-29,1770.84
1996-03-29,1767.439
1996-04-30,1779.012
1996-05-31,1747.995
1996-06-28,1752.753
1996-07-31,1706.413
1996-08-30,1692.244
1996-09-30,1780.352
1996-10-31,1797.57
1996-11-29,1903.289
1996-12-31,1889.583
1997-01-31,2003.705
1997-02-28,2025.049
1997-03-31,2089.434
1997-04-30,1969.244
