Date,FRANCE VALUE Standard (Large+Mid Cap)
2001-01-01,4439.537
2001-01-02,4429.948
2001-01-03,4351.485
2001-01-04,4372.494
2001-01-05,4402.09
2001-01-08,4394.878
2001-01-09,4305.252
2001-01-10,4281.694
2001-01-11,4366.518
2001-01-12,4395.811
2001-01-15,4406.045
2001-01-16,4360.853
2001-01-17,4355.008
2001-01-18,4367.84
2001-01-19,4308.883
2001-01-22,4350.708
2001-01-23,4356.377
2001-01-24,4333.166
2001-01-25,4380.446
2001-01-26,4384.756
2001-01-29,4355.359
2001-01-30,4388.376
2001-01-31,4438.905
2001-02-01,4427.308
2001-02-02,4383.038
2001-02-05,4424.987
2001-02-06,4416.459
2001-02-07,4384.569
2001-02-08,4343.54
2001-02-09,4346.019
2001-02-12,4391.262
2001-02-13,4354.883
2001-02-14,4321.771
2001-02-15,4245.892
2001-02-16,4260.187
2001-02-19,4305.157
2001-02-20,4231.499
2001-02-21,4212.656
2001-02-22,4151.744
2001-02-23,4101.395
2001-02-26,4158.538
2001-02-27,4215.992
2001-02-28,4213.188
2001-03-01,4271.438
2001-03-02,4246.218
2001-03-05,4236.866
2001-03-06,4265.436
2001-03-07,4288.222
2001-03-08,4315.128
2001-03-09,4310.66
2001-03-12,4229.839
2001-03-13,4105.355
2001-03-14,4017.026
2001-03-15,4039.311
2001-03-16,3960.431
2001-03-19,3946.656
2001-03-20,4009.69
2001-03-21,3916.147
2001-03-22,3687.558
2001-03-23,3770.498
2001-03-26,3886.142
2001-03-27,3984.299
2001-03-28,3914.246
2001-03-29,3907.434
2001-03-30,3966.252
2001-04-02,3978.627
2001-04-03,3865.218
2001-04-04,3958.004
2001-04-05,3972.499
2001-04-06,4000.651
2001-04-09,4032.447
2001-04-10,4057.938
2001-04-11,4060.106
2001-04-12,4124.85
2001-04-13,4124.85
2001-04-16,4082.606
2001-04-17,4070.101
2001-04-18,4088.26
2001-04-19,4166.782
2001-04-20,4207.752
2001-04-23,4172.563
2001-04-24,4203.175
2001-04-25,4217.685
2001-04-26,4269.053
2001-04-27,4304.246
2001-04-30,4280.345
2001-05-01,4303.037
2001-05-02,4268.269
2001-05-03,4214.834
2001-05-04,4231.405
2001-05-07,4251.049
2001-05-08,4240.708
2001-05-09,4219.464
2001-05-10,4294.026
2001-05-11,4246.683
2001-05-14,4209.952
2001-05-15,4272.024
2001-05-16,4306.27
2001-05-17,4337.411
2001-05-18,4375.681
2001-05-21,4381.79
2001-05-22,4338.675
2001-05-23,4286.21
2001-05-24,4298.492
2001-05-25,4254.923
2001-05-28,4288.832
2001-05-29,4238.975
2001-05-30,4206.17
2001-05-31,4160.246
2001-06-01,4157.646
2001-06-04,4163.294
2001-06-05,4229.838
2001-06-06,4209.507
2001-06-07,4190.082
2001-06-08,4177.442
2001-06-11,4138.852
2001-06-12,4117.641
2001-06-13,4160.564
2001-06-14,4157.604
2001-06-15,4151.082
2001-06-18,4070.971
2001-06-19,4093.275
2001-06-20,4042.492
2001-06-21,4027.298
2001-06-22,4062.367
2001-06-25,4138.247
2001-06-26,4045.237
2001-06-27,4016.845
2001-06-28,3980.225
2001-06-29,4051.927
2001-07-02,4090.411
2001-07-03,4048.378
2001-07-04,4057.943
2001-07-05,3995.083
2001-07-06,3944.044
2001-07-09,3977.486
2001-07-10,3965.84
2001-07-11,3937.307
2001-07-12,3913.371
2001-07-13,3974.061
2001-07-16,3985.805
2001-07-17,3936.461
2001-07-18,3935.758
2001-07-19,3952.013
2001-07-20,3948.792
2001-07-23,3965.161
2001-07-24,3948.101
2001-07-25,3905.576
2001-07-26,3957.401
2001-07-27,4015.2
2001-07-30,4072.055
2001-07-31,4099.805
2001-08-01,4128.013
2001-08-02,4127.088
2001-08-03,4118.948
2001-08-06,4111.765
2001-08-07,4100.329
2001-08-08,4075.466
2001-08-09,4074.158
2001-08-10,4069.393
2001-08-13,4159.781
2001-08-14,4194.035
2001-08-15,4246.656
2001-08-16,4232.563
2001-08-17,4181.731
2001-08-20,4166.082
2001-08-21,4192.83
2001-08-22,4223.91
2001-08-23,4188.912
2001-08-24,4254.924
2001-08-27,4237.254
2001-08-28,4178.281
2001-08-29,4202.793
2001-08-30,4111.454
2001-08-31,4116.746
2001-09-03,4052.163
2001-09-04,4013.515
2001-09-05,3934.317
2001-09-06,3881.514
2001-09-07,3867.064
2001-09-10,3811.623
2001-09-11,3612.119
2001-09-12,3609.453
2001-09-13,3624.262
2001-09-14,3487.836
2001-09-17,3577.921
