Date,FRANCE VALUE Standard (Large+Mid Cap)
2001-01-01,5576.849
2001-01-02,5564.804
2001-01-03,5466.239
2001-01-04,5492.63
2001-01-05,5529.808
2001-01-08,5520.75
2001-01-09,5408.163
2001-01-10,5378.57
2001-01-11,5485.225
2001-01-12,5522.023
2001-01-15,5534.878
2001-01-16,5478.108
2001-01-17,5470.765
2001-01-18,5486.885
2001-01-19,5412.824
2001-01-22,5465.364
2001-01-23,5472.485
2001-01-24,5443.328
2001-01-25,5502.721
2001-01-26,5508.135
2001-01-29,5471.207
2001-01-30,5512.683
2001-01-31,5576.157
2001-02-01,5561.589
2001-02-02,5505.976
2001-02-05,5558.674
2001-02-06,5547.961
2001-02-07,5507.9
2001-02-08,5456.359
2001-02-09,5459.509
2001-02-12,5516.342
2001-02-13,5470.643
2001-02-14,5429.048
2001-02-15,5333.727
2001-02-16,5351.685
2001-02-19,5408.177
2001-02-20,5315.647
2001-02-21,5291.976
2001-02-22,5215.458
2001-02-23,5152.209
2001-02-26,5223.992
2001-02-27,5296.167
2001-02-28,5292.645
2001-03-01,5365.819
2001-03-02,5334.137
2001-03-05,5322.389
2001-03-06,5358.279
2001-03-07,5386.903
2001-03-08,5420.702
2001-03-09,5415.09
2001-03-12,5313.562
2001-03-13,5157.184
2001-03-14,5046.224
2001-03-15,5074.218
2001-03-16,4975.129
2001-03-19,4957.825
2001-03-20,5037.051
2001-03-21,4919.541
2001-03-22,4632.382
2001-03-23,4736.573
2001-03-26,4881.848
2001-03-27,5005.154
2001-03-28,4917.152
2001-03-29,4908.596
2001-03-30,4982.483
2001-04-02,4998.029
2001-04-03,4855.563
2001-04-04,4972.122
2001-04-05,4990.332
2001-04-06,5025.696
2001-04-09,5065.639
2001-04-10,5097.661
2001-04-11,5100.385
2001-04-12,5181.717
2001-04-13,5181.717
2001-04-16,5128.65
2001-04-17,5112.941
2001-04-18,5135.752
2001-04-19,5234.394
2001-04-20,5285.86
2001-04-23,5241.655
2001-04-24,5280.111
2001-04-25,5298.339
2001-04-26,5362.912
2001-04-27,5407.123
2001-04-30,5377.098
2001-05-01,5405.604
2001-05-02,5364.686
2001-05-03,5297.525
2001-05-04,5318.354
2001-05-07,5343.624
2001-05-08,5330.626
2001-05-09,5305.475
2001-05-10,5399.961
2001-05-11,5342.465
2001-05-14,5298.419
2001-05-15,5376.539
2001-05-16,5419.64
2001-05-17,5458.831
2001-05-18,5506.997
2001-05-21,5514.775
2001-05-22,5460.758
2001-05-23,5395.253
2001-05-24,5410.714
2001-05-25,5356.114
2001-05-28,5398.798
2001-05-29,5341.547
2001-05-30,5300.208
2001-05-31,5242.459
2001-06-01,5239.432
2001-06-04,5246.551
2001-06-05,5331.093
2001-06-06,5306.42
2001-06-07,5281.933
2001-06-08,5266.335
2001-06-11,5220.501
2001-06-12,5193.922
2001-06-13,5248.065
2001-06-14,5244.782
2001-06-15,5236.592
2001-06-18,5135.532
2001-06-19,5163.669
2001-06-20,5099.909
2001-06-21,5080.741
2001-06-22,5124.984
2001-06-25,5220.712
2001-06-26,5103.372
2001-06-27,5067.857
2001-06-28,5021.849
2001-06-29,5112.314
2001-07-02,5161.829
2001-07-03,5108.786
2001-07-04,5120.857
2001-07-05,5041.531
2001-07-06,4977.123
2001-07-09,5019.325
2001-07-10,5004.628
2001-07-11,4968.622
2001-07-12,4938.416
2001-07-13,5015.003
2001-07-16,5029.822
2001-07-17,4967.554
2001-07-18,4966.666
2001-07-19,4987.179
2001-07-20,4983.115
2001-07-23,5003.771
2001-07-24,4982.243
