Date,AUSTRALIA SMALL VALUE Small Cap
1997-05-30,243.576
1997-06-30,245.96
1997-07-31,247.632
1997-08-29,237.236
1997-09-30,244.894
1997-10-31,215.59
1997-11-28,207.947
1997-12-31,212.15
1998-01-30,230.556
1998-02-27,233.433
1998-03-31,224.002
1998-04-30,223.092
1998-05-29,210.72
1998-06-30,194.343
1998-07-31,197.516
1998-08-31,172.499
1998-09-30,190.306
1998-10-30,204.595
1998-11-30,213.277
1998-12-31,211.321
1999-01-29,221.634
1999-02-26,218.207
1999-03-31,223.782
1999-04-30,238.943
1999-05-31,227.527
1999-06-30,233.166
1999-07-30,236.853
1999-08-31,230.297
1999-09-30,230.068
1999-10-29,220.926
1999-11-30,223.51
1999-12-31,232.685
2000-01-31,220.36
2000-02-29,212.504
2000-03-31,211.966
2000-04-28,202.74
2000-05-31,194.051
2000-06-30,214.769
2000-07-31,216.959
2000-08-31,220.313
2000-09-29,200.81
2000-10-31,194.289
2000-11-30,200.269
2000-12-29,213.28
2001-01-31,213.599
2001-02-28,203.938
2001-03-30,185.493
2001-04-30,200.332
2001-05-31,201.641
2001-06-29,205.529
2001-07-31,205.204
2001-08-31,217.466
2001-09-28,198.032
2001-10-31,214.418
2001-11-30,230.777
2001-12-31,231.311
2002-01-31,236.311
2002-02-28,242.529
2002-03-29,254.08
2002-04-30,255.217
2002-05-31,275.375
2002-06-28,268.222
2002-07-31,254.056
2002-08-30,266.533
2002-09-30,258.492
2002-10-31,264.059
2002-11-29,271.477
2002-12-31,277.727
2003-01-31,290.362
2003-02-28,288.026
2003-03-31,295.301
2003-04-30,318.116
2003-05-30,340.273
2003-06-30,358.832
2003-07-31,361.965
2003-08-29,367.187
2003-09-30,389.039
2003-10-31,418.81
2003-11-28,411.78
2003-12-31,442.926
2004-01-30,447.68
2004-02-27,465.186
2004-03-31,468.426
2004-04-30,434.331
2004-05-31,439.748
2004-06-30,435.888
2004-07-30,463.377
2004-08-31,471.856
2004-09-30,497.837
2004-10-29,533.929
2004-11-30,571.457
2004-12-31,595.016
2005-01-31,594.647
2005-02-28,588.967
2005-03-31,574.246
2005-04-29,554.117
2005-05-31,544.305
2005-06-30,578.626
2005-07-29,601.581
2005-08-31,613.713
2005-09-30,646.541
2005-10-31,612.928
2005-11-30,637.406
2005-12-30,641.518
2006-01-31,661.904
2006-02-28,662.445
2006-03-31,664.373
2006-04-28,698.257
2006-05-31,667.037
2006-06-30,665.697
2006-07-31,685.048
2006-08-31,704.058
2006-09-29,717.043
2006-10-31,765.679
2006-11-30,799.902
2006-12-29,825.722
2007-01-31,830.834
2007-02-28,846.062
2007-03-30,887.033
2007-04-30,958.677
2007-05-31,1000.0
2007-06-29,1017.847
2007-07-31,998.435
2007-08-31,942.477
2007-09-28,1029.515
2007-10-31,1086.992
2007-11-30,997.748
2007-12-31,965.627
2008-01-31,859.318
2008-02-29,894.478
2008-03-31,847.254
2008-04-30,898.192
2008-05-30,875.96
2008-06-30,743.827
2008-07-31,747.516
2008-08-29,703.005
2008-09-30,570.809
2008-10-31,357.261
2008-11-28,306.023
2008-12-31,323.431
2009-01-30,263.683
2009-02-27,231.051
2009-03-31,295.343
2009-04-30,350.027
2009-05-29,394.639
2009-06-30,427.767
2009-07-31,491.417
2009-08-31,551.971
2009-09-30,607.415
2009-10-30,618.453
2009-11-30,624.75
2009-12-31,641.636
2010-01-29,595.747
2010-02-26,593.828
2010-03-31,618.434
2010-04-30,630.945
2010-05-31,520.289
2010-06-30,496.871
2010-07-30,558.01
2010-08-31,560.423
2010-09-30,653.395
2010-10-29,674.445
2010-11-30,655.064
2010-12-31,730.777
2011-01-31,709.497
2011-02-28,729.309
2011-03-31,739.023
2011-04-29,777.046
2011-05-31,744.674
2011-06-30,725.572
2011-07-29,724.206
2011-08-31,676.635
2011-09-30,566.538
2011-10-31,672.329
2011-11-30,632.615
2011-12-30,611.544
2012-01-31,671.367
2012-02-29,716.573
2012-03-30,699.139
2012-04-30,703.972
2012-05-31,604.78
2012-06-29,616.386
2012-07-31,646.092
2012-08-31,640.717
2012-09-28,654.18
2012-10-31,669.836
2012-11-30,673.161
2012-12-31,703.764
2013-01-31,752.148
2013-02-28,777.943
2013-03-29,780.856
2013-04-30,771.523
2013-05-31,663.405
2013-06-28,593.016
2013-07-31,627.567
2013-08-30,643.626
2013-09-30,690.235
2013-10-31,726.703
2013-11-29,686.577
2013-12-31,689.966
2014-01-31,656.776
2014-02-28,704.203
2014-03-31,722.745
2014-04-30,734.334
2014-05-30,731.486
2014-06-30,732.998
2014-07-31,761.738
2014-08-29,769.58
2014-09-30,668.741
2014-10-31,683.044
2014-11-28,634.0
2014-12-31,618.407
2015-01-30,586.312
2015-02-27,628.998
2015-03-31,607.641
2015-04-30,625.28
2015-05-29,626.077
2015-06-30,574.807
2015-07-31,557.642
2015-08-31,522.824
2015-09-30,499.419
2015-10-30,541.928
2015-11-30,527.68
2015-12-31,531.805
2016-01-29,490.1
2016-02-29,514.58
2016-03-31,599.421
2016-04-29,611.687
2016-05-31,593.278
2016-06-30,605.083
2016-07-29,671.93
2016-08-31,672.092
2016-09-30,683.15
2016-10-31,655.309
2016-11-30,653.011
2016-12-30,679.484
2017-01-31,697.402
2017-02-28,723.082
2017-03-31,743.912
2017-04-28,733.378
2017-05-31,728.197
2017-06-30,763.593
2017-07-31,797.956
2017-08-31,816.228
2017-09-29,799.022
2017-10-31,814.368
2017-11-30,829.004
2017-12-29,866.565
2018-01-31,891.909
2018-02-28,854.059
2018-03-30,825.258
2018-04-30,841.455
2018-05-31,845.772
2018-06-29,831.2
2018-07-31,838.981
2018-08-31,834.069
2018-09-28,838.185
2018-10-31,753.027
2018-11-30,763.06
2018-12-31,708.374
2019-01-31,769.814
2019-02-28,810.982
2019-03-29,808.657
2019-04-30,824.387
2019-05-31,797.295
2019-06-28,805.018
2019-07-31,818.941
2019-08-30,778.218
2019-09-30,810.935
2019-10-31,826.182
2019-11-29,825.743
2019-12-31,847.32
2020-01-31,823.922
2020-02-28,717.487
2020-03-31,525.159
2020-04-30,641.37
2020-05-29,709.041
2020-06-30,745.815
2020-07-31,773.4
2020-08-31,849.139
2020-09-30,806.096
2020-10-30,803.373
2020-11-30,943.427
2020-12-31,1016.645
2021-01-29,996.825
2021-02-26,1033.238
2021-03-31,1055.037
2021-04-30,1092.274
2021-05-31,1099.334
2021-06-30,1090.469
2021-07-30,1078.008
2021-08-31,1112.496
2021-09-30,1090.754
2021-10-29,1136.924
2021-11-30,1054.798
2021-12-31,1131.613
2022-01-31,1029.634
2022-02-28,1100.981
2022-03-31,1188.316
2022-04-29,1140.459
2022-05-31,1093.256
2022-06-30,936.789
2022-07-29,1034.733
2022-08-31,1030.994
2022-09-30,884.353
2022-10-31,935.774
2022-11-30,1030.671
2022-12-30,1016.985
2023-01-31,1098.344
2023-02-28,1021.476
2023-03-31,996.629
2023-04-28,1012.066
2023-05-31,967.439
