Date,AUSTRALIA SMALL VALUE Small Cap
2001-01-01,213.28
2001-01-02,216.692
2001-01-03,216.942
2001-01-04,219.109
2001-01-05,220.84
2001-01-08,218.282
2001-01-09,215.458
2001-01-10,214.043
2001-01-11,213.179
2001-01-12,212.022
2001-01-15,209.433
2001-01-16,210.078
2001-01-17,208.754
2001-01-18,212.282
2001-01-19,213.178
2001-01-22,213.174
2001-01-23,213.52
2001-01-24,210.076
2001-01-25,210.448
2001-01-26,209.868
2001-01-29,210.847
2001-01-30,211.477
2001-01-31,213.599
2001-02-01,216.755
2001-02-02,215.27
2001-02-05,214.021
2001-02-06,214.637
2001-02-07,212.063
2001-02-08,208.241
2001-02-09,207.031
2001-02-12,208.583
2001-02-13,206.99
2001-02-14,205.714
2001-02-15,203.038
2001-02-16,204.772
2001-02-19,204.107
2001-02-20,202.516
2001-02-21,203.639
2001-02-22,202.72
2001-02-23,202.229
2001-02-26,202.158
2001-02-27,202.967
2001-02-28,203.938
2001-03-01,204.696
2001-03-02,206.93
2001-03-05,204.78
2001-03-06,204.031
2001-03-07,201.994
2001-03-08,201.678
2001-03-09,200.941
2001-03-12,200.804
2001-03-13,196.458
2001-03-14,195.921
2001-03-15,191.649
2001-03-16,191.885
2001-03-19,192.968
2001-03-20,193.52
2001-03-21,192.312
2001-03-22,190.671
2001-03-23,191.113
2001-03-26,191.986
2001-03-27,192.128
2001-03-28,189.742
2001-03-29,187.874
2001-03-30,185.493
2001-04-02,186.487
2001-04-03,186.128
2001-04-04,187.736
2001-04-05,188.553
2001-04-06,191.762
2001-04-09,191.052
2001-04-10,191.43
2001-04-11,193.964
2001-04-12,196.89
2001-04-13,196.89
2001-04-16,197.51
2001-04-17,196.098
2001-04-18,193.08
2001-04-19,199.688
2001-04-20,203.131
2001-04-23,197.403
2001-04-24,196.744
2001-04-25,197.213
2001-04-26,200.39
2001-04-27,200.05
2001-04-30,200.332
2001-05-01,203.073
2001-05-02,204.441
2001-05-03,205.444
2001-05-04,204.333
2001-05-07,204.512
2001-05-08,203.976
2001-05-09,204.984
2001-05-10,207.785
2001-05-11,205.622
2001-05-14,204.31
2001-05-15,205.592
2001-05-16,206.945
2001-05-17,210.973
2001-05-18,210.621
2001-05-21,214.271
2001-05-22,210.03
2001-05-23,209.089
2001-05-24,207.999
2001-05-25,208.609
2001-05-28,209.348
2001-05-29,206.875
