Date,AUSTRALIA SMALL VALUE Small Cap
1997-05-30,208.668
1997-06-30,210.857
1997-07-31,212.337
1997-08-29,203.74
1997-09-30,210.81
1997-10-31,185.79
1997-11-28,179.253
1997-12-31,183.123
1998-01-30,199.056
1998-02-27,201.89
1998-03-31,194.182
1998-04-30,193.489
1998-05-29,182.824
1998-06-30,168.929
1998-07-31,171.716
1998-08-31,150.159
1998-09-30,166.185
1998-10-30,178.867
1998-11-30,186.556
1998-12-31,185.169
1999-01-29,194.231
1999-02-26,191.361
1999-03-31,196.686
1999-04-30,210.15
1999-05-31,200.202
1999-06-30,205.589
1999-07-30,208.92
1999-08-31,203.323
1999-09-30,203.605
1999-10-29,195.695
1999-11-30,198.157
1999-12-31,206.739
2000-01-31,195.822
2000-02-29,189.083
2000-03-31,189.035
2000-04-28,180.909
2000-05-31,173.261
2000-06-30,192.045
2000-07-31,194.033
2000-08-31,197.276
2000-09-29,180.547
2000-10-31,174.767
2000-11-30,180.307
2000-12-29,192.471
2001-01-31,192.842
2001-02-28,184.27
2001-03-30,168.122
2001-04-30,181.657
2001-05-31,182.93
2001-06-29,186.96
2001-07-31,186.668
2001-08-31,198.046
2001-09-28,180.936
2001-10-31,196.042
2001-11-30,211.045
2001-12-31,211.955
2002-01-31,216.595
2002-02-28,222.668
2002-03-29,233.894
2002-04-30,235.054
2002-05-31,253.635
2002-06-28,247.757
2002-07-31,234.817
2002-08-30,246.638
2002-09-30,239.91
2002-10-31,245.255
2002-11-29,252.164
2002-12-31,258.453
2003-01-31,270.211
2003-02-28,268.823
2003-03-31,276.345
2003-04-30,297.863
2003-05-30,318.811
2003-06-30,337.266
2003-07-31,340.344
2003-08-29,345.562
2003-09-30,367.367
2003-10-31,395.793
2003-11-28,389.254
2003-12-31,419.834
2004-01-30,424.494
2004-02-27,441.535
2004-03-31,445.703
2004-04-30,413.589
2004-05-31,418.76
2004-06-30,416.243
2004-07-30,443.105
2004-08-31,451.639
2004-09-30,478.036
2004-10-29,513.012
2004-11-30,549.307
2004-12-31,573.747
2005-01-31,573.408
2005-02-28,568.224
2005-03-31,555.713
2005-04-29,536.6
2005-05-31,527.126
2005-06-30,562.668
2005-07-29,585.029
2005-08-31,597.313
2005-09-30,631.024
2005-10-31,598.51
2005-11-30,622.811
2005-12-30,629.2
2006-01-31,649.229
2006-02-28,650.203
2006-03-31,653.962
2006-04-28,687.525
2006-05-31,656.817
2006-06-30,658.269
2006-07-31,677.416
2006-08-31,696.769
2006-09-29,711.558
2006-10-31,760.221
2006-11-30,794.426
2006-12-29,822.907
2007-01-31,828.022
2007-02-28,843.653
2007-03-30,886.686
2007-04-30,958.61
2007-05-31,1000.0
2007-06-29,1021.124
2007-07-31,1001.795
2007-08-31,946.644
2007-09-28,1036.665
2007-10-31,1094.871
2007-11-30,1005.105
2007-12-31,976.55
2008-01-31,869.038
2008-02-29,905.281
2008-03-31,859.855
2008-04-30,912.293
2008-05-30,889.861
2008-06-30,760.067
2008-07-31,763.835
2008-08-29,719.32
2008-09-30,586.055
2008-10-31,367.057
2008-11-28,314.542
2008-12-31,333.969
2009-01-30,272.323
2009-02-27,238.622
2009-03-31,305.862
2009-04-30,362.546
2009-05-29,408.801
2009-06-30,444.601
2009-07-31,510.773
2009-08-31,573.712
2009-09-30,631.733
2009-10-30,643.279
2009-11-30,649.829
2009-12-31,669.032
2010-01-29,621.255
2010-02-26,619.254
2010-03-31,645.883
2010-04-30,658.949
2010-05-31,543.382
2010-06-30,520.346
2010-07-30,584.449
2010-08-31,587.317
2010-09-30,685.331
2010-10-29,707.6
2010-11-30,687.267
2010-12-31,768.539
2011-01-31,746.229
2011-02-28,767.067
2011-03-31,777.994
2011-04-29,818.022
2011-05-31,783.943
2011-06-30,765.653
2011-07-29,764.275
2011-08-31,714.273
2011-09-30,598.567
2011-10-31,710.349
2011-11-30,668.389
2011-12-30,647.852
2012-01-31,711.304
2012-02-29,759.487
2012-03-30,741.429
2012-04-30,746.589
2012-05-31,641.392
2012-06-29,655.193
2012-07-31,686.841
2012-08-31,681.447
2012-09-28,696.449
2012-10-31,713.116
2012-11-30,716.712
2012-12-31,750.804
2013-01-31,802.502
2013-02-28,830.256
2013-03-29,833.862
2013-04-30,823.911
2013-05-31,708.451
2013-06-28,634.741
2013-07-31,671.804
2013-08-30,689.125
2013-09-30,739.495
2013-10-31,778.566
2013-11-29,735.575
2013-12-31,740.764
2014-01-31,705.2
2014-02-28,756.506
2014-03-31,776.971
2014-04-30,789.429
2014-05-30,786.368
2014-06-30,789.422
2014-07-31,820.567
2014-08-29,829.137
2014-09-30,721.119
2014-10-31,736.542
2014-11-28,683.687
2014-12-31,667.947
2015-01-30,633.354
2015-02-27,679.527
2015-03-31,656.895
2015-04-30,676.0
2015-05-29,676.861
2015-06-30,622.5
2015-07-31,603.971
2015-08-31,566.492
2015-09-30,541.511
2015-10-30,587.602
2015-11-30,572.153
2015-12-31,577.322
2016-01-29,532.106
2016-02-29,558.692
2016-03-31,651.479
2016-04-29,664.81
2016-05-31,644.802
2016-06-30,658.416
2016-07-29,731.225
2016-08-31,731.456
2016-09-30,743.978
2016-10-31,713.658
2016-11-30,711.155
2016-12-30,740.842
2017-01-31,760.444
2017-02-28,788.48
2017-03-31,811.715
2017-04-28,800.221
2017-05-31,794.568
2017-06-30,834.26
2017-07-31,871.88
2017-08-31,891.849
2017-09-29,873.584
2017-10-31,890.397
2017-11-30,906.482
2017-12-29,948.487
2018-01-31,976.387
2018-02-28,934.99
2018-03-30,904.044
2018-04-30,921.788
2018-05-31,926.517
2018-06-29,911.579
2018-07-31,920.19
2018-08-31,914.85
2018-09-28,920.081
2018-10-31,826.656
2018-11-30,837.67
2018-12-31,778.432
2019-01-31,845.949
2019-02-28,891.404
2019-03-29,889.376
2019-04-30,906.676
2019-05-31,876.95
2019-06-28,886.32
2019-07-31,901.65
2019-08-30,856.926
2019-09-30,893.562
2019-10-31,910.363
2019-11-29,909.953
2019-12-31,934.596
2020-01-31,908.788
2020-02-28,791.624
2020-03-31,579.833
2020-04-30,708.143
2020-05-29,782.882
2020-06-30,824.261
2020-07-31,854.748
2020-08-31,938.478
2020-09-30,891.487
2020-10-30,888.476
2020-11-30,1043.439
2020-12-31,1125.509
2021-01-29,1103.638
2021-02-26,1144.159
2021-03-31,1168.739
2021-04-30,1209.99
2021-05-31,1217.883
2021-06-30,1209.137
2021-07-30,1195.53
2021-08-31,1233.981
2021-09-30,1210.563
2021-10-29,1261.804
2021-11-30,1170.698
2021-12-31,1256.852
2022-01-31,1143.586
2022-02-28,1223.308
2022-03-31,1321.32
2022-04-29,1268.107
2022-05-31,1215.82
2022-06-30,1042.801
2022-07-29,1151.828
2022-08-31,1148.007
2022-09-30,985.463
2022-10-31,1042.763
2022-11-30,1148.511
2022-12-30,1134.275
2023-01-31,1225.016
2023-02-28,1139.436
2023-03-31,1112.868
2023-04-28,1130.106
2023-05-31,1080.317
2023-06-30,1120.923
2023-07-31,1191.344
2023-08-31,1121.775
2023-09-29,1078.63
2023-10-31,1004.966
2023-11-30,1105.88
2023-12-29,1223.798
2024-01-31,1181.318
2024-02-29,1166.594
2024-03-29,1229.548
2024-04-30,1181.959
2024-05-31,1200.894
2024-06-28,1190.815
2024-07-31,1238.355
2024-08-30,1296.982
2024-09-30,1374.624
2024-10-31,1278.388
2024-11-29,1292.389
2024-12-31,1198.28
