Date,AUSTRALIA SMALL VALUE Small Cap
2001-01-01,192.471
2001-01-02,195.565
2001-01-03,195.79
2001-01-04,197.746
2001-01-05,199.308
2001-01-08,196.999
2001-01-09,194.451
2001-01-10,193.174
2001-01-11,192.394
2001-01-12,191.35
2001-01-15,189.014
2001-01-16,189.596
2001-01-17,188.401
2001-01-18,191.585
2001-01-19,192.393
2001-01-22,192.39
2001-01-23,192.702
2001-01-24,189.593
2001-01-25,189.929
2001-01-26,189.406
2001-01-29,190.289
2001-01-30,190.922
2001-01-31,192.842
2001-02-01,195.691
2001-02-02,194.35
2001-02-05,193.222
2001-02-06,193.779
2001-02-07,191.455
2001-02-08,188.007
2001-02-09,186.916
2001-02-12,188.348
2001-02-13,186.909
2001-02-14,185.763
2001-02-15,183.363
2001-02-16,184.949
2001-02-19,184.393
2001-02-20,182.956
2001-02-21,183.97
2001-02-22,183.14
2001-02-23,182.696
2001-02-26,182.646
2001-02-27,183.393
2001-02-28,184.27
2001-03-01,184.956
2001-03-02,186.982
2001-03-05,185.09
2001-03-06,184.427
2001-03-07,182.631
2001-03-08,182.365
2001-03-09,181.768
2001-03-12,181.645
2001-03-13,177.726
2001-03-14,177.245
2001-03-15,173.38
2001-03-16,173.605
2001-03-19,174.678
2001-03-20,175.178
2001-03-21,174.084
2001-03-22,172.615
2001-03-23,173.023
2001-03-26,174.001
2001-03-27,174.129
2001-03-28,171.973
2001-03-29,170.28
2001-03-30,168.122
2001-04-02,169.032
2001-04-03,168.707
2001-04-04,170.177
2001-04-05,170.918
2001-04-06,173.835
2001-04-09,173.211
2001-04-10,173.554
2001-04-11,175.858
2001-04-12,178.512
2001-04-13,178.512
2001-04-16,179.075
2001-04-17,177.817
2001-04-18,175.081
2001-04-19,181.073
2001-04-20,184.195
2001-04-23,179.001
2001-04-24,178.404
2001-04-25,178.829
2001-04-26,181.709
2001-04-27,181.401
2001-04-30,181.657
2001-05-01,184.145
2001-05-02,185.386
2001-05-03,186.296
2001-05-04,185.288
2001-05-07,185.451
2001-05-08,184.983
2001-05-09,185.897
2001-05-10,188.456
2001-05-11,186.494
2001-05-14,185.304
2001-05-15,186.467
2001-05-16,187.694
2001-05-17,191.352
2001-05-18,191.033
2001-05-21,194.344
2001-05-22,190.497
2001-05-23,189.644
2001-05-24,188.655
2001-05-25,189.208
2001-05-28,189.879
2001-05-29,187.636
2001-05-30,186.446
2001-05-31,182.93
2001-06-01,184.009
2001-06-04,183.884
2001-06-05,183.117
2001-06-06,184.365
2001-06-07,187.328
2001-06-08,188.257
2001-06-11,187.836
2001-06-12,187.531
2001-06-13,189.279
2001-06-14,188.906
2001-06-15,189.208
2001-06-18,186.626
2001-06-19,186.276
2001-06-20,185.865
2001-06-21,187.413
2001-06-22,188.05
2001-06-25,187.962
2001-06-26,189.429
2001-06-27,188.551
2001-06-28,186.24
2001-06-29,186.96
2001-07-02,186.534
2001-07-03,188.443
2001-07-04,189.732
2001-07-05,189.451
2001-07-06,185.122
2001-07-09,185.166
2001-07-10,186.835
2001-07-11,186.023
2001-07-12,185.793
2001-07-13,187.704
2001-07-16,188.942
2001-07-17,186.933
2001-07-18,190.439
2001-07-19,190.661
2001-07-20,187.73
2001-07-23,188.211
2001-07-24,187.417
2001-07-25,186.469
2001-07-26,186.119
2001-07-27,185.198
2001-07-30,185.616
2001-07-31,186.668
2001-08-01,191.066
2001-08-02,193.052
2001-08-03,192.408
2001-08-06,193.706
2001-08-07,192.761
2001-08-08,193.407
2001-08-09,193.159
2001-08-10,194.052
2001-08-13,195.789
2001-08-14,195.051
2001-08-15,198.031
2001-08-16,196.914
2001-08-17,200.918
2001-08-20,198.646
2001-08-21,198.611
2001-08-22,200.845
2001-08-23,199.426
2001-08-24,199.353
2001-08-27,200.033
2001-08-28,200.675
2001-08-29,200.769
2001-08-30,201.341
2001-08-31,198.046
2001-09-03,198.467
2001-09-04,197.625
2001-09-05,197.141
2001-09-06,197.139
2001-09-07,195.718
2001-09-10,192.687
2001-09-11,196.608
2001-09-12,190.959
2001-09-13,190.601
2001-09-14,189.674
2001-09-17,180.387
2001-09-18,181.324
2001-09-19,181.473
2001-09-20,180.262
2001-09-21,175.144
2001-09-24,174.845
2001-09-25,177.294
2001-09-26,176.788
2001-09-27,176.34
2001-09-28,180.936
2001-10-01,181.596
2001-10-02,185.139
2001-10-03,185.965
2001-10-04,186.1
2001-10-05,189.892
2001-10-08,191.213
2001-10-09,190.395
2001-10-10,190.289
2001-10-11,189.644
2001-10-12,190.711
2001-10-15,195.102
2001-10-16,196.869
2001-10-17,198.869
2001-10-18,195.816
2001-10-19,193.767
2001-10-22,194.569
2001-10-23,194.989
2001-10-24,194.768
2001-10-25,196.13
2001-10-26,195.417
2001-10-29,196.828
2001-10-30,197.567
2001-10-31,196.042
2001-11-01,198.105
2001-11-02,198.212
2001-11-05,197.378
2001-11-06,201.59
2001-11-07,202.951
