Date,WORLD IMI IMI (Large+Mid+Small Cap)
2003-06-30,481.86
2003-07-31,492.648
2003-08-29,505.131
2003-09-30,508.902
2003-10-31,540.238
2003-11-28,549.117
2003-12-31,581.158
2004-01-30,592.669
2004-02-27,603.767
2004-03-31,602.753
2004-04-30,588.654
2004-05-31,594.42
2004-06-30,608.32
2004-07-30,587.293
2004-08-31,589.671
2004-09-30,602.354
2004-10-29,617.087
2004-11-30,651.138
2004-12-31,676.656
2005-01-31,662.385
2005-02-28,683.522
2005-03-31,670.498
2005-04-29,654.968
2005-05-31,669.07
2005-06-30,677.259
2005-07-29,702.597
2005-08-31,707.991
2005-09-30,725.857
2005-10-31,708.407
2005-11-30,732.534
2005-12-30,749.595
2006-01-31,785.897
2006-02-28,784.707
2006-03-31,804.457
2006-04-28,828.147
2006-05-31,799.67
2006-06-30,799.208
2006-07-31,801.994
2006-08-31,823.069
2006-09-29,832.356
2006-10-31,863.713
2006-11-30,886.684
2006-12-29,904.404
2007-01-31,916.243
2007-02-28,913.238
2007-03-30,930.785
2007-04-30,971.105
2007-05-31,1000.0
2007-06-29,992.058
2007-07-31,969.135
2007-08-31,967.086
2007-09-28,1011.177
2007-10-31,1043.72
2007-11-30,999.06
2007-12-31,985.715
2008-01-31,910.463
2008-02-29,906.908
2008-03-31,898.073
2008-04-30,944.932
2008-05-30,963.453
2008-06-30,886.85
2008-07-31,866.093
2008-08-29,855.696
2008-09-30,752.834
2008-10-31,606.995
2008-11-28,566.699
2008-12-31,586.929
2009-01-30,536.411
2009-02-27,481.727
2009-03-31,518.716
2009-04-30,580.492
2009-05-29,633.534
2009-06-30,632.134
2009-07-31,686.101
2009-08-31,716.332
2009-09-30,746.794
2009-10-30,731.658
2009-11-30,760.365
2009-12-31,776.825
2010-01-29,746.518
2010-02-26,758.176
2010-03-31,807.007
2010-04-30,811.52
2010-05-31,734.474
2010-06-30,708.353
2010-07-30,765.637
2010-08-31,736.471
2010-09-30,807.529
2010-10-29,838.044
2010-11-30,823.268
2010-12-31,886.357
2011-01-31,904.911
2011-02-28,937.639
2011-03-31,931.615
2011-04-29,971.137
2011-05-31,951.937
2011-06-30,936.449
2011-07-29,919.031
2011-08-31,853.098
2011-09-30,776.723
2011-10-31,858.809
2011-11-30,838.345
2011-12-30,837.32
2012-01-31,882.417
2012-02-29,925.562
2012-03-30,937.557
2012-04-30,928.054
2012-05-31,848.408
2012-06-29,890.41
2012-07-31,900.449
2012-08-31,924.569
2012-09-28,951.275
2012-10-31,945.222
2012-11-30,957.464
2012-12-31,977.585
2013-01-31,1028.593
2013-02-28,1031.644
2013-03-29,1057.832
2013-04-30,1089.156
2013-05-31,1091.888
2013-06-28,1065.876
2013-07-31,1123.933
2013-08-30,1100.771
2013-09-30,1159.068
2013-10-31,1203.385
2013-11-29,1225.362
2013-12-31,1252.162
2014-01-31,1209.177
2014-02-28,1270.735
2014-03-31,1272.243
2014-04-30,1281.224
2014-05-30,1306.108
2014-06-30,1333.833
2014-07-31,1308.332
2014-08-29,1339.233
2014-09-30,1298.12
2014-10-31,1308.64
2014-11-28,1332.704
2014-12-31,1315.592
2015-01-30,1292.054
2015-02-27,1368.889
2015-03-31,1351.562
2015-04-30,1381.318
2015-05-29,1389.232
2015-06-30,1360.141
2015-07-31,1380.852
2015-08-31,1292.443
2015-09-30,1244.356
2015-10-30,1339.668
2015-11-30,1336.467
2015-12-31,1312.153
2016-01-29,1230.86
2016-02-29,1224.7
2016-03-31,1311.313
2016-04-29,1334.182
2016-05-31,1343.98
2016-06-30,1328.161
2016-07-29,1386.91
2016-08-31,1388.849
2016-09-30,1398.677
2016-10-31,1368.611
2016-11-30,1394.074
2016-12-30,1427.943
2017-01-31,1462.511
2017-02-28,1502.465
2017-03-31,1518.861
2017-04-28,1543.157
2017-05-31,1574.111
2017-06-30,1583.26
2017-07-31,1621.345
2017-08-31,1623.956
2017-09-29,1664.796
2017-10-31,1695.656
2017-11-30,1733.26
2017-12-29,1757.622
2018-01-31,1846.648
2018-02-28,1771.226
2018-03-30,1739.064
2018-04-30,1759.526
2018-05-31,1776.997
2018-06-29,1776.123
2018-07-31,1827.324
2018-08-31,1853.134
2018-09-28,1859.157
2018-10-31,1716.601
2018-11-30,1735.835
2018-12-31,1600.746
2019-01-31,1731.014
2019-02-28,1785.581
2019-03-29,1805.647
2019-04-30,1869.672
2019-05-31,1761.535
2019-06-28,1876.64
2019-07-31,1886.626
2019-08-30,1845.641
2019-09-30,1885.655
2019-10-31,1934.663
2019-11-29,1990.518
2019-12-31,2052.08
2020-01-31,2034.625
2020-02-28,1861.652
2020-03-31,1599.531
2020-04-30,1779.554
2020-05-29,1871.166
2020-06-30,1921.3
2020-07-31,2011.883
2020-08-31,2144.826
2020-09-30,2074.818
2020-10-30,2018.946
2020-11-30,2284.078
2020-12-31,2390.35
2021-01-29,2376.169
2021-02-26,2445.127
2021-03-31,2524.043
2021-04-30,2640.117
2021-05-31,2677.662
2021-06-30,2713.98
2021-07-30,2754.588
2021-08-31,2823.791
2021-09-30,2711.476
2021-10-29,2858.709
2021-11-30,2787.552
2021-12-31,2905.596
2022-01-31,2744.432
2022-02-28,2684.815
2022-03-31,2754.255
2022-04-29,2528.183
2022-05-31,2531.152
2022-06-30,2308.812
2022-07-29,2495.971
2022-08-31,2395.319
2022-09-30,2170.893
2022-10-31,2329.565
2022-11-30,2490.482
2022-12-30,2388.03
2023-01-31,2563.72
2023-02-28,2504.17
2023-03-31,2566.684
2023-04-28,2607.65
2023-05-31,2578.489
2023-06-30,2736.095
2023-07-31,2833.269
2023-08-31,2762.339
2023-09-29,2641.416
2023-10-31,2556.303
2023-11-30,2797.086
2023-12-29,2949.179
2024-01-31,2972.52
2024-02-29,3096.877
2024-03-29,3200.38
2024-04-30,3078.052
2024-05-31,3217.83
2024-06-28,3271.01
2024-07-31,3346.155
2024-08-30,3428.17
2024-09-30,3492.435
2024-10-31,3421.322
2024-11-29,3586.171
2024-12-31,3481.131
2025-01-31,3604.511
2025-02-28,3570.067
2025-03-31,3415.668
2025-04-30,3446.934
2025-05-30,3652.936
2025-06-30,3813.45
2025-07-31,3862.983
