Date,WORLD IMI IMI (Large+Mid+Small Cap)
2001-01-01,623.365
2001-01-02,610.743
2001-01-03,625.138
2001-01-04,623.889
2001-01-05,615.099
2001-01-08,612.498
2001-01-09,609.306
2001-01-10,612.14
2001-01-11,618.368
2001-01-12,618.59
2001-01-15,617.982
2001-01-16,619.445
2001-01-17,623.891
2001-01-18,631.54
2001-01-19,629.347
2001-01-22,629.698
2001-01-23,634.963
2001-01-24,633.697
2001-01-25,631.885
2001-01-26,630.845
2001-01-29,634.113
2001-01-30,637.811
2001-01-31,637.682
2001-02-01,640.027
2001-02-02,630.188
2001-02-05,630.566
2001-02-06,629.757
2001-02-07,624.718
2001-02-08,618.925
2001-02-09,612.932
2001-02-12,618.743
2001-02-13,614.031
2001-02-14,611.468
2001-02-15,614.271
2001-02-16,605.795
2001-02-19,605.118
2001-02-20,596.5
2001-02-21,588.365
2001-02-22,585.575
2001-02-23,582.744
2001-02-26,590.585
2001-02-27,588.577
2001-02-28,582.43
2001-03-01,581.648
2001-03-02,578.57
2001-03-05,580.487
2001-03-06,588.465
2001-03-07,590.2
2001-03-08,589.79
2001-03-09,580.038
2001-03-12,559.941
2001-03-13,558.208
2001-03-14,546.066
2001-03-15,549.136
2001-03-16,537.726
2001-03-19,542.708
2001-03-20,538.472
2001-03-21,532.457
2001-03-22,520.901
2001-03-23,533.502
2001-03-26,544.777
2001-03-27,554.773
2001-03-28,544.824
2001-03-29,538.927
2001-03-30,541.697
2001-04-02,535.419
2001-04-03,522.443
2001-04-04,525.271
2001-04-05,541.577
2001-04-06,536.522
2001-04-09,538.938
2001-04-10,548.148
2001-04-11,549.051
2001-04-12,556.506
2001-04-13,556.398
2001-04-16,552.707
2001-04-17,554.549
2001-04-18,571.611
2001-04-19,580.813
2001-04-20,578.334
2001-04-23,571.394
2001-04-24,567.483
2001-04-25,573.656
2001-04-26,577.93
2001-04-27,582.62
2001-04-30,583.794
2001-05-01,591.665
2001-05-02,593.294
2001-05-03,586.378
2001-05-04,591.86
2001-05-07,592.117
2001-05-08,588.95
2001-05-09,585.322
2001-05-10,586.893
2001-05-11,582.52
2001-05-14,578.611
2001-05-15,582.113
2001-05-16,590.664
2001-05-17,595.449
2001-05-18,595.91
2001-05-21,603.728
2001-05-22,602.876
2001-05-23,596.022
2001-05-24,596.622
2001-05-25,591.629
2001-05-28,591.546
2001-05-29,587.044
2001-05-30,578.282
2001-05-31,579.088
2001-06-01,580.351
2001-06-04,582.574
2001-06-05,588.17
2001-06-06,583.749
2001-06-07,586.545
2001-06-08,582.8
2001-06-11,576.037
2001-06-12,572.43
2001-06-13,570.888
2001-06-14,564.27
2001-06-15,561.054
2001-06-18,556.791
2001-06-19,556.842
2001-06-20,558.0
2001-06-21,562.53
2001-06-22,561.111
2001-06-25,559.931
2001-06-26,557.835
2001-06-27,556.406
2001-06-28,559.187
2001-06-29,563.082
2001-07-02,566.307
2001-07-03,564.528
2001-07-04,562.567
2001-07-05,555.173
2001-07-06,545.032
2001-07-09,546.689
2001-07-10,543.249
2001-07-11,540.972
2001-07-12,549.77
2001-07-13,551.421
2001-07-16,547.22
2001-07-17,547.762
2001-07-18,546.342
2001-07-19,549.865
2001-07-20,548.579
2001-07-23,541.468
2001-07-24,536.388
2001-07-25,540.135
2001-07-26,544.104
2001-07-27,546.701
2001-07-30,546.648
2001-07-31,551.112
2001-08-01,555.206
2001-08-02,558.98
2001-08-03,556.19
2001-08-06,551.602
2001-08-07,551.973
2001-08-08,544.924
2001-08-09,542.227
2001-08-10,544.057
2001-08-13,544.729
2001-08-14,547.331
2001-08-15,547.595
2001-08-16,545.659
2001-08-17,539.068
2001-08-20,539.107
2001-08-21,537.828
2001-08-22,541.293
2001-08-23,538.346
2001-08-24,545.964
2001-08-27,545.032
2001-08-28,538.438
2001-08-29,534.785
2001-08-30,526.168
2001-08-31,526.953
2001-09-03,523.397
2001-09-04,523.923
2001-09-05,519.079
2001-09-06,509.86
2001-09-07,503.037
2001-09-10,500.047
2001-09-11,493.832
2001-09-12,490.153
2001-09-13,492.726
2001-09-14,489.963
2001-09-17,475.262
2001-09-18,472.876
2001-09-19,468.558
2001-09-20,454.711
2001-09-21,443.102
2001-09-24,458.136
2001-09-25,463.966
2001-09-26,462.938
2001-09-27,466.635
2001-09-28,476.8
2001-10-01,474.6
2001-10-02,479.407
2001-10-03,485.625
2001-10-04,490.344
2001-10-05,490.881
2001-10-08,488.69
2001-10-09,485.731
2001-10-10,493.133
2001-10-11,500.188
2001-10-12,499.7
2001-10-15,496.662
2001-10-16,500.688
2001-10-17,498.605
2001-10-18,492.475
2001-10-19,490.963
2001-10-22,495.732
2001-10-23,498.045
2001-10-24,499.527
2001-10-25,502.175
2001-10-26,505.307
2001-10-29,497.544
2001-10-30,489.381
2001-10-31,489.955
2001-11-01,497.428
2001-11-02,498.014
2001-11-05,504.022
2001-11-06,509.044
2001-11-07,508.721
2001-11-08,511.163
2001-11-09,509.801
2001-11-12,506.497
2001-11-13,513.359
2001-11-14,515.233
2001-11-15,516.514
2001-11-16,517.879
2001-11-19,522.577
2001-11-20,518.746
2001-11-21,515.839
2001-11-22,517.31
2001-11-23,519.483
2001-11-26,523.668
2001-11-27,520.795
2001-11-28,513.454
2001-11-29,516.136
2001-11-30,518.028
2001-12-03,512.597
2001-12-04,518.614
2001-12-05,530.308
2001-12-06,531.481
2001-12-07,527.119
2001-12-10,518.689
2001-12-11,517.638
2001-12-12,518.694
2001-12-13,510.748
2001-12-14,510.42
2001-12-17,515.88
2001-12-18,517.876
2001-12-19,517.489
2001-12-20,514.267
2001-12-21,515.794
2001-12-24,514.814
2001-12-25,514.624
2001-12-26,515.799
2001-12-27,521.801
2001-12-28,524.409
2001-12-31,522.715
2002-01-01,522.714
2002-01-02,524.066
2002-01-03,529.325
2002-01-04,532.598
2002-01-07,529.312
2002-01-08,525.709
2002-01-09,523.742
2002-01-10,522.37
2002-01-11,519.621
2002-01-14,514.995
2002-01-15,516.398
2002-01-16,509.079
2002-01-17,512.773
2002-01-18,510.472
2002-01-21,509.803
2002-01-22,506.061
2002-01-23,508.984
2002-01-24,511.207
2002-01-25,509.229
2002-01-28,510.641
2002-01-29,500.72
2002-01-30,501.239
2002-01-31,506.888
2002-02-01,504.442
2002-02-04,496.539
2002-02-05,492.131
2002-02-06,488.578
2002-02-07,489.405
2002-02-08,494.427
2002-02-11,500.938
2002-02-12,500.9
2002-02-13,504.353
2002-02-14,505.15
2002-02-15,501.328
2002-02-18,500.173
2002-02-19,491.384
2002-02-20,493.474
2002-02-21,491.718
2002-02-22,493.543
2002-02-25,498.966
2002-02-26,499.668
2002-02-27,502.354
2002-02-28,502.133
2002-03-01,510.857
2002-03-04,523.537
2002-03-05,521.474
2002-03-06,527.481
2002-03-07,531.304
2002-03-08,533.602
2002-03-11,534.744
2002-03-12,530.202
2002-03-13,526.455
2002-03-14,528.44
2002-03-15,533.393
2002-03-18,533.028
2002-03-19,535.87
2002-03-20,530.171
2002-03-21,530.088
2002-03-22,527.727
2002-03-25,521.676
2002-03-26,523.35
2002-03-27,525.508
2002-03-28,528.192
2002-03-29,527.139
2002-04-01,527.61
2002-04-02,525.175
2002-04-03,522.904
2002-04-04,522.775
2002-04-05,521.711
2002-04-08,520.199
2002-04-09,518.213
2002-04-10,523.552
2002-04-11,515.068
2002-04-12,516.639
2002-04-15,516.567
2002-04-16,526.405
2002-04-17,527.836
2002-04-18,527.707
2002-04-19,527.644
2002-04-22,523.099
2002-04-23,521.133
2002-04-24,519.083
2002-04-25,518.828
2002-04-26,513.929
2002-04-29,511.118
2002-04-30,514.763
2002-05-01,518.224
2002-05-02,516.938
2002-05-03,515.431
2002-05-06,510.034
2002-05-07,506.022
2002-05-08,518.198
2002-05-09,514.135
2002-05-10,509.095
2002-05-13,514.278
2002-05-14,519.847
2002-05-15,521.889
2002-05-16,523.712
2002-05-17,528.399
