Date,WORLD IMI IMI (Large+Mid+Small Cap)
2001-01-01,641.021
2001-01-02,628.039
2001-01-03,642.831
2001-01-04,641.546
2001-01-05,632.506
2001-01-08,629.822
2001-01-09,626.536
2001-01-10,629.446
2001-01-11,635.844
2001-01-12,636.072
2001-01-15,635.447
2001-01-16,636.946
2001-01-17,641.513
2001-01-18,649.375
2001-01-19,647.121
2001-01-22,647.48
2001-01-23,652.894
2001-01-24,651.591
2001-01-25,649.727
2001-01-26,648.656
2001-01-29,652.011
2001-01-30,655.807
2001-01-31,655.662
2001-02-01,658.065
2001-02-02,647.948
2001-02-05,648.335
2001-02-06,647.498
2001-02-07,642.3
2001-02-08,636.343
2001-02-09,630.178
2001-02-12,636.15
2001-02-13,631.298
2001-02-14,628.647
2001-02-15,631.522
2001-02-16,622.805
2001-02-19,622.106
2001-02-20,613.242
2001-02-21,604.874
2001-02-22,602.001
2001-02-23,599.08
2001-02-26,607.136
2001-02-27,605.065
2001-02-28,598.733
2001-03-01,597.926
2001-03-02,594.763
2001-03-05,596.717
2001-03-06,604.916
2001-03-07,606.682
2001-03-08,606.259
2001-03-09,596.231
2001-03-12,575.572
2001-03-13,573.772
2001-03-14,561.289
2001-03-15,564.443
2001-03-16,552.714
2001-03-19,557.829
2001-03-20,553.474
2001-03-21,547.284
2001-03-22,535.396
2001-03-23,548.344
2001-03-26,559.927
2001-03-27,570.137
2001-03-28,559.897
2001-03-29,553.831
2001-03-30,556.672
2001-04-02,550.22
2001-04-03,536.882
2001-04-04,539.773
2001-04-05,556.526
2001-04-06,551.303
2001-04-09,553.782
2001-04-10,563.235
2001-04-11,564.145
2001-04-12,571.792
2001-04-13,571.681
2001-04-16,567.888
2001-04-17,569.769
2001-04-18,587.294
2001-04-19,596.738
2001-04-20,594.188
2001-04-23,587.042
2001-04-24,583.022
2001-04-25,589.354
2001-04-26,593.734
2001-04-27,598.534
2001-04-30,599.732
2001-05-01,607.816
2001-05-02,609.466
2001-05-03,602.347
2001-05-04,607.965
2001-05-07,608.219
2001-05-08,604.959
2001-05-09,601.217
2001-05-10,602.815
2001-05-11,598.304
2001-05-14,594.27
2001-05-15,597.865
2001-05-16,606.627
2001-05-17,611.533
2001-05-18,611.986
2001-05-21,619.978
2001-05-22,619.099
2001-05-23,612.045
2001-05-24,612.659
2001-05-25,607.524
2001-05-28,607.433
2001-05-29,602.792
2001-05-30,593.766
2001-05-31,594.58
2001-06-01,595.865
2001-06-04,598.142
2001-06-05,603.882
2001-06-06,599.325
2001-06-07,602.19
2001-06-08,598.329
2001-06-11,591.376
2001-06-12,587.671
2001-06-13,586.068
2001-06-14,579.262
2001-06-15,575.96
2001-06-18,571.547
2001-06-19,571.599
2001-06-20,572.782
2001-06-21,577.427
2001-06-22,575.97
2001-06-25,574.766
2001-06-26,572.61
2001-06-27,571.131
2001-06-28,573.981
2001-06-29,577.978
2001-07-02,581.282
2001-07-03,579.441
2001-07-04,577.428
2001-07-05,569.824
2001-07-06,559.401
2001-07-09,561.1
2001-07-10,557.564
2001-07-11,555.221
2001-07-12,564.247
2001-07-13,565.941
2001-07-16,561.628
2001-07-17,562.183
2001-07-18,560.719
2001-07-19,564.334
2001-07-20,563.013
2001-07-23,555.713
2001-07-24,550.499
2001-07-25,554.344
2001-07-26,558.416
2001-07-27,561.074
2001-07-30,561.016
2001-07-31,565.596
2001-08-01,569.788
2001-08-02,573.653
2001-08-03,570.78
2001-08-06,566.07
2001-08-07,566.447
2001-08-08,559.203
2001-08-09,556.421
2001-08-10,558.298
2001-08-13,558.976
2001-08-14,561.643
2001-08-15,561.887
2001-08-16,559.897
2001-08-17,553.125
2001-08-20,553.165
2001-08-21,551.852
2001-08-22,555.402
2001-08-23,552.377
2001-08-24,560.19
2001-08-27,559.225
2001-08-28,552.455
2001-08-29,548.694
2001-08-30,539.845
2001-08-31,540.649
2001-09-03,536.996
2001-09-04,537.535
2001-09-05,532.55
2001-09-06,523.088
2001-09-07,516.086
2001-09-10,513.017
2001-09-11,506.636
2001-09-12,502.861
2001-09-13,505.498
2001-09-14,502.663
2001-09-17,487.562
2001-09-18,485.113
2001-09-19,480.679
2001-09-20,466.473
2001-09-21,454.565
2001-09-24,469.985
2001-09-25,475.917
2001-09-26,474.84
2001-09-27,478.63
2001-09-28,489.055
2001-10-01,486.797
2001-10-02,491.727
2001-10-03,498.086
2001-10-04,502.925
2001-10-05,503.46
2001-10-08,501.213
2001-10-09,498.173
2001-10-10,505.761
2001-10-11,512.992
2001-10-12,512.491
2001-10-15,509.375
2001-10-16,513.504
2001-10-17,511.375
2001-10-18,505.086
2001-10-19,503.535
2001-10-22,508.425
2001-10-23,510.798
2001-10-24,512.316
2001-10-25,515.03
2001-10-26,518.241
2001-10-29,510.273
2001-10-30,501.899
2001-10-31,502.478
2001-11-01,510.131
2001-11-02,510.73
2001-11-05,516.889
2001-11-06,522.038
2001-11-07,521.685
2001-11-08,524.185
2001-11-09,522.787
2001-11-12,519.397
2001-11-13,526.422
2001-11-14,528.327
2001-11-15,529.638
2001-11-16,531.032
2001-11-19,535.844
2001-11-20,531.911
2001-11-21,528.929
2001-11-22,530.435
2001-11-23,532.662
2001-11-26,536.952
2001-11-27,534.005
2001-11-28,526.464
2001-11-29,529.204
2001-11-30,531.144
2001-12-03,525.575
2001-12-04,531.743
2001-12-05,543.711
2001-12-06,544.909
2001-12-07,540.437
2001-12-10,531.792
2001-12-11,530.712
2001-12-12,531.781
2001-12-13,523.631
2001-12-14,523.295
2001-12-17,528.891
2001-12-18,530.936
2001-12-19,530.536
2001-12-20,527.222
2001-12-21,528.785
2001-12-24,527.778
2001-12-25,527.581
2001-12-26,528.785
2001-12-27,534.913
2001-12-28,537.585
2001-12-31,535.847
2002-01-01,535.847
2002-01-02,537.219
2002-01-03,542.609
2002-01-04,545.964
2002-01-07,542.595
2002-01-08,538.883
2002-01-09,536.863
2002-01-10,535.453
2002-01-11,532.631
2002-01-14,527.888
2002-01-15,529.327
2002-01-16,521.818
2002-01-17,525.602
2002-01-18,523.239
2002-01-21,522.553
2002-01-22,518.716
2002-01-23,521.712
2002-01-24,523.989
2002-01-25,521.962
2002-01-28,523.407
2002-01-29,513.232
2002-01-30,513.755
2002-01-31,519.534
2002-02-01,517.027
2002-02-04,508.925
2002-02-05,504.405
2002-02-06,500.756
2002-02-07,501.59
2002-02-08,506.736
2002-02-11,513.404
2002-02-12,513.364
2002-02-13,516.879
2002-02-14,517.689
2002-02-15,513.769
2002-02-18,512.583
2002-02-19,503.572
2002-02-20,505.708
2002-02-21,503.907
2002-02-22,505.777
2002-02-25,511.33
2002-02-26,512.044
2002-02-27,514.768
2002-02-28,514.539
2002-03-01,523.477
2002-03-04,536.464
2002-03-05,534.348
2002-03-06,540.487
2002-03-07,544.4
2002-03-08,546.753
2002-03-11,547.922
2002-03-12,543.266
2002-03-13,539.403
2002-03-14,541.434
2002-03-15,546.508
2002-03-18,546.126
2002-03-19,549.037
2002-03-20,543.188
2002-03-21,543.098
2002-03-22,540.669
2002-03-25,534.468
2002-03-26,536.107
2002-03-27,538.312
2002-03-28,541.061
2002-03-29,539.982
2002-04-01,540.464
2002-04-02,537.964
2002-04-03,535.624
2002-04-04,535.491
2002-04-05,534.399
2002-04-08,532.832
2002-04-09,530.793
2002-04-10,536.255
2002-04-11,527.552
2002-04-12,529.156
2002-04-15,529.078
2002-04-16,539.154
2002-04-17,540.597
2002-04-18,540.462
2002-04-19,540.385
2002-04-22,535.71
2002-04-23,533.695
2002-04-24,531.59
2002-04-25,531.313
2002-04-26,526.282
2002-04-29,523.389
2002-04-30,527.116
2002-05-01,530.654
2002-05-02,529.317
2002-05-03,527.769
2002-05-06,522.228
2002-05-07,518.115
2002-05-08,530.565
2002-05-09,526.387
2002-05-10,521.216
2002-05-13,526.507
2002-05-14,532.201
2002-05-15,534.266
2002-05-16,536.129
2002-05-17,540.888
2002-05-20,537.097
2002-05-21,533.635
2002-05-22,534.867
2002-05-23,537.05
2002-05-24,534.277
2002-05-27,533.541
2002-05-28,531.854
2002-05-29,529.667
2002-05-30,528.331
2002-05-31,529.053
2002-06-03,521.361
2002-06-04,518.591
2002-06-05,518.938
2002-06-06,513.295
2002-06-07,510.982
2002-06-10,511.436
2002-06-11,507.025
2002-06-12,506.012
2002-06-13,500.603
2002-06-14,496.277
2002-06-17,506.815
2002-06-18,507.595
2002-06-19,500.492
2002-06-20,495.534
2002-06-21,490.919
2002-06-24,489.839
2002-06-25,486.824
2002-06-26,485.029
2002-06-27,490.894
2002-06-28,497.156
2002-07-01,490.915
2002-07-02,480.246
2002-07-03,477.921
2002-07-04,479.684
2002-07-05,494.331
2002-07-08,492.445
2002-07-09,486.057
2002-07-10,472.017
2002-07-11,468.287
2002-07-12,467.06
2002-07-15,460.849
2002-07-16,456.345
2002-07-17,461.106
2002-07-18,456.581
2002-07-19,441.938
2002-07-22,426.69
2002-07-23,415.442
2002-07-24,426.2
2002-07-25,429.228
2002-07-26,430.916
2002-07-29,449.958
2002-07-30,453.103
2002-07-31,454.705
2002-08-01,442.556
2002-08-02,436.437
2002-08-05,424.263
2002-08-06,431.824
2002-08-07,437.64
2002-08-08,449.404
2002-08-09,453.485
2002-08-12,450.113
2002-08-13,445.368
2002-08-14,454.366
2002-08-15,460.409
2002-08-16,461.523
2002-08-19,468.848
2002-08-20,463.439
2002-08-21,469.239
2002-08-22,474.706
2002-08-23,466.849
2002-08-26,469.187
2002-08-27,467.739
2002-08-28,457.877
2002-08-29,455.988
2002-08-30,455.952
2002-09-02,454.078
2002-09-03,439.179
2002-09-04,442.78
2002-09-05,438.367
2002-09-06,444.877
2002-09-09,446.136
2002-09-10,449.743
2002-09-11,451.846
2002-09-12,442.121
2002-09-13,440.21
2002-09-16,438.879
2002-09-17,433.432
2002-09-18,429.007
2002-09-19,420.704
2002-09-20,419.911
2002-09-23,412.526
2002-09-24,406.197
2002-09-25,413.105
2002-09-26,422.482
2002-09-27,415.56
2002-09-30,408.7
2002-10-01,417.445
2002-10-02,413.723
2002-10-03,409.371
2002-10-04,401.237
2002-10-07,393.341
2002-10-08,394.896
2002-10-09,387.542
2002-10-10,397.143
2002-10-11,411.804
2002-10-14,412.781
2002-10-15,431.341
2002-10-16,423.687
2002-10-17,432.565
2002-10-18,433.625
2002-10-21,438.304
2002-10-22,433.541
2002-10-23,432.801
2002-10-24,431.203
2002-10-25,435.924
2002-10-28,435.977
2002-10-29,429.149
2002-10-30,434.534
2002-10-31,435.509
2002-11-01,439.745
2002-11-04,445.856
2002-11-05,449.536
2002-11-06,450.76
2002-11-07,443.888
2002-11-08,440.207
2002-11-11,432.508
2002-11-12,436.037
2002-11-13,434.404
2002-11-14,441.927
2002-11-15,445.39
2002-11-18,443.284
2002-11-19,441.38
2002-11-20,445.762
2002-11-21,455.768
2002-11-22,455.702
2002-11-25,455.696
2002-11-26,447.592
2002-11-27,457.267
2002-11-28,459.83
2002-11-29,458.793
2002-12-02,458.102
2002-12-03,451.775
2002-12-04,449.476
2002-12-05,444.834
2002-12-06,446.907
2002-12-09,438.328
2002-12-10,442.58
2002-12-11,443.723
2002-12-12,442.364
2002-12-13,438.06
2002-12-16,446.127
2002-12-17,443.8
2002-12-18,436.93
2002-12-19,435.053
2002-12-20,439.546
2002-12-23,440.736
2002-12-24,440.175
2002-12-25,440.075
2002-12-26,440.327
2002-12-27,433.841
2002-12-30,436.466
2002-12-31,438.052
2003-01-01,438.051
2003-01-02,448.209
2003-01-03,449.388
2003-01-06,457.599
2003-01-07,453.469
2003-01-08,446.994
2003-01-09,453.805
2003-01-10,454.941
2003-01-13,455.096
2003-01-14,457.996
2003-01-15,453.211
2003-01-16,452.099
2003-01-17,446.792
2003-01-20,444.925
2003-01-21,440.021
2003-01-22,435.45
2003-01-23,438.68
2003-01-24,430.714
2003-01-27,421.809
2003-01-28,424.647
2003-01-29,426.442
2003-01-30,422.159
2003-01-31,424.989
2003-02-03,428.431
2003-02-04,423.539
2003-02-05,423.818
2003-02-06,419.518
2003-02-07,415.708
2003-02-10,416.13
2003-02-11,415.936
2003-02-12,411.704
2003-02-13,411.407
2003-02-14,417.355
2003-02-17,419.22
2003-02-18,424.839
2003-02-19,421.399
2003-02-20,419.387
2003-02-21,422.918
2003-02-24,417.343
2003-02-25,414.887
2003-02-26,411.79
2003-02-27,414.735
2003-02-28,417.711
2003-03-03,417.606
2003-03-04,412.325
2003-03-05,413.912
2003-03-06,410.485
2003-03-07,410.067
2003-03-10,401.269
2003-03-11,398.347
2003-03-12,395.809
2003-03-13,407.182
2003-03-14,410.918
2003-03-17,421.513
2003-03-18,423.096
2003-03-19,426.165
2003-03-20,427.495
2003-03-21,435.469
2003-03-24,424.398
2003-03-25,428.276
2003-03-26,427.547
2003-03-27,426.042
2003-03-28,424.403
2003-03-31,417.128
2003-04-01,421.345
2003-04-02,430.351
2003-04-03,429.25
2003-04-04,430.629
2003-04-07,434.691
2003-04-08,432.521
2003-04-09,429.063
2003-04-10,429.975
2003-04-11,428.69
2003-04-14,434.67
2003-04-15,438.902
