Date,WORLD IMI IMI (Large+Mid+Small Cap)
1994-05-31,311.19
1994-06-30,311.992
1994-07-29,316.237
1994-08-31,324.758
1994-09-30,316.744
1994-10-31,324.142
1994-11-30,308.791
1994-12-30,312.65
1995-01-31,307.619
1995-02-28,309.502
1995-03-31,324.479
1995-04-28,334.677
1995-05-31,335.508
1995-06-30,336.464
1995-07-31,353.744
1995-08-31,347.944
1995-09-29,357.033
1995-10-31,350.129
1995-11-30,361.496
1995-12-29,371.635
1996-01-31,376.732
1996-02-29,380.428
1996-03-29,386.77
1996-04-30,398.801
1996-05-31,400.284
1996-06-28,400.341
1996-07-31,383.981
1996-08-30,389.597
1996-09-30,403.409
1996-10-31,403.744
1996-11-29,423.118
1996-12-31,417.006
1997-01-31,419.266
1997-02-28,421.975
1997-03-31,412.538
1997-04-30,421.844
1997-05-30,453.077
1997-06-30,473.953
1997-07-31,493.873
1997-08-29,468.064
1997-09-30,491.883
1997-10-31,467.524
1997-11-28,470.885
1997-12-31,475.57
1998-01-30,487.181
1998-02-27,520.566
1998-03-31,542.458
1998-04-30,547.823
1998-05-29,540.832
1998-06-30,550.435
1998-07-31,545.83
1998-08-31,469.555
1998-09-30,479.354
1998-10-30,520.185
1998-11-30,548.941
1998-12-31,576.874
1999-01-29,589.025
1999-02-26,571.302
1999-03-31,595.124
1999-04-30,623.093
1999-05-31,603.667
1999-06-30,632.946
1999-07-30,632.944
1999-08-31,634.607
1999-09-30,632.028
1999-10-29,663.265
1999-11-30,690.325
1999-12-31,745.818
2000-01-31,709.309
2000-02-29,730.758
2000-03-31,761.429
2000-04-28,716.508
2000-05-31,691.711
2000-06-30,723.482
2000-07-31,700.331
2000-08-31,734.256
2000-09-29,697.734
2000-10-31,676.893
2000-11-30,627.385
2000-12-29,641.017
2001-01-31,655.662
2001-02-28,598.733
2001-03-30,556.672
2001-04-30,599.732
2001-05-31,594.58
2001-06-29,577.978
2001-07-31,565.596
2001-08-31,540.649
2001-09-28,489.055
2001-10-31,502.478
2001-11-30,531.144
2001-12-31,535.847
2002-01-31,519.534
2002-02-28,514.539
2002-03-29,539.982
2002-04-30,527.116
2002-05-31,529.053
2002-06-28,497.156
2002-07-31,454.705
2002-08-30,455.952
2002-09-30,408.7
2002-10-31,435.509
2002-11-29,458.793
2002-12-31,438.052
2003-01-31,424.989
2003-02-28,417.711
2003-03-31,417.128
2003-04-30,453.43
2003-05-30,481.764
2003-06-30,490.566
2003-07-31,501.401
2003-08-29,513.932
2003-09-30,517.598
2003-10-31,549.318
2003-11-28,558.164
2003-12-31,590.551
2004-01-30,602.125
2004-02-27,613.194
2004-03-31,611.922
2004-04-30,597.303
2004-05-31,602.768
2004-06-30,616.608
2004-07-30,595.144
2004-08-31,597.331
2004-09-30,609.985
2004-10-29,624.761
2004-11-30,658.977
2004-12-31,684.598
2005-01-31,670.039
2005-02-28,691.139
2005-03-31,677.689
2005-04-29,661.565
2005-05-31,675.336
2005-06-30,683.309
2005-07-29,708.723
2005-08-31,713.864
2005-09-30,731.668
2005-10-31,713.932
2005-11-30,737.889
2005-12-30,754.88
2006-01-31,791.299
2006-02-28,789.793
2006-03-31,809.32
2006-04-28,832.758
2006-05-31,803.439
2006-06-30,802.646
2006-07-31,805.276
2006-08-31,826.061
2006-09-29,835.134
2006-10-31,866.429
2006-11-30,889.057
2006-12-29,906.58
2007-01-31,918.271
2007-02-28,914.908
2007-03-30,932.098
2007-04-30,971.961
2007-05-31,1000.0
2007-06-29,991.706
2007-07-31,968.59
2007-08-31,966.149
2007-09-28,1009.87
2007-10-31,1042.151
2007-11-30,997.119
2007-12-31,983.504
2008-01-31,908.21
2008-02-29,904.249
2008-03-31,894.998
2008-04-30,941.002
2008-05-30,958.341
2008-06-30,881.792
2008-07-31,860.931
2008-08-29,850.224
2008-09-30,747.66
2008-10-31,602.634
2008-11-28,562.232
2008-12-31,582.011
2009-01-30,531.752
2009-02-27,477.206
2009-03-31,513.554
2009-04-30,574.222
2009-05-29,626.008
2009-06-30,624.356
2009-07-31,677.476
2009-08-31,707.041
2009-09-30,736.863
2009-10-30,721.778
2009-11-30,749.755
2009-12-31,765.741
2010-01-29,735.726
2010-02-26,746.938
2010-03-31,794.637
2010-04-30,798.661
2010-05-31,722.135
2010-06-30,696.18
2010-07-30,752.305
2010-08-31,723.356
2010-09-30,792.87
2010-10-29,822.661
2010-11-30,807.793
2010-12-31,869.424
2011-01-31,887.433
2011-02-28,919.167
2011-03-31,912.838
