Date,PACIFIC IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,554.569
1994-06-30,579.813
1994-07-29,565.355
1994-08-31,568.717
1994-09-30,555.203
1994-10-31,568.182
1994-11-30,533.634
1994-12-30,540.692
1995-01-31,508.228
1995-02-28,489.168
1995-03-31,531.923
1995-04-28,549.49
1995-05-31,522.483
1995-06-30,504.552
1995-07-31,537.289
1995-08-31,521.331
1995-09-29,525.709
1995-10-31,503.93
1995-11-30,525.1
1995-12-29,548.988
1996-01-31,553.945
1996-02-29,549.039
1996-03-29,561.065
1996-04-30,597.639
1996-05-31,572.365
1996-06-28,576.827
1996-07-31,552.796
1996-08-30,536.882
1996-09-30,551.525
1996-10-31,523.63
1996-11-29,535.965
1996-12-31,505.033
1997-01-31,465.939
1997-02-28,469.088
1997-03-31,453.785
1997-04-30,460.739
1997-05-30,509.518
1997-06-30,539.539
1997-07-31,517.792
1997-08-29,469.83
1997-09-30,454.263
1997-10-31,415.852
1997-11-28,379.888
1997-12-31,347.861
1998-01-30,382.382
1998-02-27,398.493
1998-03-31,376.526
1998-04-30,364.062
1998-05-29,343.617
1998-06-30,341.258
1998-07-31,332.876
1998-08-31,298.218
1998-09-30,299.599
1998-10-30,354.807
1998-11-30,370.162
1998-12-31,379.926
1999-01-29,378.708
1999-02-26,369.734
1999-03-31,415.143
1999-04-30,447.635
1999-05-31,422.808
1999-06-30,455.664
1999-07-30,485.122
1999-08-31,492.627
1999-09-30,512.674
1999-10-29,521.73
1999-11-30,518.465
1999-12-31,519.0
2000-01-31,506.477
2000-02-29,480.704
2000-03-31,532.275
2000-04-28,508.625
2000-05-31,498.841
2000-06-30,539.877
2000-07-31,492.521
2000-08-31,515.973
2000-09-29,501.626
2000-10-31,486.576
2000-11-30,476.154
2000-12-29,466.611
2001-01-31,460.773
2001-02-28,453.579
2001-03-30,432.53
2001-04-30,465.164
2001-05-31,469.615
2001-06-29,460.81
2001-07-31,432.198
2001-08-31,435.995
