Date,PACIFIC IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,477.469
2001-01-02,476.665
2001-01-03,476.271
2001-01-04,472.304
2001-01-05,475.532
2001-01-08,474.655
2001-01-09,467.631
2001-01-10,463.676
2001-01-11,451.532
2001-01-12,451.596
2001-01-15,449.271
2001-01-16,456.373
2001-01-17,458.022
2001-01-18,462.756
2001-01-19,465.368
2001-01-22,467.684
2001-01-23,466.577
2001-01-24,462.282
2001-01-25,465.966
2001-01-26,464.399
2001-01-29,467.323
2001-01-30,468.464
2001-01-31,471.468
2001-02-01,476.348
2001-02-02,472.284
2001-02-05,467.723
2001-02-06,466.0
2001-02-07,463.909
2001-02-08,459.988
2001-02-09,459.745
2001-02-12,460.114
2001-02-13,460.662
2001-02-14,464.076
2001-02-15,467.108
2001-02-16,464.957
2001-02-19,460.57
2001-02-20,464.667
2001-02-21,460.085
2001-02-22,462.163
2001-02-23,466.801
2001-02-26,469.946
2001-02-27,470.044
2001-02-28,464.034
2001-03-01,459.883
2001-03-02,448.789
2001-03-05,448.965
2001-03-06,454.854
2001-03-07,453.863
2001-03-08,455.621
2001-03-09,455.731
2001-03-12,444.048
2001-03-13,434.679
2001-03-14,428.362
2001-03-15,432.201
2001-03-16,429.468
2001-03-19,434.396
2001-03-20,432.853
2001-03-21,450.206
2001-03-22,439.449
2001-03-23,448.169
2001-03-26,461.831
2001-03-27,459.883
2001-03-28,464.932
2001-03-29,449.2
2001-03-30,442.071
2001-04-02,435.446
2001-04-03,446.234
2001-04-04,450.649
2001-04-05,456.34
2001-04-06,457.428
2001-04-09,444.613
2001-04-10,441.791
2001-04-11,448.218
2001-04-12,454.194
2001-04-13,452.595
2001-04-16,449.352
2001-04-17,449.546
2001-04-18,460.175
2001-04-19,466.265
2001-04-20,464.67
2001-04-23,466.135
2001-04-24,466.105
2001-04-25,470.18
2001-04-26,476.337
2001-04-27,473.945
2001-04-30,475.403
2001-05-01,492.004
2001-05-02,494.251
2001-05-03,497.671
2001-05-04,496.862
2001-05-07,498.176
2001-05-08,488.699
2001-05-09,483.874
2001-05-10,481.032
2001-05-11,482.261
2001-05-14,474.416
2001-05-15,476.371
2001-05-16,472.133
2001-05-17,480.375
2001-05-18,477.234
2001-05-21,484.195
2001-05-22,483.38
2001-05-23,490.092
2001-05-24,489.444
2001-05-25,486.089
2001-05-28,483.336
2001-05-29,487.216
2001-05-30,479.644
2001-05-31,479.91
2001-06-01,479.376
2001-06-04,479.148
2001-06-05,476.553
2001-06-06,476.678
2001-06-07,479.966
2001-06-08,479.43
2001-06-11,474.722
2001-06-12,465.766
2001-06-13,467.15
2001-06-14,467.284
2001-06-15,464.367
2001-06-18,461.555
2001-06-19,460.839
2001-06-20,459.939
2001-06-21,466.045
2001-06-22,469.829
2001-06-25,469.763
2001-06-26,471.807
2001-06-27,468.76
2001-06-28,464.695
2001-06-29,470.782
2001-07-02,468.018
2001-07-03,469.453
2001-07-04,466.641
2001-07-05,462.09
2001-07-06,454.091
2001-07-09,450.913
2001-07-10,454.516
2001-07-11,452.419
2001-07-12,457.319
2001-07-13,453.671
2001-07-16,452.998
2001-07-17,448.33
2001-07-18,445.015
2001-07-19,445.405
2001-07-20,446.038
2001-07-23,434.432
2001-07-24,438.137
2001-07-25,441.696
2001-07-26,441.468
2001-07-27,441.838
2001-07-30,435.006
2001-07-31,441.544
2001-08-01,447.211
2001-08-02,457.301
2001-08-03,452.483
2001-08-06,451.815
2001-08-07,454.137
2001-08-08,454.136
2001-08-09,446.873
2001-08-10,450.386
2001-08-13,446.369
2001-08-14,456.774
2001-08-15,462.749
2001-08-16,457.466
2001-08-17,457.293
2001-08-20,451.763
2001-08-21,456.838
2001-08-22,461.236
2001-08-23,457.412
2001-08-24,457.046
2001-08-27,459.013
2001-08-28,456.381
2001-08-29,452.906
2001-08-30,446.649
2001-08-31,445.348
2001-09-03,436.807
2001-09-04,444.197
2001-09-05,436.295
2001-09-06,434.867
2001-09-07,433.787
2001-09-10,424.159
2001-09-11,431.062
2001-09-12,403.509
2001-09-13,407.818
2001-09-14,419.078
2001-09-17,400.728
2001-09-18,404.412
2001-09-19,411.028
2001-09-20,407.122
2001-09-21,394.057
2001-09-24,392.573
2001-09-25,397.425
2001-09-26,393.162
2001-09-27,390.239
2001-09-28,400.342
2001-10-01,405.851
2001-10-02,411.01
2001-10-03,407.219
2001-10-04,414.265
2001-10-05,414.158
2001-10-08,414.213
2001-10-09,406.119
2001-10-10,402.117
2001-10-11,407.863
2001-10-12,412.625
2001-10-15,410.682
2001-10-16,412.674
2001-10-17,414.295
2001-10-18,407.203
2001-10-19,405.717
2001-10-22,404.63
2001-10-23,409.314
2001-10-24,411.757
2001-10-25,415.588
2001-10-26,411.805
2001-10-29,407.82
2001-10-30,405.939
2001-10-31,402.259
2001-11-01,402.685
2001-11-02,401.253
2001-11-05,402.591
2001-11-06,405.988
2001-11-07,399.207
2001-11-08,403.94
2001-11-09,401.254
2001-11-12,399.154
2001-11-13,393.372
2001-11-14,393.492
2001-11-15,396.687
2001-11-16,395.535
2001-11-19,398.978
2001-11-20,400.168
2001-11-21,401.285
2001-11-22,399.352
2001-11-23,398.216
2001-11-26,404.78
2001-11-27,403.087
2001-11-28,396.978
2001-11-29,395.258
2001-11-30,397.926
2001-12-03,389.988
2001-12-04,388.614
2001-12-05,393.785
2001-12-06,394.609
2001-12-07,389.253
2001-12-10,382.095
2001-12-11,380.281
2001-12-12,385.766
2001-12-13,379.062
2001-12-14,376.12
2001-12-17,369.496
2001-12-18,370.312
2001-12-19,370.844
2001-12-20,374.701
2001-12-21,372.759
2001-12-24,372.437
2001-12-25,372.179
2001-12-26,368.842
2001-12-27,372.934
2001-12-28,378.878
2001-12-31,379.408
2002-01-01,379.407
2002-01-02,377.555
2002-01-03,378.629
2002-01-04,384.813
2002-01-07,384.926
2002-01-08,376.686
2002-01-09,374.614
2002-01-10,371.042
2002-01-11,369.947
2002-01-14,370.686
2002-01-15,366.785
2002-01-16,368.143
2002-01-17,366.222
2002-01-18,370.924
2002-01-21,372.787
2002-01-22,364.303
2002-01-23,362.461
2002-01-24,363.573
2002-01-25,365.071
2002-01-28,370.372
