Date,PACIFIC IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,466.627
2001-01-02,465.842
2001-01-03,465.457
2001-01-04,461.58
2001-01-05,464.735
2001-01-08,463.877
2001-01-09,457.013
2001-01-10,453.148
2001-01-11,441.28
2001-01-12,441.342
2001-01-15,439.07
2001-01-16,446.011
2001-01-17,447.622
2001-01-18,452.248
2001-01-19,454.802
2001-01-22,457.065
2001-01-23,455.983
2001-01-24,451.785
2001-01-25,455.386
2001-01-26,453.861
2001-01-29,456.719
2001-01-30,457.836
2001-01-31,460.773
2001-02-01,465.541
2001-02-02,461.57
2001-02-05,457.115
2001-02-06,455.431
2001-02-07,453.388
2001-02-08,449.556
2001-02-09,449.319
2001-02-12,449.688
2001-02-13,450.224
2001-02-14,453.56
2001-02-15,456.53
2001-02-16,454.436
2001-02-19,450.177
2001-02-20,454.181
2001-02-21,449.702
2001-02-22,451.733
2001-02-23,456.276
2001-02-26,459.356
2001-02-27,459.453
2001-02-28,453.579
2001-03-01,449.526
2001-03-02,438.682
2001-03-05,438.865
2001-03-06,444.622
2001-03-07,443.656
2001-03-08,445.378
2001-03-09,445.489
2001-03-12,434.069
2001-03-13,424.911
2001-03-14,418.736
2001-03-15,422.489
2001-03-16,419.818
2001-03-19,424.641
2001-03-20,423.132
2001-03-21,440.096
2001-03-22,429.582
2001-03-23,438.107
2001-03-26,451.474
2001-03-27,449.944
2001-03-28,454.894
2001-03-29,439.503
2001-03-30,432.53
2001-04-02,426.048
2001-04-03,436.603
2001-04-04,440.924
2001-04-05,446.497
2001-04-06,447.562
2001-04-09,435.025
2001-04-10,432.264
2001-04-11,438.553
2001-04-12,444.399
2001-04-13,442.835
2001-04-16,439.662
2001-04-17,439.854
2001-04-18,450.253
2001-04-19,456.211
2001-04-20,454.651
2001-04-23,456.084
2001-04-24,456.055
2001-04-25,460.053
2001-04-26,466.077
2001-04-27,463.736
2001-04-30,465.164
2001-05-01,481.407
2001-05-02,483.606
2001-05-03,486.956
2001-05-04,486.166
2001-05-07,487.453
2001-05-08,478.181
2001-05-09,473.459
2001-05-10,470.679
2001-05-11,471.899
2001-05-14,464.222
2001-05-15,466.136
2001-05-16,461.989
2001-05-17,470.058
2001-05-18,466.985
2001-05-21,473.799
2001-05-22,473.003
2001-05-23,479.572
2001-05-24,478.939
2001-05-25,475.657
2001-05-28,472.967
