Date,DENMARK SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,321.47
2001-01-02,323.315
2001-01-03,320.575
2001-01-04,323.534
2001-01-05,320.238
2001-01-08,320.836
2001-01-09,318.332
2001-01-10,317.79
2001-01-11,321.579
2001-01-12,325.901
2001-01-15,323.656
2001-01-16,323.823
2001-01-17,328.875
2001-01-18,337.273
2001-01-19,333.988
2001-01-22,337.331
2001-01-23,340.733
2001-01-24,336.747
2001-01-25,334.118
2001-01-26,335.487
2001-01-29,334.613
2001-01-30,338.048
2001-01-31,344.06
2001-02-01,342.805
2001-02-02,337.151
2001-02-05,336.052
2001-02-06,336.643
2001-02-07,336.261
2001-02-08,334.042
2001-02-09,335.473
2001-02-12,335.671
2001-02-13,329.548
2001-02-14,324.922
2001-02-15,322.187
2001-02-16,323.946
2001-02-19,321.684
2001-02-20,318.958
2001-02-21,320.172
2001-02-22,318.49
2001-02-23,314.043
2001-02-26,314.108
2001-02-27,319.152
2001-02-28,312.997
2001-03-01,310.485
2001-03-02,308.353
2001-03-05,302.242
2001-03-06,304.806
2001-03-07,305.391
2001-03-08,305.629
2001-03-09,304.548
2001-03-12,296.664
2001-03-13,285.429
2001-03-14,279.413
2001-03-15,277.644
2001-03-16,270.135
2001-03-19,265.677
2001-03-20,272.709
2001-03-21,270.807
2001-03-22,258.679
2001-03-23,265.206
2001-03-26,275.457
2001-03-27,278.195
2001-03-28,270.617
2001-03-29,267.082
2001-03-30,266.192
2001-04-02,253.472
2001-04-03,246.381
2001-04-04,249.173
2001-04-05,253.913
2001-04-06,255.11
2001-04-09,256.795
2001-04-10,261.985
2001-04-11,262.613
2001-04-12,263.466
2001-04-13,263.466
2001-04-16,263.811
2001-04-17,262.988
2001-04-18,272.575
2001-04-19,277.175
2001-04-20,277.602
2001-04-23,272.431
2001-04-24,269.138
2001-04-25,269.876
2001-04-26,274.906
2001-04-27,278.106
2001-04-30,282.451
2001-05-01,283.65
2001-05-02,284.594
2001-05-03,283.22
2001-05-04,285.271
2001-05-07,286.595
2001-05-08,285.904
2001-05-09,283.947
2001-05-10,291.628
2001-05-11,289.3
2001-05-14,290.369
2001-05-15,293.62
2001-05-16,290.773
2001-05-17,291.241
2001-05-18,291.041
2001-05-21,293.943
2001-05-22,295.804
2001-05-23,293.127
2001-05-24,292.045
2001-05-25,294.651
2001-05-28,293.767
2001-05-29,292.805
2001-05-30,292.997
2001-05-31,289.346
2001-06-01,286.539
2001-06-04,286.936
2001-06-05,287.046
2001-06-06,284.672
2001-06-07,286.497
2001-06-08,284.73
2001-06-11,280.391
2001-06-12,278.37
2001-06-13,279.927
2001-06-14,280.565
2001-06-15,277.477
2001-06-18,275.283
2001-06-19,271.094
2001-06-20,268.641
2001-06-21,269.64
2001-06-22,269.948
2001-06-25,275.867
2001-06-26,272.614
2001-06-27,277.573
2001-06-28,275.257
2001-06-29,275.699
2001-07-02,276.876
2001-07-03,277.299
2001-07-04,272.788
2001-07-05,268.773
2001-07-06,270.545
2001-07-09,272.362
2001-07-10,274.409
2001-07-11,274.313
2001-07-12,271.184
2001-07-13,271.101
2001-07-16,269.004
2001-07-17,267.391
2001-07-18,274.542
2001-07-19,276.955
2001-07-20,278.349
2001-07-23,275.744
2001-07-24,275.147
2001-07-25,275.243
2001-07-26,274.966
2001-07-27,275.29
2001-07-30,278.51
2001-07-31,281.042
2001-08-01,288.706
2001-08-02,289.48
2001-08-03,290.881
2001-08-06,287.429
2001-08-07,282.631
2001-08-08,280.868
2001-08-09,279.7
2001-08-10,277.939
2001-08-13,279.214
2001-08-14,283.554
2001-08-15,286.522
2001-08-16,285.992
2001-08-17,285.97
2001-08-20,282.003
2001-08-21,277.942
2001-08-22,277.089
2001-08-23,274.471
2001-08-24,277.642
2001-08-27,276.238
